-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11440,33449.074,33465.055,8.04719,7.9340777,4443.2383,3481.3054,0.4557755,0.49603826,33449.074,17105.498,5.878,Inf,5,"sqrt(abs((abs(X6) ^ log(abs(3.6929))))) [likelihood params: Float32[]]"
2,20322,33449.074,33465.055,8.04719,7.9340777,4443.2383,3481.3054,0.4557755,0.49603826,33449.074,17105.498,5.712,Inf,5,"sqrt(abs((abs(X6) ^ log(abs(3.6929))))) [likelihood params: Float32[]]"
3,29277,33449.074,33465.055,8.04719,7.9340777,4443.2383,3481.3054,0.4557755,0.49603826,33449.074,17105.498,5.836,Inf,5,"sqrt(abs((abs(X6) ^ log(abs(3.6929))))) [likelihood params: Float32[]]"
4,38325,33449.016,33464.996,8.04719,7.9341016,4443.226,3481.373,0.45577693,0.49602848,33449.016,17105.691,5.826,Inf,5,"sqrt(abs((abs(X6) ^ log(abs(3.6929147))))) [likelihood params: Float32[]]"
5,47962,33017.04,33055.684,28.56392,10.0811825,4353.965,3409.4143,0.46670997,0.5064454,33017.04,16898.812,5.81,Inf,13,"((137.01143 * sqrt(abs(X8))) + (log(abs((X6 - X8))) - (160.4503 - X2))) [likelihood params: Float32[]]"
6,57536,30527.719,30593.654,46.0517,19.885439,3839.5903,2948.1917,0.52971256,0.57321304,30527.719,15572.796,6.072,Inf,20,"(340.2757 * (abs(-1.5254762) ^ log(abs((((49.52425 * sqrt(abs(X8))) + (log(abs((X6 - X8))) - (144.45392 - X2))) * -18393.61))))) [likelihood params: Float32[]]"
7,67931,30527.719,30593.654,46.0517,19.885439,3839.5903,2948.1917,0.52971256,0.57321304,30527.719,15572.796,6.822,Inf,20,"(340.2757 * (abs(-1.5254762) ^ log(abs((((49.52425 * sqrt(abs(X8))) + (log(abs((X6 - X8))) - (144.45392 - X2))) * -18393.61))))) [likelihood params: Float32[]]"
8,78674,30346.863,30460.336,74.38353,39.08919,3802.2197,2982.9917,0.53428984,0.5681753,30346.863,15672.847,7.508,Inf,29,"(262.17508 + (((1856.5839 / X15) * sqrt(abs((((51.6064 * sqrt(abs(X8))) + (log(abs((X6 - X8))) - (155.73128 - X2))) * -7.487648)))) + (sin((10196.411 - X5)) - 180.8207))) [likelihood params: Float32[]]"
9,90165,29677.34,29706.623,16.125835,13.159156,3663.8748,3007.8694,0.55123484,0.564574,29677.34,15744.369,8.496,Inf,9,"(2698.8977 - ((-29071.848 - (X3 * -13977.983)) / X11)) [likelihood params: Float32[]]"
10,102222,29677.34,29706.623,16.125835,13.159156,3663.8748,3007.8694,0.55123484,0.564574,29677.34,15744.369,9.42,Inf,9,"(2698.8977 - ((-29071.848 - (X3 * -13977.983)) / X11)) [likelihood params: Float32[]]"
