-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10613,413.98987,449.07092,19.4591,15.621933,0.07977663,0.15844795,0.29704946,-0.1315248,413.98987,719.6205,5.75,Inf,10,"log(abs((abs(sqrt(abs(sin(sin(-9.438376))))) ^ sin((-898.2404 / X31))))) [likelihood params: Float32[]]"
2,19454,411.22754,437.5171,19.709354,6.5801907,0.079565085,0.15740657,0.29891348,-0.12408805,411.22754,712.83093,5.316,Inf,11,"(abs(0.034729946) ^ (-0.28424177 - ((1.284324 + 0.18761265) - (492.88876 / X31)))) [likelihood params: Float32[]]"
3,29224,411.22754,437.5171,19.709354,6.5801907,0.079565085,0.15740657,0.29891348,-0.12408805,411.22754,712.83093,5.498,Inf,11,"(abs(0.034729946) ^ (-0.28424177 - ((1.284324 + 0.18761265) - (492.88876 / X31)))) [likelihood params: Float32[]]"
4,39188,260.0346,287.45752,15.567281,11.855634,0.067986384,0.16092384,0.400939,-0.1492058,260.0346,735.7626,5.356,Inf,8,"(abs(sqrt(abs(((-108881.03 / X31) + X32)))) ^ 0.62137705) [likelihood params: Float32[]]"
5,48472,260.0346,287.45752,15.567281,11.855634,0.067986384,0.16092384,0.400939,-0.1492058,260.0346,735.7626,5.658,Inf,8,"(abs(sqrt(abs(((-108881.03 / X31) + X32)))) ^ 0.62137705) [likelihood params: Float32[]]"
6,57829,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,6.162,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
7,67167,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,6.584,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
8,77144,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,7.012,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
9,87656,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,8.222,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
10,97465,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,10.044,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
11,106883,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,11.584,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
12,116218,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,13.188,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
13,124954,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,14.97,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
14,133869,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,18.086,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
15,142545,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,21.664,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
16,150594,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,25.758,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
17,158587,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,28.784,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
18,165410,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,31.612,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
19,173058,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,35.976,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
20,180240,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,40.274,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
21,186921,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,41.856,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
22,193348,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,45.902,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
23,199587,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,50.248,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
24,205398,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,51.86,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
25,211288,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,51.09,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
26,216532,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,51.628,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
27,222511,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,51.326,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
28,228038,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,51.626,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
29,232908,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,55.598,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
30,237603,181.10437,208.5237,15.567281,11.852047,0.061941728,0.15909642,0.4542014,-0.13615572,181.10437,723.8484,54.544,Inf,8,"(abs(-1.1725659) ^ sqrt(abs(((-104445.234 / X31) + X32)))) [likelihood params: Float32[]]"
31,242340,165.59814,206.96935,29.11218,12.259014,0.060754225,0.1486568,0.46466506,-0.06160319,165.59814,655.78467,56.016,Inf,14,"(-898.2321 / (abs((exp(-274.39975) / X6)) ^ (abs(sin(-0.0021219072)) ^ log(abs((-293.60266 / X49)))))) [likelihood params: Float32[]]"
32,247275,165.59814,206.96935,29.11218,12.259014,0.060754225,0.1486568,0.46466506,-0.06160319,165.59814,655.78467,56.408,Inf,14,"(-898.2321 / (abs((exp(-274.39975) / X6)) ^ (abs(sin(-0.0021219072)) ^ log(abs((-293.60266 / X49)))))) [likelihood params: Float32[]]"
33,251778,165.59814,206.96935,29.11218,12.259014,0.060754225,0.1486568,0.46466506,-0.06160319,165.59814,655.78467,57.486,Inf,14,"(-898.2321 / (abs((exp(-274.39975) / X6)) ^ (abs(sin(-0.0021219072)) ^ log(abs((-293.60266 / X49)))))) [likelihood params: Float32[]]"
34,256454,165.59814,206.96935,29.11218,12.259014,0.060754225,0.1486568,0.46466506,-0.06160319,165.59814,655.78467,58.938,Inf,14,"(-898.2321 / (abs((exp(-274.39975) / X6)) ^ (abs(sin(-0.0021219072)) ^ log(abs((-293.60266 / X49)))))) [likelihood params: Float32[]]"
35,261373,158.24445,277.54416,108.32201,10.977683,0.06019106,0.14802766,0.46962738,-0.05711031,158.24445,651.68286,58.032,Inf,40,"(abs(((exp(-8.595351) / X57) - (10.822835 / 41.20498))) ^ (abs(log(abs((abs((0.98957 ^ X21)) ^ (log(abs(X21)) - (sqrt(abs((abs(sqrt(abs(exp((-0.19338208 * X55))))) ^ sin((-895.7099 / X31))))) * log(abs(X21)))))))) ^ (abs(0.03158353) ^ log(abs(((-87964.95 / X31) / X32)))))) [likelihood params: Float32[]]"
36,266219,142.66022,267.8596,113.738106,11.461267,0.058997586,0.15720615,0.48014367,-0.1226567,142.66022,711.5243,58.232,Inf,42,"(abs(((exp(-8.595351) / X57) - (10.822835 / 41.20498))) ^ (abs(log(abs((abs((0.98957 ^ X21)) ^ (log(abs(X21)) - (sqrt(abs((abs(sqrt(abs(exp((-0.19338208 * X55))))) ^ sin((-895.7099 / X31))))) * log(abs((-274.39154 / X31))))))))) ^ (abs(0.01721838) ^ log(abs(((-92270.07 / X31) / X32)))))) [likelihood params: Float32[]]"
37,271044,142.66022,267.8596,113.738106,11.461267,0.058997586,0.15720615,0.48014367,-0.1226567,142.66022,711.5243,59.622,Inf,42,"(abs(((exp(-8.595351) / X57) - (10.822835 / 41.20498))) ^ (abs(log(abs((abs((0.98957 ^ X21)) ^ (log(abs(X21)) - (sqrt(abs((abs(sqrt(abs(exp((-0.19338208 * X55))))) ^ sin((-895.7099 / X31))))) * log(abs((-274.39154 / X31))))))))) ^ (abs(0.01721838) ^ log(abs(((-92270.07 / X31) / X32)))))) [likelihood params: Float32[]]"
38,276072,142.66022,267.8596,113.738106,11.461267,0.058997586,0.15720615,0.48014367,-0.1226567,142.66022,711.5243,59.556,Inf,42,"(abs(((exp(-8.595351) / X57) - (10.822835 / 41.20498))) ^ (abs(log(abs((abs((0.98957 ^ X21)) ^ (log(abs(X21)) - (sqrt(abs((abs(sqrt(abs(exp((-0.19338208 * X55))))) ^ sin((-895.7099 / X31))))) * log(abs((-274.39154 / X31))))))))) ^ (abs(0.01721838) ^ log(abs(((-92270.07 / X31) / X32)))))) [likelihood params: Float32[]]"
39,280994,142.66022,267.8596,113.738106,11.461267,0.058997586,0.15720615,0.48014367,-0.1226567,142.66022,711.5243,59.412,Inf,42,"(abs(((exp(-8.595351) / X57) - (10.822835 / 41.20498))) ^ (abs(log(abs((abs((0.98957 ^ X21)) ^ (log(abs(X21)) - (sqrt(abs((abs(sqrt(abs(exp((-0.19338208 * X55))))) ^ sin((-895.7099 / X31))))) * log(abs((-274.39154 / X31))))))))) ^ (abs(0.01721838) ^ log(abs(((-92270.07 / X31) / X32)))))) [likelihood params: Float32[]]"
40,286370,108.83777,333.04874,210.71674,13.494231,0.05640739,0.15133207,0.5029672,-0.080708146,108.83777,673.2267,59.978,Inf,76,"(abs((2.9722235 - (10.822835 / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ X21)) ^ (exp(X8) - (((((exp((10.822835 / 41.20498)) / 0.035750862) - sqrt(abs((abs(exp(1.4200616)) ^ sin((0.15914677 / X31)))))) / (abs((abs(((sin((-116.11592 - ((((abs(X29) ^ (abs(1.2928915) ^ (abs((41.158394 * 1.4200616)) ^ 0.73813295))) * sqrt(0.15914677)) / 1.2998893) - 26.951654))) + (2.2128704 ^ (abs(sin(-0.008190557)) ^ 0.48340112))) - -496.9415)) ^ 10.822835)) ^ exp(4.1250873))) + X31) * 0.99764055)))))) ^ (20.260918 / sqrt(abs(((-136843.89 / X31) + X32)))))) [likelihood params: Float32[]]"
41,291214,108.83777,333.04874,210.71674,13.494231,0.05640739,0.15133207,0.5029672,-0.080708146,108.83777,673.2267,57.908,Inf,76,"(abs((2.9722235 - (10.822835 / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ X21)) ^ (exp(X8) - (((((exp((10.822835 / 41.20498)) / 0.035750862) - sqrt(abs((abs(exp(1.4200616)) ^ sin((0.15914677 / X31)))))) / (abs((abs(((sin((-116.11592 - ((((abs(X29) ^ (abs(1.2928915) ^ (abs((41.158394 * 1.4200616)) ^ 0.73813295))) * sqrt(0.15914677)) / 1.2998893) - 26.951654))) + (2.2128704 ^ (abs(sin(-0.008190557)) ^ 0.48340112))) - -496.9415)) ^ 10.822835)) ^ exp(4.1250873))) + X31) * 0.99764055)))))) ^ (20.260918 / sqrt(abs(((-136843.89 / X31) + X32)))))) [likelihood params: Float32[]]"
42,296522,108.83777,333.04874,210.71674,13.494231,0.05640739,0.15133207,0.5029672,-0.080708146,108.83777,673.2267,56.702,Inf,76,"(abs((2.9722235 - (10.822835 / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ X21)) ^ (exp(X8) - (((((exp((10.822835 / 41.20498)) / 0.035750862) - sqrt(abs((abs(exp(1.4200616)) ^ sin((0.15914677 / X31)))))) / (abs((abs(((sin((-116.11592 - ((((abs(X29) ^ (abs(1.2928915) ^ (abs((41.158394 * 1.4200616)) ^ 0.73813295))) * sqrt(0.15914677)) / 1.2998893) - 26.951654))) + (2.2128704 ^ (abs(sin(-0.008190557)) ^ 0.48340112))) - -496.9415)) ^ 10.822835)) ^ exp(4.1250873))) + X31) * 0.99764055)))))) ^ (20.260918 / sqrt(abs(((-136843.89 / X31) + X32)))))) [likelihood params: Float32[]]"
43,301017,108.83777,333.04874,210.71674,13.494231,0.05640739,0.15133207,0.5029672,-0.080708146,108.83777,673.2267,57.388,Inf,76,"(abs((2.9722235 - (10.822835 / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ X21)) ^ (exp(X8) - (((((exp((10.822835 / 41.20498)) / 0.035750862) - sqrt(abs((abs(exp(1.4200616)) ^ sin((0.15914677 / X31)))))) / (abs((abs(((sin((-116.11592 - ((((abs(X29) ^ (abs(1.2928915) ^ (abs((41.158394 * 1.4200616)) ^ 0.73813295))) * sqrt(0.15914677)) / 1.2998893) - 26.951654))) + (2.2128704 ^ (abs(sin(-0.008190557)) ^ 0.48340112))) - -496.9415)) ^ 10.822835)) ^ exp(4.1250873))) + X31) * 0.99764055)))))) ^ (20.260918 / sqrt(abs(((-136843.89 / X31) + X32)))))) [likelihood params: Float32[]]"
44,306480,89.59723,283.63876,182.1114,11.930141,0.054933906,0.16044672,0.51595074,-0.14579856,89.59723,732.65186,55.866,Inf,71,"(abs(((((-3274.0115 / X31) + ((0.40736955 * 0.21561866) - -12.607901)) / 0.99764055) - ((-895.7099 / (0.98957 ^ X21)) / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ (-898.2098 / X31))) ^ (log(abs(X21)) - ((0.40736955 * (abs(sqrt(abs(((0.31813085 * (10.822835 / 41.20498)) + 39.939213)))) ^ sin(((-274.4006 / X31) / (abs(((abs(0.98957) ^ X31) * 0.14131404)) ^ (abs(sin(-0.008190571)) ^ log(abs((-274.39154 / 41.20498))))))))) * log(abs(X21)))))))) ^ (abs(-1.1704262) ^ sqrt(abs(((-104040.98 / X31) + X49)))))) [likelihood params: Float32[]]"
45,311738,89.59723,283.63876,182.1114,11.930141,0.054933906,0.16044672,0.51595074,-0.14579856,89.59723,732.65186,56.686,Inf,71,"(abs(((((-3274.0115 / X31) + ((0.40736955 * 0.21561866) - -12.607901)) / 0.99764055) - ((-895.7099 / (0.98957 ^ X21)) / 41.20498))) ^ (abs(sqrt(abs((abs((abs(0.98957) ^ (-898.2098 / X31))) ^ (log(abs(X21)) - ((0.40736955 * (abs(sqrt(abs(((0.31813085 * (10.822835 / 41.20498)) + 39.939213)))) ^ sin(((-274.4006 / X31) / (abs(((abs(0.98957) ^ X31) * 0.14131404)) ^ (abs(sin(-0.008190571)) ^ log(abs((-274.39154 / 41.20498))))))))) * log(abs(X21)))))))) ^ (abs(-1.1704262) ^ sqrt(abs(((-104040.98 / X31) + X49)))))) [likelihood params: Float32[]]"
