gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.094665065,0.062450144,0.070820555,0.10174636,0.104827605,0.13969763,0.12929733,0.13315056,0.16106243,0.18425353,608.40076,187.74323,297.0428,700.8672,741.1017,637.01917,217.12668,332.24173,721.4065,756.95,9.656628,3.295837,3.295837,26.366695,36.841362,11.202978,8.80681,9.499957,16.781086,20.355356,6,3,3,13,16,6.006,5.69,5.738,6.264,6.352
2,0.08596561,0.061171234,0.0641086,0.09984288,0.100821346,0.14216132,0.12929733,0.13303709,0.16110864,0.17238069,494.8047,171.0434,209.39911,676.01196,688.7886,524.1538,206.63902,241.02199,696.211,713.68463,11.266066,3.295837,5.5451775,25.296831,35.350506,13.119955,8.80681,9.499958,16.781086,18.412632,7,3,4,12,15,5.796,5.296,5.442,6.178,6.382
3,0.08342805,0.060869306,0.06122655,0.097070836,0.09777858,0.14759636,0.12922241,0.13315058,0.1596787,0.17238069,461.66943,167.10083,171.76569,639.81494,649.0565,494.18115,194.54,206.63902,665.259,677.0009,12.542316,5.5451775,6.931472,29.11218,35.155594,13.74572,9.385168,9.511509,18.082813,19.691576,8,4,5,14,15,5.786,5.196,5.282,6.276,6.352
4,0.080625206,0.06075422,0.0608809,0.09238336,0.09708256,0.14874725,0.1325124,0.13523504,0.16025928,0.17441434,425.07043,165.59808,167.2522,578.6067,639.96814,457.7562,190.18591,195.23378,608.4596,665.259,12.542316,5.5451775,6.931472,29.188652,41.446533,13.846916,9.385353,9.521612,18.627398,21.105545,7,4,5,15,18,5.806,5.04,5.174,6.514,6.972
5,0.07943598,0.06073316,0.060804754,0.09095466,0.09235265,0.14874725,0.13220145,0.13315052,0.16107596,0.1724446,409.54163,165.323,166.25793,559.9508,578.2057,439.6777,190.18591,197.86266,580.005,614.1163,14.334076,5.5451775,6.931472,35.155594,46.0517,14.089733,9.421761,10.876181,19.330065,21.869934,8,4,5,16,19,6.072,4.866,5.096,7.148,7.446
6,0.07759391,0.0606263,0.06072439,0.086456604,0.09095466,0.14992687,0.12920398,0.13315052,0.16225038,0.1706158,385.4881,163.92767,165.20856,501.21594,559.9508,429.62894,189.43729,193.58018,532.3397,592.9996,17.513191,5.5451775,6.931472,46.0517,57.15285,15.023815,10.278004,11.053095,22.68053,26.918163,9,4,5,20,24,6.502,4.808,5.206,7.694,8.2
7,0.07293928,0.059221637,0.060711477,0.08572105,0.09081044,0.15093336,0.12395569,0.12981436,0.16206495,0.16771272,324.70868,145.58582,165.03992,491.6112,558.0676,353.90768,187.58356,190.09053,515.9654,592.2284,16.125835,6.931472,6.931472,39.55004,57.56463,15.320297,10.725366,11.07518,22.996738,27.73989,9,5,5,18,24,7.25,5.086,5.398,8.662,8.878
8,0.06736607,0.055513933,0.058732785,0.08498835,0.085965574,0.14915635,0.124263756,0.12981436,0.15984531,0.16486943,251.93463,97.17114,139.20245,482.0437,494.80408,310.8946,161.53708,187.58356,510.20474,561.6203,19.4591,6.931472,9.656628,42.243412,55.262043,15.320297,10.725366,11.61403,22.377178,25.215631,10,5,6,20,24,8.042,5.548,5.866,9.818,10.136
9,0.062087256,0.054806825,0.058286488,0.081442684,0.08576716,0.14954725,0.11949845,0.12763393,0.16160204,0.16771272,183.00464,87.93787,133.37476,435.74487,492.21326,226.83728,131.1753,186.29117,479.7829,519.67303,21.405012,6.931472,9.656628,52.753696,59.63776,15.338005,11.516617,12.134195,22.577068,26.918163,11,5,6,22,24,8.478,5.87,6.378,11.466,12.002
10,0.061171245,0.05357231,0.056698166,0.08143377,0.08498835,0.14915635,0.11170173,0.12695909,0.15906279,0.16320919,171.04352,71.81775,112.634705,435.62854,482.0437,208.85489,122.70776,158.68991,472.5442,515.9654,22.873857,9.656628,9.656628,55.151592,59.63776,15.477176,12.053118,12.293307,25.215631,27.73989,11,6,6,23,24,9.588,6.358,6.99,13.29,13.53
