-- NEO GP --
SEED=-1
MAX_LEN=20
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,13344,128.78816,54.453481284311636,37.429947,9.4516735,154.53578,154.53578,0.88841397,0.88841397,7.571858969858511,7.571858969858511,7.61,4.7878383e35,18),"(abs(1.9184535) ^ (X1 * (((-1.0026046 + 0.7954181) - (0.8688013 / -0.4339659)) + (1/(X1) * (-5.6290536 * -1.9780802))))) [likelihood params: Float32[]]"
2,23502,128.74683,44.50726851575695,31.134562,5.842176,142.7814,142.7814,0.8969015,0.8969015,7.530522910288198,7.530522910288198,7.466,Inf,16),"(abs((((1/(-0.8239992) + (1.2419221 - 0.96725047)) - 0.5893056) / -0.25635722)) ^ (abs((X1 + 3.1877708)) ^ 5.8450937)) [likelihood params: Float32[]]"
3,33621,128.74683,44.50726851575695,31.134562,5.842176,142.7814,142.7814,0.8969015,0.8969015,7.530522910288198,7.530522910288198,7.668,6.485672e35,16),"(abs((((1/(-0.8239992) + (1.2419221 - 0.96725047)) - 0.5893056) / -0.25635722)) ^ (abs((X1 + 3.1877708)) ^ 5.8450937)) [likelihood params: Float32[]]"
4,44091,128.47134,39.057363120249136,27.242743,4.5595913,143.25331,143.25331,0.8965607,0.8965607,7.255040732553823,7.255040732553823,8.038,2.4313988e35,14),"((3687.5938 + ((X1 * (-643.17456 - (X1 / -0.0005790146))) * X1)) - 1/(X1)) [likelihood params: Float32[]]"
5,54435,128.15984,46.44632491224132,36.972294,2.5304961,136.73955,136.73955,0.90126413,0.90126413,6.943532553842886,6.943532553842886,8.104,4.0478096e35,19),"(((((X1 + X1) * X1) * 2844.246) + X1) - ((1/(1/((-14649.687 - X1))) / X1) + 14677.15)) [likelihood params: Float32[]]"
6,65537,128.15984,46.44632491224132,36.972294,2.5304961,136.73955,136.73955,0.90126413,0.90126413,6.943532553842886,6.943532553842886,8.412,1.3938355e27,19),"(((((X1 + X1) * X1) * 2844.246) + X1) - ((1/(1/((-14649.687 - X1))) / X1) + 14677.15)) [likelihood params: Float32[]]"
7,77129,128.11894,54.425832358530386,38.9182,8.604998,138.19006,138.19006,0.90021676,0.90021676,6.902638999155386,6.902638999155386,8.8,4.862798e35,20),"((X1 + ((1/((-96.830894 * 0.07970597)) / (X1 * -0.09601915)) + -2.1279492)) * (((3613.4968 / -8918.982) - X1) + -28920.455)) [likelihood params: Float32[]]"
8,88509,128.11894,54.425832358530386,38.9182,8.604998,138.19006,138.19006,0.90021676,0.90021676,6.902638999155386,6.902638999155386,9.868,4.0537145e35,20),"((X1 + ((1/((-96.830894 * 0.07970597)) / (X1 * -0.09601915)) + -2.1279492)) * (((3613.4968 / -8918.982) - X1) + -28920.455)) [likelihood params: Float32[]]"
9,100822,128.11894,54.425832358530386,38.9182,8.604998,138.19006,138.19006,0.90021676,0.90021676,6.902638999155386,6.902638999155386,10.81,3.2418653e35,20),"((X1 + ((1/((-96.830894 * 0.07970597)) / (X1 * -0.09601915)) + -2.1279492)) * (((3613.4968 / -8918.982) - X1) + -28920.455)) [likelihood params: Float32[]]"
10,113611,128.11894,54.425832358530386,38.9182,8.604998,138.19006,138.19006,0.90021676,0.90021676,6.902638999155386,6.902638999155386,11.578,3.2418653e35,20),"((X1 + ((1/((-96.830894 * 0.07970597)) / (X1 * -0.09601915)) + -2.1279492)) * (((3613.4968 / -8918.982) - X1) + -28920.455)) [likelihood params: Float32[]]"
11,125958,128.11894,54.425832358530386,38.9182,8.604998,138.19006,138.19006,0.90021676,0.90021676,6.902638999155386,6.902638999155386,12.256,6.483731e35,20),"((X1 + ((1/((-96.830894 * 0.07970597)) / (X1 * -0.09601915)) + -2.1279492)) * (((3613.4968 / -8918.982) - X1) + -28920.455)) [likelihood params: Float32[]]"
12,138129,127.81678,51.88944014661632,32.25167,13.037286,99.65393,99.65393,0.92804265,0.92804265,6.600476828745229,6.600476828745229,12.69,5.677676e35,18),"(((-2047.3679 * X1) * (X1 + X1)) + ((95054.7 + X1) / (-435.80563 * (-0.7168401 + log(X1))))) [likelihood params: Float32[]]"
13,150010,127.81678,51.88944014661632,32.25167,13.037286,99.65393,99.65393,0.92804265,0.92804265,6.600476828745229,6.600476828745229,13.07,3.2419067e35,18),"(((-2047.3679 * X1) * (X1 + X1)) + ((95054.7 + X1) / (-435.80563 * (-0.7168401 + log(X1))))) [likelihood params: Float32[]]"
14,162552,127.81678,51.88944014661632,32.25167,13.037286,99.65393,99.65393,0.92804265,0.92804265,6.600476828745229,6.600476828745229,13.25,3.482534e35,18),"(((-2047.3679 * X1) * (X1 + X1)) + ((95054.7 + X1) / (-435.80563 * (-0.7168401 + log(X1))))) [likelihood params: Float32[]]"
15,174426,127.81678,51.88944014661632,32.25167,13.037286,99.65393,99.65393,0.92804265,0.92804265,6.600476828745229,6.600476828745229,12.958,Inf,18),"(((-2047.3679 * X1) * (X1 + X1)) + ((95054.7 + X1) / (-435.80563 * (-0.7168401 + log(X1))))) [likelihood params: Float32[]]"
16,186516,127.81678,51.88944014661632,32.25167,13.037286,99.65393,99.65393,0.92804265,0.92804265,6.600476828745229,6.600476828745229,12.936,6.5976642e35,18),"(((-2047.3679 * X1) * (X1 + X1)) + ((95054.7 + X1) / (-435.80563 * (-0.7168401 + log(X1))))) [likelihood params: Float32[]]"
