-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9716,2750.6948,2774.6438,9.656628,14.292174,9.7483564e-5,0.00014293278,0.4958799,-0.010183811,2750.6948,6406.6313,5.52,Inf,6,"(0.020089474 * (log(abs(-215.5133)) - X1)) [likelihood params: Float32[0.0025]]"
2,18362,2750.6948,2774.6438,9.656628,14.292174,9.7483564e-5,0.00014293278,0.4958799,-0.010183811,2750.6948,6406.6313,5.418,Inf,6,"(0.020089474 * (log(abs(-215.5133)) - X1)) [likelihood params: Float32[0.0025]]"
3,27301,2750.6948,2774.6438,9.656628,14.292174,9.7483564e-5,0.00014293278,0.4958799,-0.010183811,2750.6948,6406.6313,5.526,Inf,6,"(0.020089474 * (log(abs(-215.5133)) - X1)) [likelihood params: Float32[0.0025]]"
4,36083,2750.6938,2774.6426,9.656628,14.292061,9.748355e-5,0.00014293425,0.49587995,-0.010194182,2750.6938,6406.7495,5.76,Inf,6,"(0.020089805 * (log(abs(-215.49785)) - X1)) [likelihood params: Float32[0.0025]]"
5,44941,2750.6938,2774.6426,9.656628,14.292061,9.748355e-5,0.00014293425,0.49587995,-0.010194182,2750.6938,6406.7495,5.756,Inf,6,"(0.020089805 * (log(abs(-215.49785)) - X1)) [likelihood params: Float32[0.0025]]"
6,53385,2750.6938,2774.6426,9.656628,14.292061,9.748355e-5,0.00014293425,0.49587995,-0.010194182,2750.6938,6406.7495,6.206,Inf,6,"(0.020089805 * (log(abs(-215.49785)) - X1)) [likelihood params: Float32[0.0025]]"
7,62142,2750.6938,2774.6426,9.656628,14.292061,9.748355e-5,0.00014293425,0.49587995,-0.010194182,2750.6938,6406.7495,6.852,Inf,6,"(0.020089805 * (log(abs(-215.49785)) - X1)) [likelihood params: Float32[0.0025]]"
8,70519,2750.691,2774.6396,9.656628,14.292033,9.748351e-5,0.0001429326,0.49588013,-0.0101825,2750.691,6406.6157,7.282,Inf,6,"(0.020089444 * (log(abs(-215.51485)) - X1)) [likelihood params: Float32[0.0025]]"
9,78896,2750.6904,2774.6392,9.656628,14.292016,9.7483506e-5,0.00014293243,0.4958802,-0.010181308,2750.6904,6406.603,7.922,Inf,6,"(0.02008941 * (log(abs(-215.51636)) - X1)) [likelihood params: Float32[0.0025]]"
10,87227,2750.6904,2774.6392,9.656628,14.292016,9.7483506e-5,0.00014293243,0.4958802,-0.010181308,2750.6904,6406.603,8.968,Inf,6,"(0.02008941 * (log(abs(-215.51636)) - X1)) [likelihood params: Float32[0.0025]]"
