-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9733,8586.237,8617.607,18.714973,12.654942,0.0001697772,0.000115210976,0.12202531,0.18574125,8586.237,4173.363,5.958,Inf,9,"sqrt(abs(((X7 * exp((-3.9849963 - X10))) + -0.007485576))) [likelihood params: Float32[]]"
2,17995,2298.7676,2344.315,34.538776,11.008571,9.188487e-5,8.524023e-5,0.5248326,0.3975609,2298.7676,1758.9194,6.122,Inf,15,"((abs(-1.3024434) ^ 0.0072262185) * (0.0996295 - (X1 * (exp(log(abs((X2 - X13)))) / 90.29304)))) [likelihood params: Float32[]]"
3,26383,838.9214,885.91187,32.95837,14.03208,7.379955e-5,7.849882e-5,0.61835784,0.44520605,838.9214,1215.8315,6.072,Inf,15,"((abs(-1.3024434) ^ 0.0072262185) * (0.10523517 - (X1 * (exp(log(abs((X2 - -1.0481627)))) / 123.850784)))) [likelihood params: Float32[]]"
4,35232,838.9214,885.91187,32.95837,14.03208,7.379955e-5,7.849882e-5,0.61835784,0.44520605,838.9214,1215.8315,6.43,Inf,15,"((abs(-1.3024434) ^ 0.0072262185) * (0.10523517 - (X1 * (exp(log(abs((X2 - -1.0481627)))) / 123.850784)))) [likelihood params: Float32[]]"
5,43868,838.9214,885.91187,32.95837,14.03208,7.379955e-5,7.849882e-5,0.61835784,0.44520605,838.9214,1215.8315,7.204,Inf,15,"((abs(-1.3024434) ^ 0.0072262185) * (0.10523517 - (X1 * (exp(log(abs((X2 - -1.0481627)))) / 123.850784)))) [likelihood params: Float32[]]"
6,52514,135.52783,200.89445,48.33894,17.02768,6.5085565e-5,6.803046e-5,0.6634208,0.5191917,135.52783,372.5005,8.436,Inf,22,"(abs((3.379474e-5 * (-2.0392756e-5 / ((log(abs(-0.061528895)) - (4.009438 - (X1 * (exp(log(abs((X2 - -116.215614)))) / 2.3593879)))) * X2)))) ^ 0.1000639) [likelihood params: Float32[]]"
7,61429,115.5,183.865,48.33894,20.02606,6.483745e-5,6.806146e-5,0.66470385,0.5189726,115.5,374.99756,9.82,Inf,22,"(abs((2.6095908e-5 * (-1.5753609e-5 / ((log(abs(-5.533542e-6)) - (11.944973 - (X1 * (exp(log(abs((X2 - -336.68747)))) / 2.289794)))) * X2)))) ^ 0.0940681) [likelihood params: Float32[]]"
8,70266,115.25244,184.77817,48.33894,21.186789,6.483438e-5,6.806399e-5,0.66471976,0.5189547,115.25244,375.20166,11.12,Inf,22,"(abs((2.9413417e-5 * (-1.7756924e-5 / ((log(abs(-1.4454069e-9)) - (9.735736 - (X1 * (exp(log(abs((X2 - -469.41617)))) / 2.547445)))) * X2)))) ^ 0.09412067) [likelihood params: Float32[]]"
9,78302,115.24805,184.18733,48.33894,20.600336,6.483433e-5,6.8077665e-5,0.66472006,0.5188581,115.24805,376.30322,12.138,Inf,22,"(abs((2.9412384e-5 * (-1.77563e-5 / ((log(abs(-1.4544344e-9)) - (9.729499 - (X1 * (exp(log(abs((X2 - -469.4533)))) / 2.5473075)))) * X2)))) ^ 0.0941208) [likelihood params: Float32[]]"
10,86530,115.24805,184.18733,48.33894,20.600336,6.483433e-5,6.8077665e-5,0.66472006,0.5188581,115.24805,376.30322,14.52,Inf,22,"(abs((2.9412384e-5 * (-1.77563e-5 / ((log(abs(-1.4544344e-9)) - (9.729499 - (X1 * (exp(log(abs((X2 - -469.4533)))) / 2.5473075)))) * X2)))) ^ 0.0941208) [likelihood params: Float32[]]"
11,94599,115.24805,184.18733,48.33894,20.600336,6.483433e-5,6.8077665e-5,0.66472006,0.5188581,115.24805,376.30322,16.978,Inf,22,"(abs((2.9412384e-5 * (-1.77563e-5 / ((log(abs(-1.4544344e-9)) - (9.729499 - (X1 * (exp(log(abs((X2 - -469.4533)))) / 2.5473075)))) * X2)))) ^ 0.0941208) [likelihood params: Float32[]]"
12,102400,115.24805,184.18733,48.33894,20.600336,6.483433e-5,6.8077665e-5,0.66472006,0.5188581,115.24805,376.30322,18.816,Inf,22,"(abs((2.9412384e-5 * (-1.77563e-5 / ((log(abs(-1.4544344e-9)) - (9.729499 - (X1 * (exp(log(abs((X2 - -469.4533)))) / 2.5473075)))) * X2)))) ^ 0.0941208) [likelihood params: Float32[]]"
13,110064,113.62207,180.62804,48.354286,18.651686,6.481418e-5,6.802525e-5,0.6648242,0.51922846,113.62207,372.08057,21.078,Inf,21,"(abs((2.3360339e-5 * (-1.4102302e-5 / ((X16 - (18.340416 - (X1 * (exp(log(abs((X2 - -430.03253)))) / 3.8226988)))) * X2)))) ^ 0.09423694) [likelihood params: Float32[]]"
14,117482,111.91504,186.37755,55.151592,19.310911,6.4793036e-5,6.793388e-5,0.66493356,0.51987433,111.91504,364.71973,22.74,Inf,23,"(abs((1.4863324e-5 * (-8.975884e-6 / ((X16 - (6.99255 - (X1 * (exp(log(abs(((-74.00129 + -73.989815) - -356.02878)))) / 4.829852)))) * X2)))) ^ 0.09444084) [likelihood params: Float32[]]"
15,125720,111.86035,182.23593,55.151592,15.223991,6.479235e-5,6.785768e-5,0.6649371,0.5204128,111.86035,358.58154,23.972,Inf,23,"(abs((1.44354935e-5 * (-8.7055005e-6 / ((X16 - (6.5810184 - (X1 * (exp(log(abs(((-77.323456 + -77.31278) - -352.70578)))) / 4.903435)))) * X2)))) ^ 0.09445428) [likelihood params: Float32[]]"
16,133303,76.211426,126.15591,33.271065,16.673414,6.4350716e-5,6.7464876e-5,0.66722095,0.52318895,76.211426,326.93652,26.94,Inf,16,"(abs((2.9661316e-5 * (-1.7907745e-5 / ((log(abs(X2)) - (-21.723862 - (X1 * -130.54655))) * X2)))) ^ 0.09545394) [likelihood params: Float32[]]"
17,140706,-71.54785,-19.15858,33.271065,19.118206,6.25202e-5,6.680616e-5,0.6766871,0.5278445,-71.54785,273.8706,30.606,Inf,16,"(abs((2.7812996e-5 * (-1.6789612e-5 / ((log(abs(X2)) - (-2.2046223 - (X1 * -13.49522))) * X2)))) ^ 0.10393433) [likelihood params: Float32[]]"
18,148316,-110.58545,-57.25516,33.271065,20.059223,6.203658e-5,6.646607e-5,0.6791881,0.5302481,-110.58545,246.47266,32.996,Inf,16,"(abs((8.8871704e-5 * (-5.365409e-5 / ((log(abs(X2)) - (-0.9995573 - (X1 * -8.287547))) * X2)))) ^ 0.11755429) [likelihood params: Float32[]]"
19,156581,-116.32568,-65.526855,33.271065,17.527763,6.1965475e-5,6.671173e-5,0.6795558,0.5285119,-116.32568,266.26318,35.446,Inf,16,"(abs((0.0001574149 * (-9.375864e-5 / ((log(abs(X2)) - (-0.5922356 - (X1 * -6.402813))) * X2)))) ^ 0.12553087) [likelihood params: Float32[]]"
20,164623,-116.32568,-65.526855,33.271065,17.527763,6.1965475e-5,6.671173e-5,0.6795558,0.5285119,-116.32568,266.26318,38.47,Inf,16,"(abs((0.0001574149 * (-9.375864e-5 / ((log(abs(X2)) - (-0.5922356 - (X1 * -6.402813))) * X2)))) ^ 0.12553087) [likelihood params: Float32[]]"
21,171776,-116.32861,-57.45913,41.74727,17.122215,6.196544e-5,6.671431e-5,0.679556,0.52849364,-116.32861,266.4712,40.554,Inf,19,"(abs((0.00015773752 * (-9.3952105e-5 / ((log(abs(X2)) - ((-0.31579047 + log(abs(0.759563))) - (X1 * -6.395895))) * X2)))) ^ 0.12556243) [likelihood params: Float32[]]"
22,179544,-116.32861,-57.45913,41.74727,17.122215,6.196544e-5,6.671431e-5,0.679556,0.52849364,-116.32861,266.4712,39.284,Inf,19,"(abs((0.00015773752 * (-9.3952105e-5 / ((log(abs(X2)) - ((-0.31579047 + log(abs(0.759563))) - (X1 * -6.395895))) * X2)))) ^ 0.12556243) [likelihood params: Float32[]]"
23,186628,-116.331055,-52.04464,46.141716,18.144697,6.196541e-5,6.6706714e-5,0.67955613,0.5285473,-116.331055,265.85938,39.946,Inf,21,"(abs((0.0001567016 * (-9.332979e-5 / ((log(abs(X2)) - ((-0.013585975 + log(abs((0.04883346 + 0.5101542)))) - (X1 * -6.416824))) * X2)))) ^ 0.12546104) [likelihood params: Float32[]]"
24,193501,-116.331055,-52.04464,46.141716,18.144697,6.196541e-5,6.6706714e-5,0.67955613,0.5285473,-116.331055,265.85938,42.514,Inf,21,"(abs((0.0001567016 * (-9.332979e-5 / ((log(abs(X2)) - ((-0.013585975 + log(abs((0.04883346 + 0.5101542)))) - (X1 * -6.416824))) * X2)))) ^ 0.12546104) [likelihood params: Float32[]]"
25,200719,-151.47998,-44.067554,87.49823,19.914196,6.1529965e-5,6.4346765e-5,0.681808,0.54522634,-151.47998,75.7417,45.928,Inf,38,"(abs((0.00077373703 * (-0.0004609171 / ((log(abs(X2)) - ((-12.343197 + (98793.37 / ((89240.125 - (exp((X1 * (exp((log(abs(log(abs(203.76654)))) * (-34.927536 + -34.916386))) / 125.45296))) + 73220.734)) * X2))) - (X1 * -67.33988))) * X2)))) ^ 0.13083889) [likelihood params: Float32[]]"
