-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9637,2365.63,2414.434,9.2713184e-5,0.00013387436,0.52054894,0.053837,2365.63,5676.8843,6.26,Inf,15,"(exp((0.96245676 + -3.171369)) + (sqrt(abs((0.28271052 + (X1 + -0.5924561)))) * (0.1439114 - 0.17281464))) [likelihood params: Float32[]]"
2,17988,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,5.974,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
3,25984,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,5.842,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
4,34680,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,6.024,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
5,43298,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,5.672,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
6,51612,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,6.596,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
7,60127,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,7.13,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
8,68016,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,7.39,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
9,75706,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,8.136,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
10,83045,2355.9946,2392.2732,9.259382e-5,0.00013375531,0.5211662,0.05467838,2355.9946,5667.2944,9.632,Inf,11,"(abs(sin(0.7971709)) ^ (6.520851 + sqrt(abs((0.2750968 + (X1 + -0.60006785)))))) [likelihood params: Float32[]]"
11,90525,32.174805,100.76503,6.380517e-5,6.9431764e-5,0.67004204,0.50928795,32.174805,485.38916,10.208,Inf,17,"(((6.157662 * (5.203109 - sqrt(abs((0.2945183 + (X1 + -0.5806183)))))) / -3456.699) * (log(abs(X2)) - 10.828833)) [likelihood params: Float32[]]"
12,98039,32.174805,100.76503,6.380517e-5,6.9431764e-5,0.67004204,0.50928795,32.174805,485.38916,11.866,Inf,17,"(((6.157662 * (5.203109 - sqrt(abs((0.2945183 + (X1 + -0.5806183)))))) / -3456.699) * (log(abs(X2)) - 10.828833)) [likelihood params: Float32[]]"
13,106325,32.174805,100.76503,6.380517e-5,6.9431764e-5,0.67004204,0.50928795,32.174805,485.38916,13.244,Inf,17,"(((6.157662 * (5.203109 - sqrt(abs((0.2945183 + (X1 + -0.5806183)))))) / -3456.699) * (log(abs(X2)) - 10.828833)) [likelihood params: Float32[]]"
14,113717,21.248047,91.425354,6.36698e-5,7.077187e-5,0.67074203,0.4998166,21.248047,593.34863,14.678,Inf,18,"sqrt(abs((((3.41329 * (3.0072556 - sqrt(abs((0.29451835 + (X1 + -0.5806184)))))) / -5600.379) * (log(abs(X2)) - 5.426494)))) [likelihood params: Float32[]]"
15,121137,21.248047,91.425354,6.36698e-5,7.077187e-5,0.67074203,0.4998166,21.248047,593.34863,16.566,Inf,18,"sqrt(abs((((3.41329 * (3.0072556 - sqrt(abs((0.29451835 + (X1 + -0.5806184)))))) / -5600.379) * (log(abs(X2)) - 5.426494)))) [likelihood params: Float32[]]"
