-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10993,12.456543,47.68952,19.709354,15.523625,0.00012234831,0.00010172861,0.46172822,0.33132035,12.456543,-788.64966,6.132,Inf,11,"(((-2.1447117 + -1.923695) + sqrt(abs((X2 * log(abs(-1.0280831)))))) * -0.027072096) [likelihood params: Float32[]]"
2,20250,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,5.556,Inf,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
3,29237,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,5.35,Inf,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
4,38380,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,4.518,Inf,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
5,46357,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,4.172,6.805647e35,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
6,54078,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,3.776,Inf,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
7,62187,-514.1362,-495.86874,9.656628,8.610859,0.00010882077,0.00016094426,0.5212427,-0.057914257,-514.1362,1511.8965,3.58,Inf,6,"(0.30235508 / (sqrt(abs(7.430467)) + X1)) [likelihood params: Float32[]]"
8,70371,-534.3706,-503.9298,16.125835,14.314949,0.00010830098,0.00015679067,0.5235295,-0.030611992,-534.3706,1350.5283,3.382,Inf,9,"sqrt(abs((abs((-0.0009809836 / (sqrt(abs(0.16459258)) + X1))) ^ 0.34628472))) [likelihood params: Float32[]]"
9,77902,-562.6211,-534.036,16.125835,12.459204,0.000107575266,0.0001540571,0.5267223,-0.012643695,-562.6211,1244.3281,3.204,2.0230143e32,9,"sqrt(abs((abs((-0.0012247213 / (sqrt(abs(0.21334289)) + X1))) ^ 0.35631984))) [likelihood params: Float32[]]"
10,85097,-562.6279,-534.8215,16.125835,11.680599,0.000107575084,0.00015406565,0.5267231,-0.012699962,-562.6279,1244.6606,2.916,1.3745632e6,9,"sqrt(abs((abs((-0.0012248971 / (sqrt(abs(0.2132376)) + X1))) ^ 0.35631293))) [likelihood params: Float32[]]"
