-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9778,500.8125,519.14636,0.00013489359,0.000105598425,0.40653515,0.30588365,500.8125,-638.30615,5.94,Inf,5,"((X2 * -0.00030758942) + 0.09568282) [likelihood params: Float32[]]"
2,17574,-337.9038,-319.93463,0.00011334798,0.00016409271,0.5013252,-0.07860923,-337.9038,1634.2148,5.576,Inf,5,"((X1 * -0.021893851) + 0.104493335) [likelihood params: Float32[]]"
3,25777,-549.63965,-513.9165,0.00010790874,0.00015028584,0.52525514,0.012145758,-549.63965,1097.8135,5.404,Inf,11,"((-818.29156 * log(abs(exp((log(abs(sqrt(abs(X1)))) / 22813.367))))) + 0.07977884) [likelihood params: Float32[]]"
4,33808,-549.63965,-513.9165,0.00010790874,0.00015028584,0.52525514,0.012145758,-549.63965,1097.8135,5.058,Inf,11,"((-818.29156 * log(abs(exp((log(abs(sqrt(abs(X1)))) / 22813.367))))) + 0.07977884) [likelihood params: Float32[]]"
5,41528,-549.63965,-513.9165,0.00010790874,0.00015028584,0.52525514,0.012145758,-549.63965,1097.8135,5.344,Inf,11,"((-818.29156 * log(abs(exp((log(abs(sqrt(abs(X1)))) / 22813.367))))) + 0.07977884) [likelihood params: Float32[]]"
6,49111,-549.63965,-513.9165,0.00010790874,0.00015028584,0.52525514,0.012145758,-549.63965,1097.8135,5.802,Inf,11,"((-818.29156 * log(abs(exp((log(abs(sqrt(abs(X1)))) / 22813.367))))) + 0.07977884) [likelihood params: Float32[]]"
7,57590,-577.3335,-541.10187,0.000107197324,0.00015603153,0.52838504,-0.025621653,-577.3335,1321.0352,6.704,Inf,10,"sqrt(abs((exp(-2.528634) + ((9.260924 + sin(X1)) * -0.0072782584)))) [likelihood params: Float32[]]"
8,66068,-577.33594,-542.24536,0.00010719726,0.00015603816,0.5283853,-0.025665402,-577.33594,1321.2935,7.126,Inf,11,"sqrt(abs((exp(-4.3928986) + ((exp(-57.76985) + sin(X1)) * -0.00727867)))) [likelihood params: Float32[]]"
9,74649,-577.33594,-542.24536,0.00010719726,0.00015603816,0.5283853,-0.025665402,-577.33594,1321.2935,8.498,Inf,11,"sqrt(abs((exp(-4.3928986) + ((exp(-57.76985) + sin(X1)) * -0.00727867)))) [likelihood params: Float32[]]"
10,83079,-577.33594,-542.24536,0.00010719726,0.00015603816,0.5283853,-0.025665402,-577.33594,1321.2935,9.004,Inf,11,"sqrt(abs((exp(-4.3928986) + ((exp(-57.76985) + sin(X1)) * -0.00727867)))) [likelihood params: Float32[]]"
11,91943,-577.33594,-542.24536,0.00010719726,0.00015603816,0.5283853,-0.025665402,-577.33594,1321.2935,10.476,Inf,11,"sqrt(abs((exp(-4.3928986) + ((exp(-57.76985) + sin(X1)) * -0.00727867)))) [likelihood params: Float32[]]"
12,100564,-994.63403,-870.46875,9.647737e-5,0.0001391053,0.57554746,0.08563727,-994.63403,663.4463,12.614,Inf,35,"(((((-1.457519 + X1) * -9.814972) / ((X3 + exp(X9)) * (-28157.742 / -65.22253))) + ((16.53509 + log(abs((-1.8569124e-5 + sin(X6))))) * 0.0014567807)) + (sqrt(abs((0.049240552 / (-0.6048264 + (-283.64227 / -4087.8496))))) + -0.23953654)) [likelihood params: Float32[]]"
13,109654,-994.63403,-870.46875,9.647737e-5,0.0001391053,0.57554746,0.08563727,-994.63403,663.4463,14.126,Inf,35,"(((((-1.457519 + X1) * -9.814972) / ((X3 + exp(X9)) * (-28157.742 / -65.22253))) + ((16.53509 + log(abs((-1.8569124e-5 + sin(X6))))) * 0.0014567807)) + (sqrt(abs((0.049240552 / (-0.6048264 + (-283.64227 / -4087.8496))))) + -0.23953654)) [likelihood params: Float32[]]"
14,118957,-1124.8821,-1002.03296,9.313145e-5,0.00014382515,0.5902679,0.054612875,-1124.8821,846.81396,16.886,Inf,35,"(((((-1.1836817 + X1) * -9.900648) / ((X3 + exp(X7)) * (-27826.438 / -65.87431))) + ((16.662823 + log(abs((-2.9519591e-5 + sin(X6))))) * 0.0015744213)) + (sqrt(abs((0.04949814 / (-0.60199124 + (-294.8229 / -3931.8147))))) + -0.2387824)) [likelihood params: Float32[]]"
15,128418,-1347.4089,-1200.6198,8.741501e-5,0.00013874055,0.61541736,0.08803481,-1347.4089,649.2759,17.428,Inf,44,"(((((-1.7873029 + X1) * -10.79753) / ((X3 + exp(X7)) * (-33039.51 / -71.75358))) + ((15.133672 + log(abs((-0.23387222 + sin(X6))))) * sqrt(abs(((X7 / (32607.822 * (-26923.146 / -31940.352))) + 0.00028142045))))) + (sqrt(abs((0.025509197 / (-1.0583719 + (5427.3687 / -40030.1))))) + -0.31219476)) [likelihood params: Float32[]]"
16,137844,-1347.4089,-1200.6198,8.741501e-5,0.00013874055,0.61541736,0.08803481,-1347.4089,649.2759,19.008,Inf,44,"(((((-1.7873029 + X1) * -10.79753) / ((X3 + exp(X7)) * (-33039.51 / -71.75358))) + ((15.133672 + log(abs((-0.23387222 + sin(X6))))) * sqrt(abs(((X7 / (32607.822 * (-26923.146 / -31940.352))) + 0.00028142045))))) + (sqrt(abs((0.025509197 / (-1.0583719 + (5427.3687 / -40030.1))))) + -0.31219476)) [likelihood params: Float32[]]"
