-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10767,5195.2627,5233.8716,11445.769,10474.748,0.9199665,0.8630792,5195.2627,1293.9758,6.228,Inf,14,"(log(abs(X2)) * (log(abs(exp((X3 - X5)))) * exp(exp((X5 * 0.5803019))))) [likelihood params: Float32[]]"
2,19073,5195.2627,5233.8716,11445.769,10474.748,0.9199665,0.8630792,5195.2627,1293.9758,6.466,Inf,14,"(log(abs(X2)) * (log(abs(exp((X3 - X5)))) * exp(exp((X5 * 0.5803019))))) [likelihood params: Float32[]]"
3,27970,5195.2627,5233.8716,11445.769,10474.748,0.9199665,0.8630792,5195.2627,1293.9758,6.51,Inf,14,"(log(abs(X2)) * (log(abs(exp((X3 - X5)))) * exp(exp((X5 * 0.5803019))))) [likelihood params: Float32[]]"
4,37019,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,6.798,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
5,46324,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,7.32,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
6,55879,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,8.146,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
7,65884,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,9.068,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
8,76123,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,9.874,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
9,86994,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,11.188,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
10,98516,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,12.326,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
11,110352,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,14.81,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
12,122199,3387.1675,3417.777,4550.614,4927.8936,0.96818024,0.93558496,3387.1675,913.0263,16.546,Inf,10,"(log(abs(X2)) * (2.407466 * exp(exp((X5 * 0.5242156))))) [likelihood params: Float32[]]"
13,134063,3348.0352,3419.9602,4401.3823,20319.021,0.96922374,0.7343997,3348.0352,1970.0652,17.686,Inf,18,"(((15602.893 + (-175825.31 + (X1 * (-811.9909 * (log(abs(-27.018652)) - X5))))) * -0.026717976) * (-3.2361264 + X5)) [likelihood params: Float32[]]"
