-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9981,-334.57855,-308.93637,14.4849415,11.157232,0.001230716,0.0014637529,0.96430403,0.85230684,-334.57855,-153.56792,6.2,Inf,9,"((-2.8844006 + X1) + (abs((X1 / 5.6346073)) ^ -0.26693958)) [likelihood params: Float32[0.02]]"
2,19794,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,5.876,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
3,29279,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,6.222,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
4,38142,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,6.426,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
5,46845,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,6.728,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
6,55831,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,7.55,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
7,65392,-339.69296,-309.7948,17.513191,12.384968,0.0012129268,0.0014842732,0.96481997,0.8502363,-339.69296,-150.18205,8.46,Inf,9,"(abs((-5.5921392 / X1)) ^ ((0.006127939 * X2) - -0.23513569)) [likelihood params: Float32[0.02]]"
8,74252,-340.42728,-285.04822,41.74727,13.631768,0.0012103725,0.0014214971,0.96489406,0.8565705,-340.42728,-160.54013,9.468,Inf,19,"((-2.8844006 + 0.37662682) + (abs((X1 / (0.89080274 / sqrt(abs((0.010918298 * sqrt(abs((-8.820102 - (1.2005548 - X2)))))))))) ^ -0.26832497)) [likelihood params: Float32[0.02]]"
9,82519,-340.42728,-285.04822,41.74727,13.631768,0.0012103725,0.0014214971,0.96489406,0.8565705,-340.42728,-160.54013,10.284,Inf,19,"((-2.8844006 + 0.37662682) + (abs((X1 / (0.89080274 / sqrt(abs((0.010918298 * sqrt(abs((-8.820102 - (1.2005548 - X2)))))))))) ^ -0.26832497)) [likelihood params: Float32[0.02]]"
10,91026,-340.42728,-285.04822,41.74727,13.631768,0.0012103725,0.0014214971,0.96489406,0.8565705,-340.42728,-160.54013,11.452,Inf,19,"((-2.8844006 + 0.37662682) + (abs((X1 / (0.89080274 / sqrt(abs((0.010918298 * sqrt(abs((-8.820102 - (1.2005548 - X2)))))))))) ^ -0.26832497)) [likelihood params: Float32[0.02]]"
