-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9663,-344.98718,-294.88293,0.0011945121,0.0013246823,0.9653541,0.8663391,-344.98718,-176.51457,5.794,Inf,18,"((4.7383304 + 5.2115827) / (((-36.61487 / X1) + 6.9689317) + (((X2 * -0.3199004) + sqrt(abs(X1))) - -6.099248))) [likelihood params: Float32[]]"
2,18371,-344.98727,-293.33353,0.0011945118,0.0013246613,0.9653541,0.86634123,-344.98727,-176.51804,6.054,Inf,18,"((3.0076146 * 3.308206) / (((-36.613052 / X1) + 6.9689064) + (((X2 * -0.32001284) + sqrt(abs(X1))) - -6.099573))) [likelihood params: Float32[]]"
3,27013,-344.98727,-293.33353,0.0011945118,0.0013246613,0.9653541,0.86634123,-344.98727,-176.51804,6.766,Inf,18,"((3.0076146 * 3.308206) / (((-36.613052 / X1) + 6.9689064) + (((X2 * -0.32001284) + sqrt(abs(X1))) - -6.099573))) [likelihood params: Float32[]]"
4,35709,-344.98727,-293.33353,0.0011945118,0.0013246613,0.9653541,0.86634123,-344.98727,-176.51804,6.782,Inf,18,"((3.0076146 * 3.308206) / (((-36.613052 / X1) + 6.9689064) + (((X2 * -0.32001284) + sqrt(abs(X1))) - -6.099573))) [likelihood params: Float32[]]"
5,44408,-345.7224,-289.91028,0.0011919547,0.0013348236,0.96542823,0.86531585,-345.7224,-174.84126,7.568,Inf,20,"((3.0080304 * 3.3036084) / (((-36.378815 / X1) + 7.882876) + (((X2 * 0.2091358) + sqrt(abs(X1))) - (-12.345379 / X2)))) [likelihood params: Float32[]]"
6,53492,-345.7225,-273.85754,0.0011919545,0.0013349622,0.96542823,0.86530185,-345.7225,-174.81839,8.326,Inf,26,"((3.0080595 * 3.3034756) / (((-36.373672 / X1) + 7.8097434) + (((X2 * (exp((-14.1378765 - X1)) + sqrt(abs(0.046905)))) + sqrt(abs(X1))) - (-12.518109 / X2)))) [likelihood params: Float32[]]"
7,62660,-360.03354,-288.6387,0.001142177,0.0035275035,0.96687204,0.6440737,-360.03354,186.95093,9.516,Inf,19,"sqrt(abs((sin((sqrt(abs(-123.302605)) + ((-3.9050343 * 0.22077513) / (((49.322697 / X1) + -1.0149696) + 0.74200153)))) + sqrt(abs(-0.15414035))))) [likelihood params: Float32[]]"
8,71462,-360.03354,-288.6387,0.001142177,0.0035275035,0.96687204,0.6440737,-360.03354,186.95093,10.976,Inf,19,"sqrt(abs((sin((sqrt(abs(-123.302605)) + ((-3.9050343 * 0.22077513) / (((49.322697 / X1) + -1.0149696) + 0.74200153)))) + sqrt(abs(-0.15414035))))) [likelihood params: Float32[]]"
9,79908,-370.24667,-307.71298,0.001106653,0.01713517,0.96790236,-0.7289443,-370.24667,2432.2158,12.702,Inf,19,"sqrt(abs((sin((sqrt(abs(-0.03570837)) + ((-4.032446 * 0.22795056) / (((48.796494 / X1) + -1.0156457) + 0.7413253)))) + sqrt(abs(-0.505077))))) [likelihood params: Float32[]]"
10,89139,-370.24667,-307.71298,0.001106653,0.01713517,0.96790236,-0.7289443,-370.24667,2432.2158,14.208,Inf,19,"sqrt(abs((sin((sqrt(abs(-0.03570837)) + ((-4.032446 * 0.22795056) / (((48.796494 / X1) + -1.0156457) + 0.7413253)))) + sqrt(abs(-0.505077))))) [likelihood params: Float32[]]"
11,98611,-378.88055,-317.9516,0.0010766222,0.0019013264,0.96877337,0.80815554,-378.88055,-81.36832,15.852,Inf,24,"(0.9417225 - (abs(-0.0073078354) ^ ((12.12077 * 13.374868) / (((38661.37 / X1) + -1268.228) + (((X2 * 157.8188) + sqrt(abs(X1))) - (-5297.9346 / X2)))))) [likelihood params: Float32[]]"
12,108006,-399.69498,-301.61392,0.0010042242,0.0014518079,0.97087324,0.8535121,-399.69498,-155.53885,17.348,Inf,32,"(abs(-0.94269407) ^ (sqrt(abs(-63.766468)) + ((sqrt(abs(X2)) / ((sqrt(abs(28.023457)) + ((325.33325 * 467.92682) / (((-243623.67 / X1) + 3508.8574) + 3538.753))) + -1.8171631)) / (((0.60862195 / X1) + -0.8756652) + 0.88130593)))) [likelihood params: Float32[]]"
