-- NEO GP --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10623,565.6477,581.96765,9.656628,6.6633577,0.024525164,0.039928168,0.54082274,0.46551198,565.6477,957.23206,5.99,Inf,6,"(abs((367.2316 / log(abs(X1)))) ^ 0.08948091) [likelihood params: Float32[]]"
2,19404,565.6477,581.96765,9.656628,6.6633577,0.024525164,0.039928168,0.54082274,0.46551198,565.6477,957.23206,5.664,Inf,6,"(abs((367.2316 / log(abs(X1)))) ^ 0.08948091) [likelihood params: Float32[]]"
3,28602,565.6477,581.96765,9.656628,6.6633577,0.024525164,0.039928168,0.54082274,0.46551198,565.6477,957.23206,5.678,Inf,6,"(abs((367.2316 / log(abs(X1)))) ^ 0.08948091) [likelihood params: Float32[]]"
4,37276,394.02567,441.3671,33.271065,14.070372,0.02023461,0.023126163,0.6211535,0.69042766,394.02567,412.84702,5.276,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50928843 - (sin((sqrt(abs(X1)) + 3.5406435)) * 2.455082))) [likelihood params: Float32[]]"
5,46248,394.02567,441.3671,33.271065,14.070372,0.02023461,0.023126163,0.6211535,0.69042766,394.02567,412.84702,5.422,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50928843 - (sin((sqrt(abs(X1)) + 3.5406435)) * 2.455082))) [likelihood params: Float32[]]"
6,54800,394.02567,441.3671,33.271065,14.070372,0.02023461,0.023126163,0.6211535,0.69042766,394.02567,412.84702,5.754,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50928843 - (sin((sqrt(abs(X1)) + 3.5406435)) * 2.455082))) [likelihood params: Float32[]]"
7,63362,394.02567,441.3671,33.271065,14.070372,0.02023461,0.023126163,0.6211535,0.69042766,394.02567,412.84702,6.074,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50928843 - (sin((sqrt(abs(X1)) + 3.5406435)) * 2.455082))) [likelihood params: Float32[]]"
8,71372,394.02567,441.3671,33.271065,14.070372,0.02023461,0.023126163,0.6211535,0.69042766,394.02567,412.84702,6.712,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50928843 - (sin((sqrt(abs(X1)) + 3.5406435)) * 2.455082))) [likelihood params: Float32[]]"
9,79418,394.02536,441.36676,33.271065,14.07033,0.020234603,0.023126313,0.6211536,0.69042563,394.02536,412.85196,7.868,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50927156 - (sin((sqrt(abs(X1)) + 3.5406477)) * 2.4550614))) [likelihood params: Float32[]]"
10,87590,394.02536,441.36676,33.271065,14.07033,0.020234603,0.023126313,0.6211536,0.69042563,394.02536,412.85196,8.848,6.805647e35,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50927156 - (sin((sqrt(abs(X1)) + 3.5406477)) * 2.4550614))) [likelihood params: Float32[]]"
11,95823,394.02536,441.36676,33.271065,14.07033,0.020234603,0.023126313,0.6211536,0.69042563,394.02536,412.85196,11.258,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50927156 - (sin((sqrt(abs(X1)) + 3.5406477)) * 2.4550614))) [likelihood params: Float32[]]"
12,104246,394.02536,441.36676,33.271065,14.07033,0.020234603,0.023126313,0.6211536,0.69042563,394.02536,412.85196,13.13,Inf,16,"((abs(sqrt(abs((X1 - 1.8059497)))) ^ X1) * (-0.50927156 - (sin((sqrt(abs(X1)) + 3.5406477)) * 2.4550614))) [likelihood params: Float32[]]"
13,113251,-162.45868,-114.444626,29.188652,18.825396,0.0063225017,0.0070079896,0.8816257,0.9061894,-162.45868,-109.38173,14.93,Inf,15,"(((X1 - 5.368911) * X1) * (-1.4576625 - (sin((sqrt(abs(X1)) + 3.086149)) * 1.2224408))) [likelihood params: Float32[]]"
14,122882,-174.16893,-118.79436,33.08047,22.294096,0.0060297456,0.0065901307,0.8871069,0.9117829,-174.16893,-122.92035,17.218,Inf,17,"(((X1 - 4.956561) * X1) * ((-0.44871897 * X1) - (sin((sqrt(abs(X1)) + 2.0986798)) * 1.6532038))) [likelihood params: Float32[]]"
15,133106,-184.94289,-130.08354,33.08047,21.778875,0.005760397,0.0064400095,0.8921498,0.9137925,-184.94289,-127.78429,19.084,Inf,17,"(((X1 - 4.6477647) * X1) * ((-0.52380604 * X1) - (sin((sqrt(abs(X1)) + 2.1200824)) * 1.8679228))) [likelihood params: Float32[]]"
16,143583,-193.35054,-102.79404,66.54213,24.014376,0.0055502052,0.00606345,0.89608514,0.9188332,-193.35054,-139.98482,20.52,Inf,32,"(((X1 - 6.061096) * (0.78974193 + ((-0.62464875 + (0.5982507 * X1)) * sqrt(abs((sqrt(abs(exp(0.00979995))) * (1.6523014 - (-0.83415747 * -0.20390235)))))))) * (-1.5053723 - (sin((sqrt(abs(X1)) + 3.0327446)) * 1.254794))) [likelihood params: Float32[]]"
17,155002,-232.00513,-171.7296,44.75593,15.519587,0.0045838403,0.0055333534,0.91417813,0.9259292,-232.00513,-157.15994,22.49,Inf,23,"sqrt(abs((5.871172 - sqrt(abs(((X1 + ((4.591532 - -3.659769) - (-0.54839015 + (2.9924088 * X1)))) * (sin((sqrt(abs(X1)) + 2.1268451)) * 4.289525))))))) [likelihood params: Float32[]]"
18,165895,-363.25446,-212.63129,112.05846,38.564716,0.0013026072,0.0013431499,0.9756117,0.98202026,-363.25446,-292.92252,24.91,Inf,51,"(((X1 - 4.857702) * (2.046637 + ((-0.6254412 + (0.43608293 * X1)) * sqrt(abs((sqrt(abs(exp(-1.5417945))) * (sqrt(sqrt(abs((2.2862062 * sqrt(abs(6.3077106)))))) * (15.161262 - (sin((15.255451 - sqrt(abs(((6.3303742 + (X1 * 9.662205)) * (-4.2080874 - X1)))))) * -2.4354959))))))))) * (-1.4833841 - (sin((sqrt(abs(X1)) + 3.1642904)) * 1.2836874))) [likelihood params: Float32[]]"
19,178196,-363.3442,-212.2125,112.05846,39.073265,0.0013003636,0.0013432855,0.9756537,0.9820185,-363.3442,-292.91812,27.292,Inf,51,"(((X1 - 4.7448387) * (2.2482345 + ((-0.6385174 + (0.42383114 * X1)) * sqrt(abs((sqrt(abs(exp(-1.4478217))) * (sqrt(sqrt(abs((2.7569885 * sqrt(abs(9.138636)))))) * (15.223658 - (sin((14.435746 - sqrt(abs(((5.9803815 + (X1 * 10.691485)) * (-3.1813736 - X1)))))) * -2.327899))))))))) * (-1.492082 - (sin((sqrt(abs(X1)) + 3.178029)) * 1.2909707))) [likelihood params: Float32[]]"
20,190817,-363.44794,-212.94783,112.05846,38.441654,0.0012977702,0.0013441626,0.9757022,0.9820067,-363.44794,-292.8897,31.986,Inf,51,"(((X1 - 4.642729) * (2.4586084 + ((-0.6498728 + (0.41131124 * X1)) * sqrt(abs((sqrt(abs(exp(-1.3773906))) * (sqrt(sqrt(abs((3.1711867 * sqrt(abs(12.093334)))))) * (15.799682 - (sin((13.267299 - sqrt(abs(((4.9232235 + (X1 * 11.963637)) * (-2.0863805 - X1)))))) * -2.2965422))))))))) * (-1.5009646 - (sin((sqrt(abs(X1)) + 3.1909935)) * 1.2985686))) [likelihood params: Float32[]]"
21,203778,-366.18866,-148.23093,171.38351,46.57422,0.0012292522,0.0013549149,0.9769851,0.9818628,-366.18866,-292.54135,35.768,Inf,78,"(((X1 - 4.9122953) * (2.2870374 + ((-0.6767892 + (0.31803456 * X1)) * sqrt(abs((sqrt(abs(exp(-1.5858775))) * (sqrt(sqrt(abs((2.0861208 * sqrt(abs(5.217646)))))) * (14.858466 - (sin((12.811819 - sqrt(abs((((sqrt(abs(exp(-1.1090841))) * (sqrt(sqrt(abs((5.215191 * sqrt(abs(30.55628)))))) * (19.125463 - (sin((13.255358 - sqrt(abs(((357.66162 + (X1 * 186.68567)) * (-5.517681 - X1)))))) * -0.43541276)))) + (X1 * 11.429946)) * (-3.9738097 - X1)))))) * -2.3573859))))))))) * (-1.5280023 - (sin((sqrt(abs(X1)) + 3.1711633)) * 1.2595967))) [likelihood params: Float32[]]"
22,217523,-366.3581,-153.09662,171.38351,41.877968,0.0012250162,0.0013730021,0.9770644,0.98162067,-366.3581,-291.95532,37.256,Inf,78,"(((X1 - 4.950177) * (2.2600307 + ((-0.6800533 + (0.3051556 * X1)) * sqrt(abs((sqrt(abs(exp(-1.6065216))) * (sqrt(sqrt(abs((2.00163 * sqrt(abs(4.803013)))))) * (14.68413 - (sin((13.060453 - sqrt(abs((((sqrt(abs(exp(-1.0138532))) * (sqrt(sqrt(abs((6.3003974 * sqrt(abs(44.471558)))))) * (20.051092 - (sin((13.850567 - sqrt(abs(((368.88535 + (X1 * 192.63585)) * (-5.4611187 - X1)))))) * -0.43076673)))) + (X1 * 11.935966)) * (-3.5015442 - X1)))))) * -2.2886982))))))))) * (-1.5301774 - (sin((sqrt(abs(X1)) + 3.1655312)) * 1.2499067))) [likelihood params: Float32[]]"
23,231923,-366.3581,-153.09662,171.38351,41.877968,0.0012250162,0.0013730021,0.9770644,0.98162067,-366.3581,-291.95532,42.116,Inf,78,"(((X1 - 4.950177) * (2.2600307 + ((-0.6800533 + (0.3051556 * X1)) * sqrt(abs((sqrt(abs(exp(-1.6065216))) * (sqrt(sqrt(abs((2.00163 * sqrt(abs(4.803013)))))) * (14.68413 - (sin((13.060453 - sqrt(abs((((sqrt(abs(exp(-1.0138532))) * (sqrt(sqrt(abs((6.3003974 * sqrt(abs(44.471558)))))) * (20.051092 - (sin((13.850567 - sqrt(abs(((368.88535 + (X1 * 192.63585)) * (-5.4611187 - X1)))))) * -0.43076673)))) + (X1 * 11.935966)) * (-3.5015442 - X1)))))) * -2.2886982))))))))) * (-1.5301774 - (sin((sqrt(abs(X1)) + 3.1655312)) * 1.2499067))) [likelihood params: Float32[]]"
