-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11148,17947.377,17974.543,16.125835,11.041356,5476.1313,4140.0684,0.32926285,0.40067422,17947.377,10434.711,6.104,Inf,9,"(138.0503 + ((X5 * -0.20472634) / (-0.9152164 / X8))) [likelihood params: Float32[74.00088]]"
2,19692,17725.574,17790.117,52.753696,11.789581,4753.7925,3680.8625,0.4177376,0.4671499,17725.574,10319.973,5.688,Inf,22,"(sin((-0.44979355 / (X10 / (1.1057276 / 0.69118387)))) * log(abs((abs(((X25 * (X12 * 0.20936887)) / 0.041381672)) ^ (exp(-0.5419139) + 0.050287616))))) [likelihood params: Float32[68.9478]]"
3,28693,17725.574,17790.117,52.753696,11.789581,4753.7925,3680.8625,0.4177376,0.4671499,17725.574,10319.973,5.768,Inf,22,"(sin((-0.44979355 / (X10 / (1.1057276 / 0.69118387)))) * log(abs((abs(((X25 * (X12 * 0.20936887)) / 0.041381672)) ^ (exp(-0.5419139) + 0.050287616))))) [likelihood params: Float32[68.9478]]"
4,37370,17721.115,17777.527,46.0517,10.360742,4740.294,3689.9287,0.41939098,0.46583748,17721.115,10321.159,6.308,Inf,20,"(sin((-0.44979355 / (X10 / (1.1057276 / 0.69118387)))) * log(abs((abs(((X25 * 86.56591) / 0.12928282)) ^ (exp(-0.5261508) + 0.05893066))))) [likelihood params: Float32[68.849815]]"
5,46443,17721.115,17777.527,46.0517,10.360742,4740.294,3689.9287,0.41939098,0.46583748,17721.115,10321.159,6.736,Inf,20,"(sin((-0.44979355 / (X10 / (1.1057276 / 0.69118387)))) * log(abs((abs(((X25 * 86.56591) / 0.12928282)) ^ (exp(-0.5261508) + 0.05893066))))) [likelihood params: Float32[68.849815]]"
6,55920,17603.664,17660.6,37.352818,19.581738,4398.197,3605.9045,0.46129233,0.478001,17603.664,10289.988,6.974,Inf,17,"(log(abs(log(abs(X13)))) - (log(abs(((log(abs((X1 / -20.678377))) / -0.1035258) / (X3 - 71.21077)))) * X15)) [likelihood params: Float32[66.31889]]"
7,66279,17603.568,17660.643,37.352818,19.720446,4397.9277,3603.802,0.4613253,0.4783054,17603.568,10289.533,7.668,Inf,17,"(log(abs(log(abs(X13)))) - (log(abs(((log(abs((X1 / -20.690334))) / -0.10350028) / (X3 - 71.26352)))) * X15)) [likelihood params: Float32[66.316864]]"
8,76549,17602.305,17670.508,48.354286,19.849838,4394.383,3600.9116,0.46175945,0.47872376,17602.305,10288.785,8.422,Inf,21,"(log(abs((sqrt(abs(X19)) - (466.76944 - -305.53217)))) - (log(abs(((log(abs((X1 / -20.68627))) / -0.10006341) / (X3 - 71.2598)))) * X15)) [likelihood params: Float32[66.29016]]"
9,86966,17525.633,17579.88,31.191624,23.057087,4184.677,3440.5708,0.48744506,0.5019351,17525.633,10245.797,9.918,Inf,15,"(370.1506 - (log(abs(((log(abs((X1 / -20.703674))) / -0.007147504) / (X3 - 71.1298)))) * X15)) [likelihood params: Float32[64.68912]]"
10,97730,17507.59,17563.564,31.191624,24.783337,4136.7964,3403.0818,0.49330962,0.5073621,17507.59,10235.5,11.302,Inf,15,"(499.72482 - (log(abs(((log(abs((X1 / -20.704607))) / -0.0027965691) / (X3 - 71.05371)))) * X15)) [likelihood params: Float32[64.31793]]"
