-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9516,186.08897,218.67665,20.794415,11.793261,0.09882347,0.13543263,0.12921846,0.03283471,186.08897,158.66852,5.938,Inf,10,"(3.4240324 * log(abs(((1216.3354 / (X40 + X44)) - 4.2555246)))) [likelihood params: Float32[0.314362]]"
2,18384,140.50519,155.93991,5.5451775,9.889538,0.086930655,0.19959503,0.23401183,-0.42536843,140.50519,300.19843,5.546,Inf,4,"log(abs((322.82675 - X47))) [likelihood params: Float32[0.29484004]]"
3,27124,140.50519,155.93991,5.5451775,9.889538,0.086930655,0.19959503,0.23401183,-0.42536843,140.50519,300.19843,5.628,Inf,4,"log(abs((322.82675 - X47))) [likelihood params: Float32[0.29484004]]"
4,36204,140.50519,155.93991,5.5451775,9.889538,0.086930655,0.19959503,0.23401183,-0.42536843,140.50519,300.19843,6.208,Inf,4,"log(abs((322.82675 - X47))) [likelihood params: Float32[0.29484004]]"
5,45506,120.35892,149.4275,14.334076,14.734513,0.08214127,0.16520442,0.2762134,-0.17977464,120.35892,239.58687,6.268,Inf,8,"log(abs(((315.3015 - X47) / log(abs(sin(-2.8948793)))))) [likelihood params: Float32[0.286603]]"
6,54479,110.695755,127.92619,6.931472,10.298965,0.07993859,0.1586516,0.29562235,-0.13297904,110.695755,230.0488,6.73,Inf,5,"(-11.215256 + (X31 * 0.04122895)) [likelihood params: Float32[0.28273407]]"
7,63609,110.69559,127.88666,6.931472,10.259602,0.079938546,0.15865915,0.2956227,-0.13303292,110.69559,230.06558,7.086,Inf,5,"(-11.217347 + (X31 * 0.04123503)) [likelihood params: Float32[0.28273404]]"
8,72896,110.69559,127.88666,6.931472,10.259602,0.079938546,0.15865915,0.2956227,-0.13303292,110.69559,230.06558,8.054,Inf,5,"(-11.217347 + (X31 * 0.04123503)) [likelihood params: Float32[0.28273404]]"
9,82615,110.69559,127.88666,6.931472,10.259602,0.079938546,0.15865915,0.2956227,-0.13303292,110.69559,230.06558,9.192,Inf,5,"(-11.217347 + (X31 * 0.04123503)) [likelihood params: Float32[0.28273404]]"
10,92882,97.789154,163.29214,41.74727,23.75572,0.07708843,0.075268775,0.32073647,0.46248293,97.789154,44.635956,9.98,Inf,19,"(((306.94174 + (-12.080245 + -8.390487)) - X47) * (1.8299086 - sqrt(abs((((13.486365 - 17.28075) / log(abs(X35))) - 2.8198357))))) [likelihood params: Float32[0.27764812]]"
11,103764,61.186127,125.79222,41.74727,22.858822,0.06954618,0.06853353,0.38719487,0.5105814,61.186127,27.965485,11.212,Inf,19,"(((301.32227 + (-17.766018 + -14.055811)) - X47) * (1.786307 - sqrt(abs((((14.5457 - 16.221422) / log(abs(X35))) - 3.0174286))))) [likelihood params: Float32[0.26371607]]"
