gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.09314777,0.062893696,0.073526815,0.10455367,0.10601182,0.14140527,0.12922218,0.13315041,0.16206567,0.18902835,165.06183,25.442322,80.97293,206.12685,211.05057,192.32224,68.0104,102.16162,231.59616,237.44286,6,3,3,14,16
2,0.08227854,0.061171252,0.062196754,0.09950325,0.10174636,0.1509385,0.12922856,0.13285874,0.1890266,0.19959503,120.95256,15.570587,21.480957,188.52596,196.451,151.49432,40.63626,68.0104,213.56189,230.31516,7,3,4,14,17
3,0.081085466,0.061158396,0.061171245,0.09707641,0.09777856,0.15093833,0.1292973,0.13314973,0.1639057,0.18902835,115.75986,15.49588,15.570557,179.74796,182.31003,137.64203,40.816765,47.869038,197.19131,208.97855,8,4,4,14,15
4,0.079436,0.06059765,0.061158396,0.08808914,0.09553786,0.15157633,0.1292245,0.13315047,0.16390498,0.18902951,108.45363,12.2213745,15.49588,145.21146,174.06862,129.96135,36.52879,40.422173,179.07178,201.64345,8,4,5,15,18
5,0.07352674,0.059672143,0.060754206,0.08576717,0.0881029,0.15109394,0.12445977,0.13561927,0.15985283,0.16487585,80.972565,6.7499695,13.138611,135.71504,145.26698,127.86273,33.288216,37.148674,176.54916,192.67177,10,5,5,18,19
6,0.0654619,0.05878033,0.060735807,0.08576716,0.087443106,0.15118141,0.12075755,0.13315052,0.15933724,0.1639057,39.670258,1.3968201,13.030945,135.71495,142.59468,96.39395,33.280617,36.97544,165.42313,188.95822,10,5,5,16,19
7,0.062087245,0.05660344,0.059672143,0.085208826,0.0858846,0.15101668,0.11988026,0.13327011,0.1598326,0.16487585,20.854492,-12.018921,6.7499695,133.39314,136.20142,73.61491,32.9667,33.456944,162.47772,181.80737,11,5,6,17,22
8,0.061171327,0.055651873,0.057229847,0.08151729,0.08576717,0.15093388,0.11988026,0.13241857,0.1598326,0.16374068,15.571045,-18.046051,-8.106323,117.64807,135.71504,63.692078,23.954193,33.228203,155.07765,179.21416,11,5,6,17,22
9,0.061171196,0.054642256,0.056169983,0.08139892,0.08576717,0.15093388,0.121458165,0.12562902,0.15923359,0.16098474,15.570282,-24.554688,-14.751709,117.1315,135.71501,60.65921,16.293232,31.580502,157.57288,175.279,12,5,6,21,25
10,0.060809836,0.053739235,0.055651873,0.07982997,0.08146011,0.15020263,0.11420475,0.13480857,0.1598326,0.16039486,13.463959,-30.47873,-18.046051,110.2124,117.398636,56.70463,11.6527,25.032497,168.62329,186.31335,12,6,7,22,24
11,0.060754206,0.052941658,0.054248113,0.07943597,0.081460066,0.15093847,0.11420117,0.13480857,0.15961228,0.16098474,13.138611,-35.794495,-27.128174,108.453476,117.39845,53.678806,3.6293678,14.2918,149.75438,184.41595,12,6,8,23,28
12,0.060694173,0.052020084,0.053645648,0.07814761,0.07943597,0.15093863,0.113596074,0.13336465,0.16034068,0.16364792,12.78717,-42.037262,-31.098389,102.64044,108.453476,52.91012,0.07476139,6.902692,149.75438,182.03606,12,7,9,26,31
13,0.059773467,0.051465638,0.052251216,0.07769228,0.07899488,0.15107022,0.104567505,0.1278466,0.16063982,0.16791219,7.353058,-45.84665,-40.461243,100.563034,106.47395,51.29776,-0.7687969,4.216112,154.69772,192.17017,14,7,9,30,38
14,0.059377186,0.05061144,0.0515311,0.0759409,0.07899488,0.15094236,0.09598575,0.104567505,0.16098474,0.17048481,4.988312,-51.79657,-45.394775,92.45746,106.47395,52.91012,-0.7687969,4.2633715,154.69757,194.57939,16,8,9,36,42
15,0.058073383,0.05061144,0.051465638,0.071848124,0.0784967,0.15093507,0.084701926,0.10241255,0.1606081,0.17048481,-2.9046936,-51.79657,-45.84665,72.76242,104.2249,52.82367,-0.15014267,4.2633715,140.182,178.0174,16,7,9,38,42
16,0.056464177,0.04923397,0.050838053,0.071848124,0.07707762,0.15093692,0.06569451,0.09345545,0.16098474,0.17038831,-12.894623,-61.60617,-50.208344,72.76242,97.73935,52.140354,-11.418322,3.4649277,143.93776,194.8227,16,9,10,38,44
17,0.055515397,0.048486505,0.050611403,0.07023406,0.07664802,0.15121011,0.06569451,0.093042016,0.16049181,0.1643578,-18.918915,-67.04471,-51.796814,64.68506,95.75235,49.19289,-11.418322,1.7976437,167.94121,194.8227,19,9,10,39,52
18,0.054462668,0.044865392,0.049441464,0.066294104,0.07454325,0.15093692,0.06569451,0.09263899,0.16049181,0.1643578,-25.724945,-94.63818,-60.111053,44.161224,85.8537,53.408646,-8.818592,0.67863655,159.78497,213.8042,21,9,10,43,55
