-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9361,-3149.734,-3118.6746,21.405012,9.654368,0.000113790105,0.00013741622,0.41155308,0.02880466,-3149.734,-3038.9492,5.834,Inf,11,"(0.3196825 / (1.2894032 - (0.6069133 * (-2.8628294 - (X2 + X14))))) [likelihood params: Float32[0.010667247]]"
2,17663,-3207.3884,-3185.3503,12.542316,9.49592,0.000101501624,0.00013192391,0.47510093,0.06762183,-3207.3884,-3050.1206,5.558,Inf,7,"((X5 - (X1 + -5.9820113)) / 57.52039) [likelihood params: Float32[0.010074801]]"
3,25440,-3238.0378,-3198.8499,23.292873,15.895136,9.5518706e-5,0.00014206287,0.5060407,-0.004035592,-3238.0378,-2986.2754,5.832,Inf,13,"sin(sin((abs(log(abs((log(abs(-1.3774829)) + 0.13275473)))) ^ ((11.547009 + X1) + -2.0985682)))) [likelihood params: Float32[0.009773368]]"
4,33676,-3254.3528,-3233.398,9.704061,11.250733,9.247919e-5,0.00013384265,0.521759,0.054060996,-3254.3528,-3022.7,6.112,Inf,7,"(0.0492278 - (-0.07286969 / (X1 - -1.010446))) [likelihood params: Float32[0.009616609]]"
5,41660,-3254.3528,-3233.398,9.704061,11.250733,9.247919e-5,0.00013384265,0.521759,0.054060996,-3254.3528,-3022.7,7.276,Inf,7,"(0.0492278 - (-0.07286969 / (X1 - -1.010446))) [likelihood params: Float32[0.009616609]]"
6,50356,-3254.353,-3230.6262,12.476649,11.250224,9.247917e-5,0.00013384277,0.5217591,0.05406028,-3254.353,-3022.6992,7.906,Inf,9,"(0.04922749 - (-0.072870836 / (X1 - (-0.36316222 - 0.6472975)))) [likelihood params: Float32[0.009616608]]"
7,58850,-3254.353,-3230.6262,12.476649,11.250224,9.247917e-5,0.00013384277,0.5217591,0.05406028,-3254.353,-3022.6992,8.516,Inf,9,"(0.04922749 - (-0.072870836 / (X1 - (-0.36316222 - 0.6472975)))) [likelihood params: Float32[0.009616608]]"
8,67787,-3254.353,-3230.6262,12.476649,11.250224,9.247917e-5,0.00013384277,0.5217591,0.05406028,-3254.353,-3022.6992,9.036,Inf,9,"(0.04922749 - (-0.072870836 / (X1 - (-0.36316222 - 0.6472975)))) [likelihood params: Float32[0.009616608]]"
9,76501,-3254.353,-3230.6262,12.476649,11.250224,9.247917e-5,0.00013384277,0.5217591,0.05406028,-3254.353,-3022.6992,9.982,Inf,9,"(0.04922749 - (-0.072870836 / (X1 - (-0.36316222 - 0.6472975)))) [likelihood params: Float32[0.009616608]]"
10,84683,-3254.353,-3230.6262,12.476649,11.250224,9.247917e-5,0.00013384277,0.5217591,0.05406028,-3254.353,-3022.6992,12.21,Inf,9,"(0.04922749 - (-0.072870836 / (X1 - (-0.36316222 - 0.6472975)))) [likelihood params: Float32[0.009616608]]"
