-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9022,-2842.7288,-2822.5364,6.931472,13.261013,0.00020911588,0.00013148793,0.07999396,0.1357075,-2842.7288,-3024.0032,5.76,Inf,5,"(abs((X6 - 0.4867123)) ^ 3.4828944) [likelihood params: Float32[0.01446084]]"
2,17214,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,5.164,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
3,25429,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,4.576,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
4,34023,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,4.182,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
5,42802,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,4.29,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
6,50861,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,4.236,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
7,59016,-3166.7478,-3132.2288,20.794415,13.724633,0.000110016495,0.00016326988,0.51598203,-0.07320058,-3166.7478,-2916.7522,4.4,Inf,10,"exp((sin((X1 / log(abs(0.030242091)))) + (-1.8602455 - 0.36337283))) [likelihood params: Float32[0.010488873]]"
8,66735,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,4.824,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
9,74228,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,4.584,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
10,81695,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,4.388,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
11,88517,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,4.542,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
12,94883,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,4.75,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
13,101578,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,5.158,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
14,108174,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,5.746,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
15,114869,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,6.748,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
16,121399,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,8.23,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
17,127643,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,10.49,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
18,133277,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,12.624,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
19,138850,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,15.056,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
20,144060,-3166.7483,-3132.2292,20.794415,13.724661,0.000110016415,0.00016327343,0.5159824,-0.07322395,-3166.7483,-2916.736,17.192,Inf,10,"exp((sin((X1 / log(abs(0.03024567)))) + (-2.0006187 - 0.22299092))) [likelihood params: Float32[0.010488873]]"
