-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9626,-13.280403,22.721684,29.188652,6.8134336,0.051268376,0.06830792,0.040117502,0.08561379,-13.280403,16.164024,6.106,Inf,15,"(abs((log(abs((-0.4130684 - sqrt(abs(X1))))) - X1)) ^ (abs((sqrt(abs(X1)) + 3.544631)) ^ sqrt(abs(0.14273918)))) [likelihood params: Float32[0.22642517]]"
2,18067,-20.232857,1.0718699,15.567281,5.737446,0.04782505,0.05690731,0.104585886,0.2382251,-20.232857,-1.0062332,5.316,Inf,8,"log(abs(exp((abs((-706.94574 * X1)) ^ sqrt(abs(0.007259252)))))) [likelihood params: Float32[0.21868941]]"
3,26414,-87.01787,-70.55699,9.656628,6.8042436,0.02452516,0.03992818,0.54082274,0.46551186,-87.01787,-19.612427,5.424,Inf,6,"(abs((-367.2866 / log(abs(X1)))) ^ 0.089479335) [likelihood params: Float32[0.1566051]]"
4,35166,-87.01787,-70.55699,9.656628,6.8042436,0.02452516,0.03992818,0.54082274,0.46551186,-87.01787,-19.612427,5.326,Inf,6,"(abs((-367.2866 / log(abs(X1)))) ^ 0.089479335) [likelihood params: Float32[0.1566051]]"
5,43837,-87.01787,-70.55699,9.656628,6.8042436,0.02452516,0.03992818,0.54082274,0.46551186,-87.01787,-19.612427,5.664,Inf,6,"(abs((-367.2866 / log(abs(X1)))) ^ 0.089479335) [likelihood params: Float32[0.1566051]]"
6,52180,-87.01787,-70.55699,9.656628,6.8042436,0.02452516,0.03992818,0.54082274,0.46551186,-87.01787,-19.612427,5.888,Inf,6,"(abs((-367.2866 / log(abs(X1)))) ^ 0.089479335) [likelihood params: Float32[0.1566051]]"
7,60549,-100.883446,-70.37506,17.917595,12.590786,0.021349829,0.02858295,0.60027355,0.6173818,-100.883446,-54.273544,6.924,Inf,10,"(abs((log(abs((0.9529148 - sqrt(abs(sqrt(abs(X1))))))) - X1)) ^ 0.47097313) [likelihood params: Float32[0.14611581]]"
8,68267,-100.883446,-70.37506,17.917595,12.590786,0.021349829,0.02858295,0.60027355,0.6173818,-100.883446,-54.273544,7.384,Inf,10,"(abs((log(abs((0.9529148 - sqrt(abs(sqrt(abs(X1))))))) - X1)) ^ 0.47097313) [likelihood params: Float32[0.14611581]]"
9,75736,-100.883446,-70.37506,17.917595,12.590786,0.021349829,0.02858295,0.60027355,0.6173818,-100.883446,-54.273544,8.89,Inf,10,"(abs((log(abs((0.9529148 - sqrt(abs(sqrt(abs(X1))))))) - X1)) ^ 0.47097313) [likelihood params: Float32[0.14611581]]"
10,82660,-100.883446,-70.37506,17.917595,12.590786,0.021349829,0.02858295,0.60027355,0.6173818,-100.883446,-54.273544,10.306,Inf,10,"(abs((log(abs((0.9529148 - sqrt(abs(sqrt(abs(X1))))))) - X1)) ^ 0.47097313) [likelihood params: Float32[0.14611581]]"
