Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,318.263 - 263.45*tanh(0.14895*x1 - 0.0540956*x23 - 0.0650594*x6 + (11.0238 - 0.0860283*x15)*(37.3523 - 0.222324*x13) + 6.44563),27,995.2424179044489,769.2014158202738,995.2424179044489,769.2014158202738,0.8780989997745449,0.8886487847949868
1,247.328 - 854.229*tanh((0.0215336*x12 - 4.1125)*(0.0189387*x23 - 0.168651) + exp(-2.0*(0.0142483*x6 - 0.769363)**2 - 2.0*exp(-4.0*(0.982621 - 0.0699002*x1)**2 - 4.0*(0.00468502*x22 - 0.342963)**2))),50,1189.2064587646175,1090.6264111333232,1189.2064587646175,1090.6264111333232,0.8543415612216237,0.8421186262575038
2,13.8853*x6 + 284.509*(3.27253 - 0.0752556*x1)*(-0.0950211*x13 + 0.016788*x15 + 0.0299136*x23 + 12.3046) - 1346.81,23,1186.890126772879,956.7350786674875,1186.890126772879,956.7350786674875,0.8546252741960382,0.8615010172267019
3,15.1773*x5 - 189.935*(138.922 - 0.837677*x12)*(0.0075772*x7 - 1.30034) - 190.85 - 189.935*(0.0912654*x6 - 8.26087)/(-0.0654889*x10 - 0.622898),31,1297.8620530723117,1120.4534588552247,1297.8620530723117,1120.4534588552247,0.8410330191137743,0.8378008000789472
4,-68.531*x12 + 15.7136*x6 + 183.434*(0.170872*x1 - 2.90651)*(0.11776*x16 + 0.0311486*x23 - 19.2638) + 10892.6,23,1263.4502517239018,1162.2599590200207,1263.4502517239018,1162.2599590200207,0.8452479047822965,0.8317488031623081
5,469.814*exp(-2.0*(0.344414 - 0.0296526*x1)**2 - 2.0*(0.283731*x4 - 4.80934)**2*exp(-4.0*(0.00366699*x2 + 0.0475223*x6 - 0.0244098*x9 - 0.455787)**2)) + 104.501,40,1472.8911016152967,1306.027177929072,1472.8911016152967,1306.027177929072,0.8195948089831968,0.8109367580946371
6,1700.55*exp(-2.0*(0.000946733 - 1.54904e-6*x11)**2 - 2.0*(0.408875 - 0.0394193*x1)**2)*exp(-2.0*(2.58281 - 0.0240216*x23)**2 - 2.0*(0.00113004*x22 - 0.0129754*x6 + 1.31575)**2) - 92.036,47,1447.076250673912,1285.057395862524,1447.076250673912,1285.057395862524,0.8227567081283838,0.8139723878629525
7,-1074.53*exp(-2.0*(1.88818 - 0.0628027*x4)**2 - 2.0*(0.0202933*x2 - 0.518654)**2)*exp(-2.0*(0.0503602*x1 - 1.69954)**2 - 2.0*(0.037856*x6 - 0.018485*x9 - 0.314288)**2) + 479.327,47,1467.3817974526871,1407.8019772759528,1467.3817974526871,1407.8019772759528,0.8202696090880621,0.7962036240267072
8,1137.89*sqrt(exp(-2.0*(0.908864 - 0.0859526*x4)**2*(0.0270245*x6 - 2.7602)**2 - 2.0*tanh(0.0328809*x1 + 0.0147161*x9 - 1.81164)**2)) - 250.261,37,1471.5753599095365,1297.335768574638,1471.5753599095365,1297.335768574638,0.8197559659305748,0.8121949447978276
9,606.281 - 594.015*exp(-2.0*(-0.0203286*x6 + exp(-2.0*(0.0093726*x9 - 1.65967)**4 - 2.0*exp(-4.0*(0.146724*x1 - 2.88533)**2 - 4.0*(0.283552*x10 - 1.27552)**2)) + 0.377342)**2),47,1547.988193737431,1263.2644885959044,1547.988193737431,1263.2644885959044,0.8103966372824905,0.8171271749669263
