Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,238.506*exp(-2.0*(exp(-2.0*(-0.0442475*phi1000 - 0.380745)**2 - 2.0*(-0.0394779*phi1000 - 0.334977)**2) + 0.431035*exp(-0.00337114*phi1000))**2 - 2.0*exp(-4.0*(0.242292 - 0.000441739*phi1000)**2 - 4.0*(0.927497 - 0.00169761*T)**2)) - 2.82921,59,3.508294762328659,3.3544913164854773,3.508294762328659,3.3544913164854773,0.997254787820945,0.9962475335784298
1,270.073*exp(-2.0*(-0.000919102*phi1000 + exp(-4.0*(-0.0253162*phi1000 - 0.307322)**2 - 4.0*(0.0238643*phi1000 + 0.289826)**2) + 0.423382)**2 - 2.0*exp(-4.0*(0.265632 - 0.000537455*phi1000)**2 - 4.0*(0.863852 - 0.00155128*T)**2)) - 8.63119,57,3.592222211041366,3.3795556142921295,3.592222211041366,3.3795556142921295,0.9971891152734621,0.9962194956653676
2,203.351*(0.00197755*phi1000 + 0.858609)*exp(-4.0*(-0.00135239*T - 0.000266141*phi1000 - 0.121011)**2 - 4.0*exp(-4.0*(-0.0300744*phi1000 - 0.276654)**2 - 4.0*(0.0299677*phi1000 + 0.274566)**2)) + 17.517,45,3.6665951642972825,3.5310795550543475,3.6665951642972825,3.5310795550543475,0.9971309190411322,0.9960499950030823
3,243.896*exp(-2.0*exp(-4.0*exp(-4.0*exp(-4.0*(0.278025 - 0.000526515*phi1000)**2 - 4.0*(0.824114 - 0.00116072*T)**2) - 4.0*tanh(0.000804958*phi1000 - 0.384758)**2)) - 2.0*exp(-4.0*(-0.0384638*phi1000 - 0.382315)**2)) - 14.4871,57,4.2828049352430275,4.140134550733253,4.2828049352430275,4.140134550733253,0.9966487398963758,0.9953686820394915
4,221.613*exp(-2.0*(0.00253827*T + 0.00019197*phi1000 - 0.0887745)**2 - 2.0*(0.00041884*phi1000 - 1.25028 + (-0.00536794*phi1000 - 0.00826928)/(-0.0065553*phi1000 - 0.0406429))**2) + 22.9459,40,4.353953369942442,5.113280938514927,4.353953369942442,5.113280938514927,0.9965930668236469,0.9942800820704062
5,266.299*exp(-2.0*(0.00075544*phi1000 - 0.564054)**2 - 2.0*(-0.00228068*T - 0.000287233*phi1000 - 1.00027 + exp(-2.0*exp(-4.0*(-0.029228*phi1000 - 0.327987)**2 - 4.0*(-0.0265669*phi1000 - 0.295933)**2)))**2) + 20.8932,50,4.696856045884507,4.5384782107401715,4.696856045884507,4.5384782107401715,0.996324748262637,0.9949230790948437
6,125.101*(0.00252814*phi1000 + 1.2309)*exp(-2.0*(0.00209918*T + 0.000371936*phi1000 + 0.0767804)**2 - 2.0*exp(-4.0*(-0.0422687*phi1000 - 0.162232)**2)) + 19.8265,35,4.812835343706741,4.815956153186002,4.812835343706741,4.815956153186002,0.9962339954033509,0.994612681313625
7,-173.611*(-0.00138077*phi1000 - 0.789388)*exp(-2.0*(0.00233926*T + 0.000356854*phi1000 - 0.0306979)**2 - 3.51301*exp(-0.172084*phi1000)) + 22.5522,29,4.872207406723358,4.84421660572921,4.872207406723358,4.84421660572921,0.9961875372458896,0.9945810680556906
8,246.822*exp(-2.0*(-0.000176754*phi1000 + exp(-2.0*(0.00180718*T + 0.00985677)**2 - 2.0*(0.000604301*phi1000 - 0.372764)**2) - 1.22534)**2 - 2.0*exp(-4.0*(-0.03058*phi1000 - 0.184152)**2 - 4.0*(-0.0268899*phi1000 - 0.161905)**2)) + 10.3792,57,4.8645675934188395,4.9478007947259,4.8645675934188395,4.9478007947259,0.9961935153377975,0.9944651946923865
9,207.135*exp(-2.0*(0.000857735*T + 0.000809593*phi1000 - 0.540255)**2 - 2.0*(0.00245566*T + exp(-2.0*(-0.0471938*phi1000 - 0.4012)**2 - 2.0*(0.0270144*phi1000 + 0.250326)**2) + 0.0376192)**2) + 23.4965,47,4.941650991614584,5.030039104545483,4.941650991614584,5.030039104545483,0.9961331982042995,0.9943731996722629
