Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.0325297*(0.416005*expb + 0.420027*expc + 0.860587*expd - 2.68736)*exp(-2.0*(0.185279*vrel - 0.435482)**2 - 2.0/(2.3397*prel + 1.34273)**2) + 0.147701,35,2.474288078304971e-05,2.4326874053446307e-05,2.474288078304971e-05,2.4326874053446307e-05,0.8720461946186379,0.8280688169608303
1,0.0207307*expd - 0.00509057*log((0.343628*expb - 0.391073)*(1.77653*expc - 2.00523)*exp(-2.0*(1.60827 - 0.472383*vrel)**2 - 2.0*(1.82082 - 1.11159*prel)**2)) + 0.0620411,39,2.4687101775751868e-05,2.6500766546295487e-05,2.4687101775751868e-05,2.6500766546295487e-05,0.8723346467316611,0.8127047423462961
2,-0.010779*vrel + 0.0277432*(1.10794 - 0.36141*expd)*(0.370981*expb + 0.369021*expc - 2.35047)*tanh(1.02868*prel + 0.483507) + 0.158253,26,2.487486048643683e-05,2.8799710305062086e-05,2.487486048643683e-05,2.8799710305062086e-05,0.8713636829325672,0.7964568627660069
3,0.010055*expb + 0.0229643*(0.174315*expc - 1.17694)*(0.404461*vrel - (0.900498*expd - 2.08193)*tanh(1.08626*prel + 0.32118) + 0.279598) + 0.150297,30,2.4848946473967234e-05,2.8718557808063433e-05,2.4848946473967234e-05,2.8718557808063433e-05,0.8714976930560147,0.7970304113766877
4,0.0894186*exp((2.94068 - 0.8201*expb)*(1.07207*expd - 2.14788)*(0.673369*vrel + 1.31468)*exp(-2.0*(0.072764*expc + 1.06471)**2 - 2.0*(0.444888*prel - 0.724026)**2)) + 0.0519523,41,2.504873798501227e-05,2.68958816083593e-05,2.504873798501227e-05,2.68958816083593e-05,0.8704645035763718,0.8099122503924191
5,0.0205012*expd - 0.0108807*vrel + 0.00630495*(1.34798 - 0.65851*expc)*(1.18069*expb - 3.33166 + 4.98579*exp(-1.83137*prel)) + 0.114439,26,2.4948197015106587e-05,2.8722468297459225e-05,2.4948197015106587e-05,2.8722468297459225e-05,0.8709844349380013,0.7970027738320281
6,0.0100349*expb + 0.020465*expd + 0.0106648*(0.773296*expc - 1.94218)*(0.533614*vrel + 0.606399) + 0.0982157 + 0.0403956*exp(-1.66832*prel),26,2.5097370576686023e-05,2.9062159967723733e-05,2.5097370576686023e-05,2.9062159967723733e-05,0.8702130079956925,0.7946019889794895
7,-0.0108139*vrel + 0.0192784*(1.69652 - 0.363325*expc)*(0.743606*expd - 1.67747)*exp(-2.0*(0.349836*expb - 0.00548155)**2 - 1.1702*exp(-2.29916*prel)) + 0.14138,34,2.5076400144817565e-05,2.923419292643698e-05,2.5076400144817565e-05,2.923419292643698e-05,0.8703214531917707,0.7933861389673459
8,-0.0137447*(0.252153*expc - 0.693935)*(1.04787*expb + 2.138*expd - 1.16473*vrel - 2.3332 + 4.38429*exp(-1.79075*prel)) + 0.108596,26,2.5006289095111606e-05,2.8556652089363307e-05,2.5006289095111606e-05,2.8556652089363307e-05,0.8706840211436522,0.7981746867034626
9,0.0100198*expb + 0.00962125*expc + 0.0204574*expd - 0.0108223*vrel + 0.076767 + 0.018486/(0.814308*prel + 0.313977),23,2.517184919184657e-05,2.851352674861549e-05,2.517184919184657e-05,2.851352674861549e-05,0.8698278538855916,0.798479476823124
