Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.0108826*(-0.76678*expb - 0.686971*expc + 1.90203)*(1.2586*expd + (0.0373174*T0 - 1.61164)/(-1.81667*prel - 0.162159) - 1.65274) + 0.10743,30,3.9865699112322346e-05,3.9290933322958244e-05,3.9865699112322346e-05,3.9290933322958244e-05,0.824610796180312,0.7417339346103926
1,0.0249172*expd + 0.0142361*(0.743793 - 0.0176739*T0)/(0.67029*prel + 0.0382004) + 0.0142361*(-1.69564*expb - 0.210031)*(-4.09621*expc - 0.611441) + 0.0722934,31,4.131844124407366e-05,3.783013815083211e-05,4.131844124407366e-05,3.783013815083211e-05,0.8182194549642633,0.7513359926308547
2,0.0119616*expc - 0.0229295*(0.43262 - 0.0098837*T0)*log(0.271642*prel - 0.0680668) - 0.0229295*(2.4343*expb + 0.346163)*(-3.14286*expd - 0.260631) + 0.0715336,30,4.1401848237666175e-05,3.769537360446166e-05,4.1401848237666175e-05,3.769537360446166e-05,0.817852505769218,0.7522218231826266
3,-0.0297325*(0.255615*expb - 0.808402)*(0.453113*expc - 1.60267)*(-0.642923*expd + 2.92534*(0.0103343*T0 - 0.53712)*exp(-1.0954*prel) + 1.19958) + 0.116479,30,4.2413749419379264e-05,4.282318333794061e-05,4.2413749419379264e-05,4.282318333794061e-05,0.8134006449827104,0.7185158474796187
4,0.031429*(1.14873 - 0.257065*expb)*(0.516753*expd - 1.36581)*(-0.243356*expc + 4.53907*(0.00526351*T0 - 0.271077)*exp(-1.10444*prel) + 1.35233) + 0.136947,30,4.296875801856127e-05,4.291218868101886e-05,4.296875801856127e-05,4.291218868101886e-05,0.8109588838072861,0.7179308000447173
5,0.0477295*(0.882114 - 0.207552*expb)*(0.947715 - 0.378589*expd)*(0.298431*expc + 9.32194*(0.163649 - 0.00318816*T0)*exp(-1.10588*prel) - 1.59137) + 0.13354,30,4.325855003494516e-05,4.350980407500022e-05,4.325855003494516e-05,4.350980407500022e-05,0.8096839433908728,0.7140025712304214
6,0.0107475*((0.0115235*T0 + 0.858654)*(1.01925*expd - 1.90984) + (1.09288*prel - 1.39667)**2)*(-0.523394*expb - 0.467696*expc + 1.44719) + 0.112673,31,4.474851121030018e-05,3.9966476018510596e-05,4.474851121030018e-05,3.9966476018510596e-05,0.8031288569359362,0.7372934762341837
7,-0.0119306*(0.486386*expb + 0.440487*expc - 1.16127)*(-0.0235453*T0 + 1.79883*expd - 1.19395 + 4.33724*exp(-4.22628*prel)) + 0.104742,26,4.5416739541419376e-05,3.90810632189913e-05,4.5416739541419376e-05,3.90810632189913e-05,0.8001889853778195,0.7431134469154053
8,0.0127488*(0.156011 - 0.0630588*expc)*((2.69684 - 1.74794*expd)*(0.0249764*T0 + 1.15465)*(1.03353*expb - 2.59291) + 27.7512*exp(-3.92263*prel)) + 0.104748,32,4.5792956818945294e-05,4.0827117114983876e-05,4.5792956818945294e-05,4.0827117114983876e-05,0.7985338168936906,0.7316363342194667
9,0.00671714*(0.926454 - 0.357957*expc)*(4.0016*expd + (0.0287935*T0 + 0.339502)*(0.987575*expb - 1.82838) - 1.89464 + 8.8407*exp(-4.00632*prel)) + 0.103985,31,4.6188345462028706e-05,4.016393867131405e-05,4.6188345462028706e-05,4.016393867131405e-05,0.796794303957661,0.7359955202405768
