Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,513.542*(0.00334529*dischargeCycles - 1.17528)*(-11.2633*Voltage10 - 4.66841*initialCapacity + exp(-2.0*(0.47451 - 0.0134907*dischargeCycles)**2 - 2.0*(21.4202 - 10.7637*initialCapacity)**2) + 49.2702) + 1060.61,37,430.7436283580057,1240.90803764091,430.7436283580057,1240.90803764091,0.9969880650028028,0.9837794589454364
1,3976.76*Voltage10 + 1610.77*initialCapacity + 757.265*exp(-2.0*(0.00371006*dischargeCycles + 0.520703)**2 - 2.0*(11.7145*Voltage10 - 2.3588*initialCapacity - 39.7251)**2) - 16252.8,33,498.8401393281509,1918.2189706538795,498.8401393281509,1918.2189706538795,0.9965119064456587,0.9749259827309316
2,4468.63*Voltage10 + 578.998*(43.5759 - 22.8071*initialCapacity)*(0.41368*Voltage10 - 1.62703) + 1281.92*exp(-2.0*(8.14905*Voltage10 - 31.0385)**2 - 2.0*(-0.00360094*dischargeCycles - 0.711266)**2) - 14979.2,39,554.8453072089499,2039.571110480786,554.8453072089499,2039.571110480786,0.9961202954871702,0.9733397270968206
3,-1058.04*(29.3029 - 7.97224*Voltage10)*exp(-2.0*(4.02832 - 13.1577*DeltaVoltage3)**2 - 2.0*(0.00442168*dischargeCycles + 0.618359)**2) - 1058.04*(2.31774*Voltage10 - 9.09594)*(2.37116*initialCapacity - 6.41684) + 2605.33,41,561.1209483549901,2401.9949347098236,561.1209483549901,2401.9949347098236,0.9960764136466664,0.9686023006786348
4,2998.16*(1.36467 - 0.00405909*dischargeCycles)*(1.87332*Voltage10 + (58.7878 - 31.0342*initialCapacity)*(-0.0217329*tanh((3.89689 - 12.2707*DeltaVoltage3)**2) - 0.00703254) - 6.84031) + 1297.92,32,565.1709057553132,1844.0539410865867,565.1709057553132,1844.0539410865867,0.9960480946939806,0.9758954316106376
5,-7.05084*dischargeCycles + 982.335*exp(-2.0*(1.42003 - 4.99351*DeltaVoltage3)**2 - 2.0*(4.087*Voltage10 - 15.7665)**2*(0.010658*dischargeCycles + 2.17791*initialCapacity - 6.18726)**2) + 1897.28,37,597.8198057632695,1265.0197438276405,597.8198057632695,1265.0197438276405,0.9958198002792058,0.9834642825518327
6,1112.91*(0.81671 - 0.00224561*dischargeCycles)*(9.23405*Voltage10 - 0.0017773*dischargeCycles + exp(-2.0*(3.0775*Voltage10 - 10.7478)**2 - 2.0*(5.09309*initialCapacity - 10.247)**2) - 34.1633) + 1541.18,37,654.7830374447414,1930.5408036105557,654.7830374447414,1930.5408036105557,0.9954214901481683,0.9747649177758514
7,2533.88*Voltage10 + 325.562*log(exp(-2.0*(3.4422*initialCapacity - 6.92319)**2)) - 7993.59 + 325.562*(0.00429176*dischargeCycles - 1.06706)/(3.22137*Voltage10 - 12.5825),32,665.9055822266149,1398.1213701649704,665.9055822266149,1398.1213701649704,0.995343716782108,0.9817244433945828
8,-3440.37*exp(-2.0*(1.53856*Voltage10 - 5.08204)**2 - 2.0*(0.000197359*dischargeCycles + exp(-2.0*(2.85729 - 1.92487*initialCapacity)**2 - 2.0*(11.4568*DeltaVoltage3 - 3.98076)**2) - 0.391052)**2)*tanh(0.0245854*dischargeCycles + 1.09692) + 3156.26,50,681.5541425009388,1998.658477434276,681.5541425009388,1998.658477434276,0.9952342956711663,0.9738745169634757
9,2342.87 - 695.463*log((0.307914*(6.52406*Voltage10 - 25.3248)*(5.88181*initialCapacity - 13.6063) + 0.560804)*(-7.93473*Voltage10 + tanh(0.00573377*dischargeCycles + 0.0921502) + 30.8841)),31,723.5409024203024,1058.7159628671802,723.5409024203024,1058.7159628671802,0.9949407071342862,0.9861609843599237
