Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.779955 - 0.667232*exp(-2.0*(3.81846 - 0.00288684*rk)**2*exp(-4.0*(2.40732 - 0.393558*logRe)**2 - 4.0*(1.46266*exp(-2.0*(2.34711 - 0.52343*logRe)**2 - 2.0*(0.0158893*rk + 0.0997456)**2) - 0.950866)**2) - 2.0*(0.371595*logRe - 2.12475)**2),63,4.700742869156563e-05,0.0078108043654463374,4.700742869156563e-05,0.0078108043654463374,0.9986365851383457,0.21188755964527017
1,0.778942 - 0.614607*exp(-2.0*(2.19721 - 0.394248*logRe)**2 - 2.0*(0.00170295*rk - 1.89308)**2*(0.146621*logRe + exp(-2.0*(0.532273*logRe - 2.65624)**2 - 2.0*tanh(0.0233959*rk - 0.300932)**2) - 0.650226)**2),52,5.583829623705628e-05,0.00617474514704293,5.583829623705628e-05,0.00617474514704293,0.9983804525144616,0.37696641232846373
2,0.881329 - 0.681351*exp(-2.0*(0.303108*logRe - 1.70791)**2 - 2.0*exp(-4.0*(0.00118809*rk - 0.0823018)**2 - 4.0*exp(-4.0*exp(-4.0*(0.225793 - 0.0144842*rk)**2 - 4.0*(2.09243 - 0.404221*logRe)**2) - 4.0*tanh(0.167518*logRe - 0.490688)**2))),64,0.00010322611651462923,0.00841519738555976,0.00010322611651462923,0.00841519738555976,0.9970060046829972,0.15090412750066862
3,0.441821*(0.0244753*logRe - tanh(0.0402394*rk - 1.10954) - 0.0272927)*exp(-2.0*(0.493806*logRe - 2.66286)**2 - 2.0*exp(-4.0*(0.61415 - 0.00531418*rk)**2 - 4.0*(3.03247 - 0.554381*logRe)**2)) + 0.640561,50,0.00010621221738232772,0.007797815385907578,0.00010621221738232772,0.007797815385907578,0.996919395089264,0.21319815147206012
4,0.792318 - 0.589661*exp(-2.0*(2.17842 - 0.399331*logRe)**2 - 2.0*(-(0.000749166*rk - 0.672501)*tanh(tanh(1.10625*logRe - 4.56608)) + exp(-2.0*(0.0164013*rk - 0.104684)**2))**2),44,0.00010634662082230203,0.005164413549683607,0.00010634662082230203,0.005164413549683607,0.9969154968192964,0.47890916540583484
5,0.778321 - 0.558851*exp(-2.0*(1.31023 - 0.471801*logRe)**2*(0.000449976*rk - 2.19461*exp(-2.0*(0.660256 - 0.0283538*rk)**2 - 2.0*(0.57792*logRe - 2.76468)**2) - 0.369791)**2 - 2.0*(2.00491 - 0.364499*logRe)**2),53,0.00010644180722710233,0.009073520127852876,0.00010644180722710233,0.009073520127852876,0.9969127360097277,0.0844791706466893
6,0.797468 - 0.552719*exp(-2.0*(2.11677 - 0.394435*logRe)**2 - 2.0*((0.466105*logRe - 1.81308)*exp(-2.0*(1.82175 - 0.408528*logRe)**2 - 2.0*(-0.0019293*rk - 0.0580826)**2) + exp(-2.0*(0.015261*rk + 0.061502)**2))**2),56,0.00011197332670775687,0.002854915373580261,0.00011197332670775687,0.002854915373580261,0.9967522984772488,0.7119382054898002
7,0.261118 - 0.0560533*log(exp(-2.0*(5.26057 - 0.970264*logRe)**2 - 2.0*(0.00178157*rk + (0.663861*logRe - 3.67168)**2 - 1.05244 + 1/(-0.018008*rk - 0.406632))**2)),39,0.0001091722810424361,0.001089982612209161,0.0001091722810424361,0.001089982612209161,0.9968335406850141,0.8900204362750933
8,-0.241406*logRe - 0.880672*exp(-2.0*(0.000337432*rk - 0.0917482)**2 - 2.0*(-0.29144*logRe + (0.00300287*rk - 1.17294)**2*(0.00419636*rk - 0.32265) + 1.08575)**2) + 2.31732,40,0.0001582142567063961,0.004175688621312625,0.0001582142567063961,0.004175688621312625,0.9954111153295696,0.5786717992755519
9,0.454035*(0.551325 - 0.122065*logRe)*(0.00556798*rk + 0.68918) - 0.52689*exp(-2.0*(0.364468*logRe - 1.68844)**2 - 2.0*exp(-4.0*(0.337878*logRe - 1.78675)**2 - 4.0*(0.0135656*rk - 0.195883)**2)) + 0.886685,49,0.00016099112477788201,0.006524253269257428,0.00016099112477788201,0.006524253269257428,0.9953305743745994,0.34170094077974356
