Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(370.124603 + (722.875671 * (0.339366 * X2))),7,10791519.256606506,8502842.230374502,10791519.256606506,8502842.230374502,0.011185747068161556,0.010572704784717057
0,(890.849854 + ((-1794.503052) * sin((1.603141 * X2)))),8,9674076.373262113,7893513.4694195455,9674076.373262113,7893513.4694195455,0.11357572790535886,0.08147682031621128
0,(1819.191162 + ((-1952.952637) * sin(exp((2.700871 * X2))))),9,9017017.025074247,7491097.224867494,9017017.025074247,7491097.224867494,0.1737813053649475,0.1283037054459253
0,(1854.830078 + ((-2256.251709) * sin(sin(exp((2.700871 * X2)))))),10,9011236.015823463,7489853.020033799,9011236.015823463,7489853.020033799,0.17431101246249148,0.1284484864720743
0,(859.920471 + ((-4222.646484) * (sin((1.557521 * X1)) * sin(((-1.563240) * X2))))),13,8201841.892190619,6488758.152024778,8201841.892190619,6488758.152024778,0.24847484673424758,0.24494019132456346
0,(876.794800 + ((-8.931708) * (sin((1.596063 * X1)) / (((-0.324589) * X2) - (-0.974839))))),14,5617458.696808711,4737687.426546714,5617458.696808711,4737687.426546714,0.4852788479008777,0.44870231282450734
0,(232.802750 + (0.000000 * exp((sin((1.557521 * X1)) / (((-0.476229) * X2) - (-1.390680)))))),15,948459.2431165025,1395162.6606287716,948459.2431165025,1395162.6606287716,0.9130937919288431,0.8376528717938491
0,(158.803177 + (1.406061 * exp((sin(((-1.521323) * X2)) / (sin((2.083668 * X1)) - (-0.137679)))))),16,857067.5660224606,1441411.9406320562,857067.5660224606,1441411.9406320562,0.9214679041146329,0.8322711066405648
0,(253.372253 + ((-0.000008) * (exp((sin((1.596063 * X1)) / (((-0.476229) * X2) - (-1.390680)))) / ((-9.476375) * X3)))),19,841150.2998912113,296128553.341032,841150.2998912113,296128553.341032,0.9229263845420901,-33.45879220498333
0,(180.284546 + (19.284880 * (exp((sin(((-1.563240) * X2)) / (sin((2.083902 * X1)) - (-0.137679)))) / (1.174768 * X3)))),20,757502.2766273684,301346291.56241137,757502.2766273684,301346291.56241137,0.9305909548093605,-34.065950667488806
0,(232.657425 + (0.000001 * (exp((sin((1.659108 * X1)) / (((-0.476229) * X2) - (-1.390680)))) / ((3.657732 * X3) ^ 0.559216)))),21,699807.5956548062,33437807.275024474,699807.5956548062,33437807.275024474,0.9358774507611792,-2.890967080615843
0,(89.711014 + (278.593140 * (exp((sin(((-1.540558) * X2)) / (sin((2.083902 * X1)) - (-0.137679)))) / ((243.866089 * X3) ^ (0.219395 * X2))))),24,587721.8038224083,57692331.27101892,587721.8038224083,57692331.27101892,0.9461477404098935,-5.713327818812673
0,(94.770294 + (0.994337 * (exp((exp(sin(((-1.762842) * X2))) / (sin(((-2.102552) * X1)) - (-0.173241)))) / ((516.942993 * X3) ^ (0.220939 * X2))))),25,563158.2223526614,59051628.699841626,563158.2223526614,59051628.699841626,0.9483984725712125,-5.871501514378691
0,(76.304314 + (0.994249 * (exp((exp(sin((2.890258 * X2))) / (sin((2.085969 * X1)) - (-0.165094)))) / ((172.401581 * X3) ^ sin((0.841316 * X2)))))),26,544933.8964808274,38230670.74094778,544933.8964808274,38230670.74094778,0.9500683461769248,-3.4486852890619826
0,(76.400215 + (0.995269 * (exp((exp(sin(((-1.433542) * X2))) / (sin((2.088074 * X1)) - (-0.157465)))) / (((232.695557 * X2) + (54.480206 * X3)) ^ (0.382957 * X2))))),29,537510.3739129363,10263612.748456089,537510.3739129363,10263612.748456089,0.9507485548433365,-0.19431812630430656
0,(69.527222 + (0.995997 * (exp((exp(sin(((-1.661062) * X2))) / (sin(sin((2.088531 * X1))) - (-0.155099)))) / (((368.408508 * X2) + (76.355202 * X3)) ^ (0.406894 * X2))))),30,536553.7212651649,9908915.518506978,536553.7212651649,9908915.518506978,0.9508362118034668,-0.1530440309676646
0,(71.422752 + (0.994800 * ((exp((exp(sin(((-1.523523) * X2))) / (sin(((-2.097043) * X1)) - (-0.103464)))) / ((161.534943 * X3) ^ (0.663198 * X2))) / ((0.008005 * X3) ^ (-1.431324))))),31,514451.3268424952,34233927.59650992,514451.3268424952,34233927.59650992,0.952861428282201,-2.983607065577504
0,(35.234020 + (0.995676 * ((exp((exp(sin((2.853327 * X2))) / (sin((2.070069 * X1)) - (-0.216235)))) / ((292.228119 * X3) ^ sin((0.821085 * X2)))) / (sin((2.565885 * X1)) - (-0.063479))))),33,479214.23560262896,49381764.80006899,479214.23560262896,49381764.80006899,0.9560901616256094,-4.746274558000065
0,(45.856247 + (0.996595 * ((exp((exp(sin(((-1.719935) * X2))) / (sin(sin((2.072391 * X1))) - (-0.213034)))) / (((1745.610352 * X3) + (1469.058472 * X1)) ^ (0.228718 * X2))) / (sin((2.522675 * X1)) - (-0.063000))))),37,474274.62138618255,18102188.44711531,474274.62138618255,18102188.44711531,0.9565427726829651,-1.1064485106785025
0,(23.460505 + (0.959075 * (((exp((exp(sin(((-1.578849) * X2))) / (sin((2.070288 * X1)) - (-0.280227)))) - ((-7.887106) * X3)) / (((533.445068 * X3) + ((-100.460037) * X3)) ^ sin((0.196798 * X2)))) / (sin((2.144171 * X1)) - (-0.075050))))),41,454584.23563770007,34050366.97003624,454584.23563770007,34050366.97003624,0.9583469796357448,-2.962247161531409
0,(20.704109 + (0.998760 * (((exp((exp(sin(((-1.542376) * X2))) / (sin(sin((2.070729 * X1))) - (-0.278266)))) - ((-8.640309) * X3)) / (((1855.994629 * X3) + ((-1140.285278) * X2)) ^ sin((0.166328 * X2)))) / (sin((2.148283 * X1)) - (-0.083857))))),42,453603.5205394525,inf,453603.5205394525,inf,0.9584368414099912,0.0
0,((-2.845625) + (0.998814 * (((exp((exp(sin(exp((2.026532 * X2)))) / (sin(((-12.480388) * X1)) - (-0.208239)))) - (((-2588728.250000) * X2) - exp((exp(sin(((-1.774215) * X2))) / (sin((2.091215 * X1)) - (-0.102823)))))) / (((84.301208 * X3) ^ 1.562303) ^ sin((0.586398 * X2)))) / ((0.001466 * X3) ^ (-0.976969))))),53,445739.69184042176,34421752.160035096,445739.69184042176,34421752.160035096,0.9591573948107976,-3.0054631396793896
0,((-3.600124) + (1.000282 * (((exp((exp((sin((2.509182 * X1)) - (-0.042404))) / (sin(((-12.374795) * X1)) - (-0.124775)))) - (((-74552.656250) * X2) - exp((exp(sin(((-1.456627) * X2))) / (sin((2.089164 * X1)) - (-0.141552)))))) / (((22.368734 * X3) ^ 1.694847) ^ sin((0.567755 * X2)))) / ((0.028079 * X3) ^ (-1.124240))))),54,445395.933539185,34080870.882527396,445395.933539185,34080870.882527396,0.959188892980772,-2.9657967279954085
0,(37.698940 + (0.996922 * (((exp((exp(exp(sin((2.837957 * X2)))) / (sin((2.034541 * X1)) - (-0.692081)))) - (199.230606 * X2)) / ((((1171.849854 * X3) + ((-2811.861816) * X1)) + (922.469849 * X3)) ^ sin((0.575267 * X2)))) / ((exp((exp(sin((0.939964 * X2))) / (sin((2.282550 * X1)) - (-0.143246)))) / ((0.230576 * X3) ^ (-2.664490))) ^ (-0.358872))))),61,443346.8262280673,inf,443346.8262280673,inf,0.9593766502804478,0.0
