Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(0.107941 + ((-0.299098) * (0.067166 * X1))),7,9.748358899612221e-05,0.00014293189152309944,9.748358899612221e-05,0.00014293189152309944,0.49587938916023433,-0.010177022728136365
0,((-0.696031) + ((-0.016583) * log((0.000000 * X1)))),8,9.281371487652127e-05,0.00013160322701834493,9.281371487652127e-05,0.00013160322701834493,0.5200288877369812,0.06988877965473728
0,(0.113838 + ((-0.347391) * ((0.047267 * X1) - ((-0.027537) * X2)))),11,6.671660872112368e-05,8.12757550044122e-05,6.671660872112368e-05,8.12757550044122e-05,0.6549858505621042,0.42558025829337187
0,(0.127594 + ((-0.378897) * (sqrt((0.006756 * X1)) - ((-0.025567) * X2)))),12,6.288389709852105e-05,7.609043871406223e-05,6.288389709852105e-05,7.609043871406223e-05,0.6748060987111129,0.46222769446924383
0,(0.127731 + ((-0.381072) * sin((sqrt((0.006756 * X1)) - ((-0.025567) * X2))))),13,6.285851754805201e-05,7.611927625844111e-05,6.285851754805201e-05,7.611927625844111e-05,0.6749373449507832,0.462023883938137
0,(0.128228 + ((-0.381805) * ((sqrt((0.006756 * X1)) - ((-0.025567) * X2)) - ((-0.012099) * X15)))),16,5.9454595182517295e-05,7.206669437500512e-05,5.9454595182517295e-05,7.206669437500512e-05,0.6925401788209309,0.49066567309902365
0,(0.000000 + (0.999999 * ((0.018854 * X7) + ((((-0.015428) * X1) - (0.010569 * X2)) - (-0.112505))))),17,4.281198254505678e-05,5.222441513200308e-05,4.281198254505678e-05,5.222441513200308e-05,0.778604757845611,0.6309017978451705
0,(0.000251 + (0.995769 * (log(((0.021109 * X7) + ((0.000698 * X1) ^ (-0.013108)))) - (0.010686 * X2)))),18,3.698948530936337e-05,4.395087396422669e-05,3.698948530936337e-05,4.395087396422669e-05,0.8087148604105399,0.6893753903739053
0,(0.000009 + (0.999904 * sin((log(((0.021109 * X7) + ((0.000698 * X1) ^ (-0.013108)))) - (0.010686 * X2))))),19,3.698747781279148e-05,4.3937533618557086e-05,3.698747781279148e-05,4.3937533618557086e-05,0.808725241854314,0.6894696738156696
0,(0.000008 + (0.999911 * (log(((0.021785 * X7) + ((0.000722 * X1) ^ (-0.013052)))) - (((-0.009229) * X5) - ((-0.010647) * X2))))),22,3.137847212480529e-05,3.711914018346649e-05,3.137847212480529e-05,3.711914018346649e-05,0.837731307416219,0.7376589498873134
0,((-0.000000) + (1.000000 * (((0.020360 * X7) + ((0.010010 * X5) + (0.009581 * X6))) - (((0.015427 * X1) - ((-0.010571) * X2)) - 0.110999)))),25,3.1216218151702554e-05,3.785427718465929e-05,3.1216218151702554e-05,3.785427718465929e-05,0.8385703775907383,0.7324633388921128
0,(0.000260 + (0.995667 * (log((((0.022777 * X7) + ((0.011136 * X5) + (0.010669 * X6))) + ((0.000794 * X1) ^ (-0.013133)))) - (0.010686 * X2)))),26,2.534440425350532e-05,2.9576416646966165e-05,2.534440425350532e-05,2.9576416646966165e-05,0.8689355132979839,0.7909674587454079
0,(0.000024 + (0.999723 * (((0.020381 * X7) + ((26643.419922 * X1) ^ (-0.330936))) - (((((-0.010031) * X5) - ((-0.010865) * X2)) - 0.058975) - (0.009585 * X6))))),27,2.516235017230216e-05,2.8296583755623896e-05,2.516235017230216e-05,2.8296583755623896e-05,0.869876976528535,0.8000127303498681
0,((-0.000031) + (1.000344 * (((0.020919 * X7) + ((0.010569 * X5) + (0.010128 * X6))) - (log(((0.000759 * X1) ^ (0.012959 - ((-0.000816) * X9)))) - ((-0.010656) * X2))))),30,2.3054249785591506e-05,2.5709138196912363e-05,2.3054249785591506e-05,2.5709138196912363e-05,0.880778676656773,0.8182996082685581
0,(0.000023 + (0.999735 * (((0.020940 * X7) + ((26643.419922 * X1) ^ (-0.330935))) - (((((-0.010591) * X5) - ((-0.010865) * X2)) + ((-0.058416) - (0.006161 * X9))) - (0.010145 * X6))))),31,2.2699912772982995e-05,2.4290024514028512e-05,2.2699912772982995e-05,2.4290024514028512e-05,0.8826110731973481,0.8283292525964419
0,((-0.000017) + (1.000161 * (log((((0.022834 * X7) + ((0.011258 * X5) + (0.010789 * X6))) + ((0.000779 * X1) ^ ((0.000524 * X4) + ((-0.013057) - (0.000766 * X9)))))) - (0.010652 * X2)))),34,2.2032584897569185e-05,2.524010569116984e-05,2.2032584897569185e-05,2.524010569116984e-05,0.8860620513532447,0.8216145147961689
0,(0.000006 + (0.999930 * (((0.021460 * X7) + ((9.529709 * X1) ^ (-0.013374))) - (((((-0.011110) * X5) - ((-0.010653) * X2)) - (0.005256 * X12)) + ((0.877790 - (0.006681 * X9)) - (0.010668 * X6)))))),35,2.1139619526721233e-05,2.370220841800213e-05,2.1139619526721233e-05,2.370220841800213e-05,0.890679877316018,0.8324836670344516
0,(0.000006 + (0.999931 * (((0.018803 * X7) + ((0.000470 * X1) ^ (-0.011864))) - ((0.005602 * X14) + (((((0.005566 * X4) + exp(((-0.008490) * X5))) - (0.008012 * X6)) + (0.010652 * X2)) - ((-0.006074) * X15)))))),38,2.0205842114562714e-05,2.3147192385618582e-05,2.0205842114562714e-05,2.3147192385618582e-05,0.8955087561483768,0.8364062656734613
0,(0.000007 + (0.999922 * (((0.021194 * X7) + (((0.536700 * X1) ^ ((((-0.006646) * X12) - ((-0.003385) * X14)) - 0.012637)) - (((0.915080 - (0.006415 * X9)) - (0.010403 * X6)) + ((-0.010845) * X5)))) - (0.010654 * X2)))),39,1.896174599487709e-05,2.156828963535968e-05,1.896174599487709e-05,2.156828963535968e-05,0.9019423979773029,0.8475652258078135
0,(0.000028 + (0.999677 * (((0.019383 * X7) + ((18620.093750 * X1) ^ (-0.349275))) - ((0.005029 * X14) + (((((0.005002 * X4) + ((-0.062011) - (0.004603 * X9))) - (0.008587 * X6)) + (((-0.009034) * X5) - ((-0.010877) * X2))) - ((-0.005497) * X15)))))),43,1.8674957907678408e-05,1.9520987559980525e-05,1.8674957907678408e-05,1.9520987559980525e-05,0.9034254761773262,0.8620346174396831
0,(0.000000 + (1.000000 * (((0.023711 * X7) + (((((-0.003249) * X4) + (0.054868 - ((-0.006335) * X9))) - ((-0.010323) * X6)) + (0.010765 * X5))) - (log(((((0.008224 * X7) - (0.010037 * X12)) + (0.049496 * X1)) ^ 0.012674)) - ((-0.010682) * X2))))),44,1.854222835968563e-05,2.271906152899548e-05,1.854222835968563e-05,2.271906152899548e-05,0.9041118655634747,0.8394320981134642
0,(0.000006 + (0.999930 * (((0.020615 * X7) + ((((0.189063 * X6) - (0.128129 * X12)) + (0.660256 * X1)) ^ (-0.012663))) - ((0.003791 * X14) + ((((0.911843 - (0.005835 * X9)) - (0.013969 * X6)) + (((-0.010265) * X5) - ((-0.010685) * X2))) - ((-0.004263) * X15)))))),47,1.7151483898645413e-05,2.020328766656552e-05,1.7151483898645413e-05,2.020328766656552e-05,0.9113038755668149,0.8572124333705264
0,(0.000007 + (0.999924 * sin(((((0.020713 * X7) + ((((0.000136 * X6) - (0.000093 * X12)) + (0.000476 * X1)) ^ (-0.011693))) - ((0.003803 * X14) + ((((0.999597 ^ (14.596379 * X9)) - (0.014017 * X6)) + ((-0.010308) * X5)) - ((-0.004278) * X15)))) - (0.010725 * X2))))),48,1.7150889132622478e-05,2.0198856501543164e-05,1.7150889132622478e-05,2.0198856501543164e-05,0.9113069513030888,0.8572437508115944
0,(0.000005 + (0.999938 * (((0.020048 * X7) + ((((0.000255 * X1) + ((-0.000073) * X12)) + (0.000123 * X1)) ^ (-0.011406))) - ((0.004359 * X14) + (((((0.004315 * X4) + (0.999593 ^ (12.990414 * X9))) - (0.009255 * X6)) + (((-0.009698) * X5) - ((-0.010695) * X2))) - ((-0.004830) * X15)))))),51,1.6388551775163696e-05,1.9206634219215345e-05,1.6388551775163696e-05,1.9206634219215345e-05,0.9152492556259567,0.8642563226062134
0,((-0.000006) + (1.000072 * (exp((0.004610 * X11)) - ((((-0.021229) * X7) + ((((0.484980 * X6) - (0.340243 * X12)) + (1.662098 * X1)) ^ 0.012727)) - (((-0.003176) * X14) + ((((0.099341 - ((-0.006450) * X9)) - ((-0.014645) * X6)) + ((0.010880 * X5) - (0.010675 * X2))) - (0.003648 * X15))))))),52,1.5881115894734306e-05,1.8280392118464154e-05,1.5881115894734306e-05,1.8280392118464154e-05,0.9178733781950823,0.8708025767534978
0,((-0.000005) + (1.000062 * (exp((0.004588 * X11)) - ((((-0.021207) * X7) + ((((0.483911 * X6) - (0.343850 * X12)) + (1.662098 * X1)) ^ 0.012718)) - ((((-0.000236) * X12) - (0.003198 * X14)) + ((((0.099359 - ((-0.006428) * X9)) - ((-0.014613) * X6)) + ((0.010858 * X5) - (0.010675 * X2))) - (0.003670 * X15))))))),56,1.5878878563230677e-05,1.829714301925564e-05,1.5878878563230677e-05,1.829714301925564e-05,0.9178849481930262,0.8706841890731192
0,(0.000009 + (0.999901 * (((0.023021 * X7) + (((((0.062913 * X7) + ((0.004036 * X5) + (0.102621 * X6))) - (0.060913 * X12)) + (0.333571 * X1)) ^ (-0.012852))) - ((0.004379 * X14) + ((((((-0.005247) * X9) + (0.920257 - ((-0.004344) * X4))) - (0.013735 * X6)) + (((-0.009901) * X5) - ((-0.010671) * X2))) - ((-0.004851) * X15)))))),59,1.5736126334081058e-05,1.9438563783636942e-05,1.5736126334081058e-05,1.9438563783636942e-05,0.9186231682534357,0.8626171508694274
0,((-0.000012) + (1.000117 * ((((0.019037 * X7) + ((((-0.009977) * X2) + (0.002800 * X1)) + exp((0.003843 * X11)))) / (((((0.000268 * X4) - (0.000009 * X2)) - (0.000331 * X12)) + (0.001893 * X1)) ^ 0.013736)) - ((0.003602 * X14) + ((((0.999570 ^ (14.051542 * X9)) - (0.010014 * X6)) + ((-0.010459) * X5)) - ((-0.004070) * X15)))))),60,1.552100004687741e-05,1.735939576216865e-05,1.552100004687741e-05,1.735939576216865e-05,0.919735659047318,0.8773117563860622
0,(0.000000 + (0.999995 * (((0.022658 * X7) + (((((0.095124 * X7) + (((-0.074942) - ((-0.071731) * X9)) + (0.144348 * X6))) - (0.064665 * X12)) + (0.577201 * X1)) ^ (-0.010214))) - ((0.004530 * X14) + ((((((-0.007298) * X9) + (0.913196 - ((-0.004508) * X4))) - (0.012947 * X6)) + (((-0.009529) * X5) - ((-0.010839) * X2))) - ((-0.005001) * X15)))))),61,1.5167411596577004e-05,1.819902584896057e-05,1.5167411596577004e-05,1.819902584896057e-05,0.9215641845190097,0.8713776362101506
0,(0.000003 + (0.999969 * ((((0.024518 * X7) + ((((-0.019474) * X1) - (0.011393 * X2)) + exp(((0.019116 * X1) - ((-1.125840) * X14))))) / ((((12.275110 * X7) - (11.315116 * X12)) + (61.091377 * X1)) ^ 0.013716)) - ((2.015276 * X14) + (((((0.004337 * X4) + (0.850973 - (0.005252 * X9))) - (0.009240 * X6)) + ((-0.009682) * X5)) - ((-0.004846) * X15)))))),64,1.4401157899312643e-05,1.7626946455496075e-05,1.4401157899312643e-05,1.7626946455496075e-05,0.9255267415596465,0.8754208308554876
0,((-0.000009) + (1.000103 * ((((0.019742 * X7) + (((0.053230 * X1) - (0.010521 * X2)) + exp((((0.009967 * X5) + ((-0.057961) * X1)) - (3.005152 * X14))))) / ((0.788969 * X1) ^ (((0.008099 * X12) - ((-0.543305) * X14)) - (-0.011347)))) - (((-0.878644) * X14) + ((((0.905690 + ((0.002446 * X4) + (0.002080 * X4))) - (0.009046 * X6)) + ((-0.005061) * X9)) - ((-0.005038) * X15)))))),68,1.4243194424197013e-05,1.9114138245973964e-05,1.4243194424197013e-05,1.9114138245973964e-05,0.9263436241178875,0.8649100417018445
0,((-0.000008) + (1.000093 * ((((0.019748 * X7) + (((0.000258 * X1) - (0.000032 * X2)) + exp((((0.009446 * X5) + ((-0.304949) * X6)) - (992.726074 * X14))))) / ((0.697805 * X1) ^ (((0.007082 * X12) - ((-3.812043) * X14)) - (-0.014439)))) - (((-0.998198) * X14) + ((((0.913520 + ((0.004463 * X4) + (((-0.001852) * X1) - ((-0.010606) * X2)))) - (0.273928 * X6)) + ((-0.005132) * X9)) - ((-0.004967) * X15)))))),72,1.4045031915046933e-05,1.8550419436252833e-05,1.4045031915046933e-05,1.8550419436252833e-05,0.9273683894777498,0.8688941475776694
