Id,Expression,size,MSE_train,MSE_test,FBF_train,FBF_test,R2_train,R2_test
0,(1.464795 * In3),1,0.49992615386642614,0.47256950859550956,693.3159494511926,693.3159494511926,0.2514266652900763,0.25709895514542735
0,log((14.218255 * In3)),2,0.49260367374906294,0.4635689308693459,690.8349295406017,690.8349295406017,0.26239111137357973,0.27124827810309005
0,((1.112550 * In3) + (0.707107 * In10)),3,0.4621369277519443,0.4360120160443647,678.5836430978231,678.5836430978231,0.30801103638137795,0.3145690181087044
0,((0.436972 * In10) + sqrt((3.697395 * In3))),4,0.45802917938003657,0.4321611650713213,678.7893465031694,678.7893465031694,0.31416184660230084,0.3206227332964564
0,(((0.729720 * In3) + (0.527242 * In10)) + (0.199476 * In5)),5,0.440047645854807,0.4215809590107686,673.8204971109552,673.8204971109552,0.3410868162404683,0.3372553047895297
0,((0.214427 * In10) + log(((4.739416 * In5) - ((-10.699245) * In3)))),6,0.4290935739405688,0.40729181329767267,670.9830960308337,670.9830960308337,0.35748909101260296,0.35971850033485275
0,((((-0.138485) * In10) * ((-1.353639) * In9)) + ((0.553642 * In5) - ((-0.635817) * In3))),7,0.42669485569715143,0.4215509912989161,677.9195726421948,677.9195726421948,0.361080854517307,0.3373024154135589
0,((((-1.919445) * In10) * ((-0.046847) * In9)) + log(((4.348929 * In5) - ((-10.223005) * In3)))),8,0.41257194278837145,0.3935578950532564,671.0930826151487,671.0930826151487,0.3822280498184113,0.381308852712956
0,(((((-0.095856) * In10) * ((-0.961855) * In9)) - ((-0.166586) * In8)) + log(((3.415173 * In5) - ((-6.676825) * In3)))),10,0.398075223862678,0.38806917574312594,673.0172810295145,673.0172810295145,0.4039349702198157,0.38993737240422444
0,(((0.092155 * In10) * ((1.036364 * In9) + sin(((-1.842585) * In7)))) + log(((3.950794 * In5) - ((-9.189847) * In3)))),11,0.3959183128162481,0.39874877013243715,675.5795882254619,675.5795882254619,0.4071646594093318,0.37314855787824697
0,((((-1.919445) * In10) * (((1.975833 * In10) * ((-0.004797) * In9)) - (0.032884 * In8))) + log(((4.320563 * In5) - ((-8.923907) * In3)))),12,0.3943523080988802,0.38774626677458707,681.7106203801588,681.7106203801588,0.4095095444776268,0.39044500018332806
0,((((0.091277 * In10) * ((0.995583 * In9) + sin(((-1.833125) * In7)))) - ((-0.166586) * In8)) + log(((3.415173 * In5) - ((-6.676825) * In3)))),13,0.38146817094382496,0.3892483181423611,677.9221834497779,677.9221834497779,0.42880183683006234,0.3880837062144028
0,((((0.091277 * In10) * ((0.995583 * In9) + sin(((-1.833126) * In7)))) - ((-0.170537) * In8)) + (((0.153568 * In5) + log((11.879472 * In3))) - (0.224311 * In3))),15,0.37658394008562124,0.39559986927845814,686.2259365513319,686.2259365513319,0.43611532693803445,0.37809877513097867
0,((((0.092174 * In10) * ((1.037246 * In9) + sin(((-1.842765) * In7)))) - ((-0.153527) * In5)) + ((abs(((-0.167807) * In8)) + log(((12.759129 * In3) + ((-0.456633) * In10)))) - (0.244365 * In3))),18,0.3763381065814749,0.39533630004516235,703.6579105451966,703.6579105451966,0.4364834301159919,0.37851311811173705
0,((((0.086517 * In10) * ((((6.283185 * In10) * (0.057219 * In9)) - ((-0.944072) * In8)) + sin(((-1.829736) * In7)))) - ((-0.148103) * In5)) + ((((-0.215179) * In10) + log((19.996128 * In3))) - (0.217570 * In3))),19,0.37105206857020706,0.3935764988621434,706.3515838291306,706.3515838291306,0.44439857332443344,0.38127960666806937
0,(((((-0.071609) - ((-0.117548) * In10)) * (((((-0.310503) * In10) * ((-1.071546) * In9)) - ((-0.917118) * In8)) + sin(((-1.839139) * In7)))) - ((-0.144460) * In5)) + ((((-0.288366) * In10) + log((24.191900 * In3))) - (0.212232 * In3))),21,0.3702349341076532,0.3955991819456175,713.1099657364969,713.1099657364969,0.4456221241725129,0.37809985564987847
0,((((0.168084 * In10) * (((((-0.179447) * In10) * ((-1.047148) * In9)) - ((-0.473732) * In8)) + sin(((-1.944253) * In7)))) - ((-0.147377) * In5)) + ((sin(((-0.710296) * In7)) + (((-0.229951) * In10) + log((46.364414 * In3)))) - (0.210957 * In3))),22,0.3698997669134183,0.3997271196978228,720.274318623195,720.274318623195,0.4461239927431675,0.3716105472763396
0,((((0.092190 * In10) * ((((((-0.104793) * In10) * ((-1.047148) * In9)) - ((-0.294684) * In8)) + sin(((-1.472039) * In7))) / sqrt((abs((0.283733 * In7)) ^ (1.640764 * In6))))) - ((-0.165184) * In5)) + (log((18.849812 * In3)) - (0.243556 * In3))),23,0.3661296793009745,0.40234301684497,734.4521967798208,734.4521967798208,0.45176920060910697,0.3674982364130691
0,((((0.190276 * In10) * (((0.184492 * In10) * (((0.378219 * In9) - ((-0.196264) * In8)) + sin(((-1.523700) * In7)))) / sqrt((abs((0.311924 * In7)) ^ (1.731381 * In6))))) - ((-0.086588) * In8)) + (((0.163499 * In5) + log((15.714414 * In3))) - (0.232478 * In3))),25,0.3613927289285045,0.4056894113351633,744.1055834623351,744.1055834623351,0.4588621576573648,0.36223755006314196
0,(((-0.131979) * In10) + ((((0.189070 * In10) * (((0.244733 * In10) * (((0.411637 * In9) - ((-0.251258) * In8)) + sin(((-1.583806) * In7)))) / sqrt((abs((0.328188 * In7)) ^ (1.411350 * In6))))) - ((-0.061305) * In8)) + (((0.157420 * In5) + log((19.339405 * In3))) - (0.235910 * In3)))),27,0.3599956232211043,0.40551056733002533,756.6920353761566,756.6920353761566,0.4609541387834618,0.3625187010808575
0,(((((((((-0.696042) + (0.543761 * In9)) - ((-0.447927) * In8)) + sin(((-1.617072) * In7))) / sqrt((abs((0.253698 * In7)) ^ (1.253048 * In6)))) / log((896.773682 * In3))) / (3.467694 - (0.971962 * In10))) - ((-0.034545) * In8)) + (((0.154827 * In5) + log((16.823158 * In3))) - (0.207256 * In3))),30,0.3593491492779001,0.4016398295267924,761.4443622288784,761.4443622288784,0.4619221480618816,0.368603679282109
0,(((((((((-0.768361) + ((-0.077975) * In9)) - (0.035020 * In8)) + sin((1.313803 * In7))) / sqrt((abs((0.361090 * In7)) ^ (3.356843 * In6)))) / ((-3.459913) + (0.614453 * In9))) / (7.065845 - (2.038218 * In10))) - ((-0.128030) * In8)) + (((0.167129 * In5) + log((14.608937 * In3))) - (0.230648 * In3))),31,0.35695990200700434,0.4067270089914133,764.6342573016857,764.6342573016857,0.46549973003711653,0.3606063987320759
0,(((((((((-0.464846) + (0.511046 * In9)) - ((-0.263280) * In8)) + sin(((-2.073868) * In7))) / sqrt((abs((0.336322 * In7)) ^ (2.138501 * In6)))) / sin(((-0.955188) * In7))) / ((8.687314 - (2.452844 * In10)) * (-4.550302))) - ((-0.081838) * In8)) + (((0.161447 * In5) + log((15.698738 * In3))) - (0.226521 * In3))),32,0.3560352925954015,0.4073145411036036,766.6359729669981,766.6359729669981,0.46688421041525774,0.35968277117656766
0,((((((((((-0.187770) * In7) - ((-0.427349) * In9)) - ((-0.222501) * In8)) + sin(((-1.995180) * In7))) / sqrt((abs((0.340123 * In7)) ^ (2.086152 * In6)))) / sin(((-0.949565) * In7))) / ((2.660277 - (0.750800 * In10)) * (-11.403515))) - ((-0.079296) * In8)) + (((0.160080 * In5) + (((-0.029463) * In10) + log((16.357967 * In3)))) - (0.227140 * In3))),34,0.3558994504822784,0.40792475519953547,786.0082520919883,786.0082520919883,0.46708761602392257,0.3587234864973676
0,(((((((((-0.073325) * In10) * ((-1.071546) * In9)) - ((-0.194962) * In8)) + sin(((-2.209950) * In7))) / sqrt((abs((0.338613 * In7)) ^ (2.106762 * In6)))) / sin(((-0.975248) * In7))) / ((3.224692 - (0.728813 * In10)) * (-3.676001))) + ((((0.164310 * In5) + log((17.615116 * In3))) - (0.220595 * In3)) + (sin(((-2.184650) * In7)) * (-0.295366)))),35,0.3538388734099747,0.4077324852929101,781.3134977973828,781.3134977973828,0.47017305782069907,0.359025743650925
0,((((((((-0.093278) * In10) * ((-1.074107) * In9)) - ((-0.278160) * In8)) + sin(((-1.642351) * In7))) / sqrt((abs((0.364051 * In7)) ^ (2.185167 * In6)))) / ((3.641208 - (0.785993 * In10)) * ((-1.388104) / ((-0.433985) * In7)))) + ((log((9.888012 * In3)) - ((((-0.158705) * In5) - ((-0.234395) * In3)) + ((-2.566196) / (2.752880 * In7)))) - (((-0.026797) * In9) + (0.106811 * In10)))),37,0.3516442157339299,0.40579970534499343,801.3088289207752,801.3088289207752,0.4734592675986786,0.36206416279702835
0,(((((((((-0.068661) * In10) * ((-0.842037) * In9)) - ((-0.396648) * In8)) + sin(((-2.110924) * In7))) / sqrt((abs((0.272433 * In7)) ^ (1.576635 * In6)))) / ((-0.903209) + ((-0.454669) * In9))) / ((3.162541 - (0.815995 * In10)) * (-3.649645))) + ((((0.163196 * In5) + log((22.168674 * In3))) - (0.317101 * In3)) + ((0.400025 * In10) * (((0.077691 * In3) + (0.285725 * In9)) + sin(((-0.892086) * In7)))))),40,0.35052311795762275,0.40337030450861017,816.9465188310811,816.9465188310811,0.4751379633309494,0.36588329286549937
0,(((((((((-0.043422) * In10) * ((-0.818674) * In9)) - ((-0.187247) * In8)) + sin(((-2.612751) * In7))) / sqrt((abs((0.251089 * In7)) ^ (2.392984 * In6)))) / ((-1.497360) + ((-0.706778) * In9))) / ((3.258765 - (0.843177 * In10)) * (-4.284052))) + ((((0.160300 * In5) + log((23.110563 * In3))) - (0.244646 * In3)) + ((0.355144 * In10) * (((((-0.122505) * In10) * ((-0.826723) * In9)) - ((-0.091415) * In8)) + sin(((-0.950477) * In7)))))),42,0.3493578451862936,0.4059311233841263,829.7071675137558,829.7071675137558,0.4768828052791737,0.3618575675833957
0,(((((((((-0.039375) * In10) * ((-1.216837) * In9)) - ((-0.285883) * In8)) + sin(((-2.351723) * In7))) / sqrt((abs((0.280871 * In7)) ^ (1.380447 * In6)))) / ((-3.056176) + ((-0.647715) * In9))) / ((3.214327 - (0.811014 * In10)) * (-0.794125))) + ((log((19.156767 * In3)) - ((((-8.938022) * In3) + ((-0.734678) * In10)) + (((-0.728472) * In10) * (((-0.350836) * In7) + ((0.122142 * In9) + sin(((-1.070494) * In7))))))) - (((-0.165284) * In5) - ((-9.189847) * In3)))),44,0.349229300754896,0.40983948120483765,843.4174203405508,843.4174203405508,0.4770752835740688,0.3557134489810311
0,(((((((((-0.071133) * In10) * ((-1.457749) * In9)) - ((-0.358455) * In8)) + (sin(((-1.833877) * In7)) - (0.067363 * In3))) / sqrt((abs((0.344342 * In7)) ^ (2.353018 * In6)))) / ((-2.527858) / (0.772781 * In7))) / ((3.323809 - (0.792686 * In10)) * (-2.109934))) + (((((-0.216631) * In10) * ((-1.349700) * In9)) ^ ((-0.063416) * In8)) + ((log((2.695110 * In3)) - (0.404409 / (sin(((-0.751466) * In7)) - ((-0.112145) * In9)))) - (((-0.170993) * In5) - ((-0.201125) * In3))))),46,0.34818019609579975,0.4092275258657095,850.6146114591744,850.6146114591744,0.47864617912943364,0.35667547097477714
0,(((((((((-0.068103) * In10) * ((-1.461076) * In9)) - ((-0.381595) * In8)) + ((((-0.003503) * In5) + sin(((-1.854594) * In7))) - (0.070375 * In3))) / sqrt((abs((0.349079 * In7)) ^ (2.160724 * In6)))) / ((-2.586090) / (1.116873 * In7))) / ((3.317307 - (0.736405 * In10)) * (-2.158534))) + (((((-0.341574) * In10) * ((-1.352659) * In9)) ^ ((-0.079561) * In8)) + ((log((2.138117 * In3)) - (0.559387 / (sin(((-0.738909) * In7)) - ((-0.097187) * In9)))) - (((-0.173412) * In5) - ((-0.196245) * In3))))),48,0.34803106259370314,0.40915059040974566,864.3055025703338,864.3055025703338,0.4788694868362179,0.3567964170569561
0,((((((((0.147458 * In10) * ((-1.457749) * In9)) - ((-0.405674) * In8)) + (((((-0.310503) * In10) * ((-1.071546) * In9)) + sin(((-1.859554) * In7))) - (0.100807 * In10))) / sqrt((abs((0.349280 * In7)) ^ (2.129076 * In6)))) / ((-2.527858) / (0.932287 * In7))) / ((3.323809 - (0.771737 * In10)) * (-2.109934))) + (((((-0.336673) * In10) * ((-1.349700) * In9)) ^ ((-0.068196) * In8)) + ((log((2.720429 * In3)) - (0.452614 / (sin(((-0.747855) * In7)) - ((-0.105331) * In9)))) - (((-0.166843) * In5) - ((-0.233133) * In3))))),50,0.3478368390267757,0.4093881784616648,877.9546779850788,877.9546779850788,0.47916031095503964,0.3564229176906084
