Id,Expression,size,MSE_train,MSE_test,FBF_train,FBF_test,R2_train,R2_test
0,((-1.028230) * LOW),1,245138.8,245354.56790123458,7388.537459978124,7388.537459978124,0.5322409875588814,0.5409462004003609
0,exp(((-1.028230) * LOW)),2,245138.768,245354.56790123458,7390.7868005566,7390.7868005566,0.5322410486193434,0.5409462004003609
0,(((-124.323425) * SMOKE) + ((-1093.831665) * LOW)),3,241628.16,242161.53086419753,7392.119933552103,7392.119933552103,0.5389397782009024,0.5469203128721706
0,((2.718282 * LOW) - log((42.942947 * LWT))),4,237841.248,242619.16049382716,7387.539276943454,7387.539276943454,0.5461657343421638,0.5460640964092457
0,((sqrt((251015.312500 * LWT)) + ((-1079.137451) * LOW)) - (18.339159 * LWT)),6,236826.912,240872.74074074073,7397.0835444166005,7397.0835444166005,0.5481012288687074,0.5493316150464895
0,((2.680377 * LWT) + ((((-1061.002075) * LOW) - (-2761.632080)) - ((-212.357300) * UI))),7,232322.88,236093.62962962964,7392.32903702112,7392.32903702112,0.5566955499648505,0.5582732423943346
0,(((-16.987917) * LWT) + ((sqrt((219953.671875 * LWT)) + ((-1047.334717) * LOW)) - ((-215.214478) * UI))),8,230234.304,233694.17283950618,7395.93044135087,7395.93044135087,0.5606808442029239,0.562762581092625
0,(((-173.854202) * SMOKE) + ((2.698846 * LWT) + ((((-1050.614624) * LOW) - (-2833.860840)) - ((-125.272972) * RACE)))),9,227414.976,235281.3086419753,7394.641099096091,7394.641099096091,0.5660605151527187,0.5597930797426548
0,(((-166.816605) * SMOKE) + (((-17.454178) * LWT) + ((sqrt((231355.734375 * LWT)) + ((-1038.284180) * LOW)) - ((-124.481689) * RACE)))),10,226019.424,233142.22222222222,7400.254298293486,7400.254298293486,0.5687234229638455,0.5637952703562606
0,(((-175.048737) * SMOKE) + ((2.718502 * LWT) + ((((-1020.943054) * LOW) - (-2666.569580)) - (((-201.615479) * UI) + ((-117.700050) * RACE))))),11,221680.576,228434.41975308643,7395.663157004237,7395.663157004237,0.5770025499548079,0.572603480571003
0,(((204.694153 * UI) + (116.669167 * RACE)) + (((-168.472275) * SMOKE) + (((-16.247828) * LWT) + (sqrt((204702.328125 * LWT)) + ((-1008.454163) * LOW))))),12,220091.264,226334.02469135803,7398.770942366129,7398.770942366129,0.5800351788637395,0.5765332803786629
0,(((202.036957 * UI) + (117.231262 * RACE)) + ((((-0.330792) * LOW) - (-0.952810)) * (((-216.976608) * SMOKE) + (((-16.416527) * LWT) + sqrt((219954.796875 * LWT)))))),14,217753.456,223983.95061728396,7403.330825912956,7403.330825912956,0.5844960425106079,0.5809302249404555
