Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,39.437053268898225 + (-6.192973221462981)(log(X_0 + X_2)),8,8.386505291815336,6.919403724946306,8.386505291815336,6.919403724946306,0.311364810992356,0.4693893122272186
1,((log(131.3845698404342 - (sin(131.3845698404342))))((49.227468160251725)^(-1)))((exp(log(131.3845698404342 - (sin(131.3845698404342)))) - (X_0))(exp(((131.3845698404342)((49.227468160251725)^(-1)))((X_1)^(-1))))),13,12.75519818815478,8.235170800121441,12.75519818815478,8.235170800121441,-0.0473585849522091,0.3684904341648785
2,(17.03253432213847)((1.221056579213945 + (X_0)((X_2)^(-1)))^(-1)),11,8.532304749674944,7.636699702471975,8.532304749674944,7.636699702471975,0.2993928830287082,0.4143838627548367
3,(198.12654472268156)(0.9366536495790874 + ((X_2)^(-1))(sqrt(X_2) - (X_2))),14,9.98090543541166,9.051010460838,9.98090543541166,9.051010460838,0.1804449574854603,0.3059282162783243
4,12.753135974480577 + (-0.062111524704443255)(X_0),5,8.332350334094352,7.005836946600707,8.332350334094352,7.005836946600707,0.3158115988078107,0.4627612279281174
5,(1501.2796572666994)((102.2497093015945 + X_0 + log((X_1)(X_2)))^(-1)),11,8.470344762439224,7.271673783517062,8.470344762439224,7.271673783517062,0.3044805597231502,0.442375675577272
6,12.754100434855857 + (-0.031055762352221752)((2)(X_0) - (-0.031055762352221752)),5,8.332350334094354,7.0058369466006924,8.332350334094354,7.0058369466006924,0.3158115988078106,0.4627612279281186
7,(2)(8.462836288723029) - (sqrt(8.462836288723029 + X_0)),9,8.36570102713543,6.900997632525721,8.36570102713543,6.900997632525721,0.3130730968923237,0.4708007733511424
8,16.166322061246966 - (sqrt(X_0)),7,8.613119357570383,6.829487664871785,8.613119357570383,6.829487664871785,0.2927570101774783,0.4762844760844671
9,12.313006329872819 + sin((5.139403827378815)((sqrt(exp(5.139403827378815)))^((-1)(X_0))) + X_0) + log(X_0 + log((5.139403827378815)((sqrt(exp(5.139403827378815)))^((-1)(X_0))))) - (sqrt(X_0)),28,8.164085807699493,6.672948560332135,8.164085807699493,6.672948560332135,0.3296281850860414,0.4882885916448384
10,12.753135974480571 + (-0.06211152470444414)(X_0),5,8.332350334094354,7.005836946600636,8.332350334094354,7.005836946600636,0.3158115988078106,0.4627612279281229
11,15.03290613971186 + (-0.8116521375869992)(sqrt(((2)((2)^(-1)))(X_0))),7,8.410201437056676,7.116413356584265,8.410201437056676,7.116413356584265,0.3094190661452207,0.4542817364451608
12,15.406825128282822 - (sqrt(sqrt(-20.99999954906126 + X_2) - (X_0))),15,8.375226715980773,7.271849272191732,8.375226715980773,7.271849272191732,0.3122909207283328,0.442362218324297
13,12.823635216766908 + (sqrt(3 + -3.0038578415010573))(((4)(-3.0038578415010573))(((log(-3.0038578415010573))^(-1))((log((4)(-3.0038578415010573)))^((-1)(log((4)(-3.0038578415010573)))))) - (X_0)),30,8.332350334094354,7.005836946632721,8.332350334094354,7.005836946632721,0.3158115988078106,0.4627612279256624
14,(-0.03124034401690043)(-408.6427780569061 + (2)(X_0) - (sin(X_0))),9,8.306559138653574,6.958465148896127,8.306559138653574,6.958465148896127,0.3179293730330803,0.4663939083092951
15,15.875215214655586 + (-0.918923469492376 + (-45.2752660553084)(((X_0)^(-1))((X_1)^(-1))))(sqrt(X_0)),16,8.005678067181414,7.073725482303751,8.005678067181414,7.073725482303751,0.3426354080634598,0.4575552327219974
16,12.753135974480577 + (-0.06211152470444392)(X_0),5,8.332350334094352,7.005836946600659,8.332350334094352,7.005836946600659,0.3158115988078107,0.4627612279281211
17,(7.405208012748115e-06)(1370155.056627926 + X_0),5,12.179365673004526,13.435792489975476,12.179365673004526,13.435792489975476,-7.56561148260726e-05,-0.0303163939077106
18,(7.966686798378448e-06)(1273577.040018107 + X_0),5,12.179435511556688,13.435807700721163,12.179435511556688,13.435807700721163,-8.139071856061442e-05,-0.0303175603354193
19,(843.471000271677 + (-2)(X_0))((X_2 - (sin((exp(X_0))(exp(X_0)))))^(-1)),17,9.008937611766903,7.234387660354027,9.008937611766903,7.234387660354027,0.2602554652780419,0.4452349415259534
20,3.1609294666145917 + log((X_2)(X_0 - ((X_2)(X_2)))) - (sqrt(X_0)),17,8.598869631500055,7.239395649719646,8.598869631500055,7.239395649719646,0.2939270878754348,0.4448509066022402
21,(-0.06707389432095347)(-197.25955026266485 + X_0 + (319.10681135412835)((X_1)^(-1))),10,8.102695272651019,7.172929980314404,8.102695272651019,7.172929980314404,0.3346691027550071,0.4499477900850245
22,12.753135974480564 + (-0.062111524704443255)(X_0),5,8.332350334094354,7.0058369466006924,8.332350334094354,7.0058369466006924,0.3158115988078105,0.4627612279281186
23,12.753135974480571 + (-0.06211152470444414)(X_0),5,8.332350334094354,7.005836946600636,8.332350334094354,7.005836946600636,0.3158115988078106,0.4627612279281229
24,12.75313597448058 + (-0.062111524704443255)(X_0),5,8.332350334094352,7.005836946600711,8.332350334094352,7.005836946600711,0.3158115988078107,0.4627612279281171
25,15.032906139711868 + (-0.8116521375870005)(sqrt(X_0)),7,8.410201437056676,7.11641335658426,8.410201437056676,7.11641335658426,0.3094190661452207,0.4542817364451611
26,(0.06211152470444353)(205.32640335535348 - (X_0)),5,8.332350334094354,7.0058369466006845,8.332350334094354,7.0058369466006845,0.3158115988078105,0.4627612279281191
27,(0.0006374784482712665)(15916.445638642414 + (X_0)((X_2)^(-1))),8,12.17932258553077,13.435825569933929,12.17932258553077,13.435825569933929,-7.211810350882253e-05,-0.0303189306262205
