Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(-27.916002539140727 + X_23)(sqrt(X_7)),7,4645.174415620983,3681.885438935808,4645.174415620983,3681.885438935808,0.4310417268205138,0.4670025178854595
1,(-0.5674917911498629 + exp(-0.5674917911498629))((sqrt(X_16))((((2)(-0.5674917911498629))(X_5) + sqrt(X_16))(585.3380916582377 + sqrt(((exp(X_24))^(-1))(sqrt(X_16)))))),24,4414.141847058367,3592.2469680800623,4414.141847058367,3592.2469680800623,0.459339456786383,0.4799787715085269
2,(sqrt(X_16))((-36.37565109446709 + (0.00837269418060919)(X_5) + sqrt(X_16))(0.8663173599427477 + sqrt(((exp(X_24))^(-1))(sqrt(X_16))) - (exp((0.00837269418060919)(X_5))))),30,4094.490466323894,3146.922005710632,4094.490466323894,3146.922005710632,0.4984915491148282,0.5444449499386368
3,((69.65240449106348)(69.65240449106348))(((X_5)((X_19)^(-2)))(((exp((69.65240449106348)((X_19)^(-1))))^(-1))((sqrt(((2)(69.65240449106348))((X_5)((X_19)^(-1)))))^(1.3780331782967088)))),19,4156.466464382722,3201.1914091454555,4156.466464382722,3201.1914091454555,0.4909004979121982,0.5365887969250929
4,(0.04059726692611084)((sqrt(X_16))(((-0.6644674609262675)(X_5) + sqrt(X_16))(-18.531566367588475 + (sqrt(X_16))((sqrt(X_24))^(-1))))),21,4210.395351247337,3263.3396945699847,4210.395351247337,3263.3396945699847,0.4842950868770818,0.5275920803790767
5,(sqrt(X_16))(((-0.46010336441785976)(X_5) + sqrt(X_16))(-1 + (2)(((exp(X_24))^(-1))(sqrt(X_16))))),22,4157.166203451304,3240.589195087944,4157.166203451304,3240.589195087944,0.4908147912634235,0.5308854905467436
6,341.0270047507007 + (-3718.394748488828)((X_5)^(-3718.394748488828)) - ((X_2)((X_15)^(-1))),13,8171.368031654951,6938.808816479118,8171.368031654951,6938.808816479118,-0.0008596080203249,-0.0044765621839935
7,((-1.5023156203554515)((exp(-1.5023156203554515))^(-1)))((-0.06527206337334543 + sqrt((X_2)^(-1)))((sqrt(X_16))(((2)(-1.5023156203554515))(X_5) + X_19 + sqrt(X_16)))),20,3919.07383126428,3155.588793809365,3919.07383126428,3155.588793809365,0.5199772322863463,0.5431903274602198
8,(-20.795064108073174)(((X_10)^(-1))((X_16 - (X_2 + X_12))((2.333714838420913)(X_5) + X_16 - (X_2 + X_12)))),24,3522.167393485725,2878.799833256259,3522.167393485725,2878.799833256259,0.568591811901032,0.5832588797002773
9,(-3.253780698843497)((sqrt(X_16))((-27.603151261229023)((X_5)((X_8)^(-1))) + sqrt(X_16))),15,3918.942071065868,2981.021455710889,3918.942071065868,2981.021455710889,0.5199933707664667,0.5684610625792403
