Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.175800901944711 + (-0.1046400136540138)((sqrt(sin(X_0)))^(sqrt(sin(X_0)))),13,0.0001072867381976,0.0001576938106882,0.0001072867381976,0.0001576938106882,0.5279918322798569,-0.0365485514939505
1,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
2,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
3,-0.8860099882778614 + (X_15)^(X_15) + (-0.042138465238819034)(sin(X_0)),9,0.000107818951078,0.0001528960372897,0.000107818951078,0.0001528960372897,0.5256503609037713,-0.0050119614090446
4,0.10144486626179391 + (-0.015820951788513494)((sin(X_0))((2)(sin(X_0)) - (X_7))),14,0.0001056288104714,0.000154628596397,0.0001056288104714,0.000154628596397,0.5352858878301694,-0.0164003705367501
5,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
6,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
7,0.12929864351931752 + (-0.021485217083351764)(exp(sin(X_0))),7,0.0001071400867708,0.0001588482412324,0.0001071400867708,0.0001588482412324,0.5286370254548447,-0.0441368220996192
8,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
9,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
10,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
11,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
12,sqrt((2.621580290972456)(exp(exp(sqrt((3.045947982747108e-31)^(X_0)))))),11,6.692213495865437,6.688656792385943,6.692213495865437,6.688656792385943,-29441.40344372666,-43964.69199086991
13,0.15612847696096616 + (-0.04213846523882282)((X_3)^(X_3) + sin(X_0)),11,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037713,-0.0050119614090975
14,0.10184675915451091 + (-0.02072467687502022)(X_0 - (X_5)),8,9.671282004535174e-05,0.0001372219399993,9.671282004535174e-05,0.0001372219399993,0.5745118012575379,0.0980165770697117
15,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
16,0.18446148775546964 + (-0.1042020446263304)((X_0)^(0.18446148775546964)),7,0.000107722603249,0.000153909629675,0.000107722603249,0.000153909629675,0.5260742433236907,-0.011674478562925
17,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
18,0.11399001172214618 + (-0.042138465238822365)(sin(X_0)),6,0.000107818951078,0.0001528960372897,0.000107818951078,0.0001528960372897,0.5256503609037715,-0.0050119614090593
19,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
20,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
21,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
22,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
23,0.18446148773907195 + (-0.10420204460958107)((X_0)^(0.18446148773907195)),7,0.000107722603249,0.0001539096296456,0.000107722603249,0.0001539096296456,0.5260742433236906,-0.0116744783692857
24,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
25,-0.09788050154064433 + (0.1774319055402919)((X_0)^(-0.09788050154064433)),7,0.000108339887809,0.0001496323297171,0.000108339887809,0.0001496323297171,0.5233584989641746,0.016440950040957
26,0.11399001172213463 + (-0.04213846523881948)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090935
27,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
28,-0.00862120822069834 + (2.0883825131210902)((X_0)^(-0.00862120822069834)) - ((X_8)^(X_8) + (X_12)^(X_12)),17,0.0001079928069852,0.0001510786358954,0.0001079928069852,0.0001510786358954,0.5248854815755523,0.0069341306700981
29,((1 + 370.2707009379315 + X_8)^(-1))(((397.2728833080543)((X_8)^((-1)(X_8))) - (370.2707009379315 + X_8))((sqrt(sin(X_0)))^((-1)(sqrt(sin(X_0)))))),27,0.0001077162400026,0.0001465421987512,0.0001077162400026,0.0001465421987512,0.5261022384358471,0.036752912588247
30,0.11398834701177502 - ((0.043613821717071476 + (-0.02070327785869136)(X_5))(sin(X_0))),11,9.01617656153418e-05,0.0001332518401265,9.01617656153418e-05,0.0001332518401265,0.6033331751765453,0.1241127266553475
31,0.10559421229542061 + (0.03499160208060221)(sin(-3.305099738304626 + X_0)),8,0.0001068813995855,0.0001565106748688,0.0001068813995855,0.0001565106748688,0.5297751201192904,-0.02877159617477
32,0.08905308152747349 + (-0.012758698398722235)(log(X_0 + (X_0)(X_0))),10,0.0001077119025488,0.0001536620979144,0.0001077119025488,0.0001536620979144,0.5261213210707282,-0.0100474097081297
33,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
34,0.07107308756728337 + (0.04560162963233383)((exp((X_0)(X_0) + sin(X_0)))^(-1)),15,0.0001089440708704,0.0001489754678742,0.0001089440708704,0.0001489754678742,0.5207003946673995,0.0207586159582048
35,0.11399001172214368 + (-0.04213846523882214)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037713,-0.0050119614090771
36,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
37,0.1139900117221444 - ((-0.9578615347611772 + (X_13)^(X_13))(sin(X_0))),11,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037715,-0.0050119614090873
38,0.07978224951162916 + (-0.018064387853391928)(log(X_0)),6,0.0001079666406274,0.0001512189059237,0.0001079666406274,0.0001512189059237,0.5250006005067063,0.0060121116384821
39,0.07978224951162889 + (-0.018064387853390332)(log(X_0)),6,0.0001079666406274,0.0001512189059237,0.0001079666406274,0.0001512189059237,0.5250006005067063,0.0060121116385455
40,0.07854620842840175 + (-0.01783215833322605)(log(X_0) - (X_5)),9,8.992688023157546e-05,0.0001286324073006,8.992688023157546e-05,0.0001286324073006,0.6043665537793281,0.1544770534701165
41,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
42,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
43,0.11399001172214335 + sin(X_0) + (-1.0421384652388228)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037717,-0.0050119614090979
44,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
45,0.1139900117221524 + (-0.04213846523882747)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037715,-0.0050119614091317
46,(0.004837171631800824 + (-0.0010922597058094182)(log(X_0)))(16.638510860839318 - (X_11 + sqrt(X_15))),17,0.0001048460851329,0.0001467716547621,0.0001048460851329,0.0001467716547621,0.5387294891464276,0.0352446587469039
47,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
48,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
49,0.11399001172213508 - ((1.0421384652388213 - ((X_7)^(X_7)))(sin(X_0))),13,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037713,-0.0050119614091346
50,0.08905308152746882 + (-0.01275869839871129)(log(X_0 + (X_0)(X_0))),10,0.0001077119025488,0.0001536620979143,0.0001077119025488,0.0001536620979143,0.5261213210707282,-0.0100474097074438
51,0.11399001172214336 + (-0.042138465238822836)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037715,-0.0050119614090977
52,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
53,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
54,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
55,-0.8860099882778512 + (X_2)^(X_2) + (-0.04213846523882436)(sin(X_0)),9,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037713,-0.0050119614090851
56,0.07978224951162889 + (-0.018064387853390332)(log(X_0)),6,0.0001079666406274,0.0001512189059237,0.0001079666406274,0.0001512189059237,0.5250006005067063,0.0060121116385455
57,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
58,1.079826885791998 - ((X_0)^(0.018189388137786474)),7,0.0001079157292175,0.0001515109064117,0.0001079157292175,0.0001515109064117,0.525224585331747,0.0040927421870199
59,0.1018684977145224 - (exp((-3.4760802406460702)((sqrt(sin(X_0)))^(-1)))),11,0.0001077229094286,0.0001604385130333,0.0001077229094286,0.0001604385130333,0.5260728962859386,-0.054589952279902
60,(0.11399001172214336 + (-0.04213846523882284)(sin(X_0)))^((X_10)^(X_10)),10,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
61,0.10078703277782991 + ((-1)(0.0037466106642354536))((0.0037466106642354536 + sin(X_0))(log(sqrt(sin(X_0))) + sqrt(X_1))),17,9.603181155156384e-05,9.454177939720356e-05,9.603181155156384e-05,9.454177939720356e-05,0.5775078991607346,0.3785606165384509
62,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
63,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
64,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
65,0.11399001172214335 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037715,-0.0050119614090979
66,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
67,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
68,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
69,0.07978224951162889 + (-0.01806438785339033)(log(X_0)),6,0.0001079666406274,0.0001512189059237,0.0001079666406274,0.0001512189059237,0.5250006005067063,0.0060121116385455
70,-0.06110711422661909 + (0.14060467428837542)((X_0)^((2)(-0.06110711422661909))),7,0.0001084583887721,0.0001492079279117,0.0001084583887721,0.0001492079279117,0.5228371537969536,0.019230616133259
71,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
72,sqrt(sqrt(0.4730251000430409 - (sqrt((sqrt(-0.0017756502526833431))^(0.4730251000430409))))) + ((-1)(sqrt(-0.0017756502526833431)))(sqrt(-0.0017756502526833431) + sin(X_0)),19,0.000107818951078,0.0001528960372943,0.000107818951078,0.0001528960372943,0.5256503609037715,-0.0050119614392647
73,1.0798268857987234 - ((X_0)^(0.018189388092832822)),7,0.0001079157292175,0.0001515109061216,0.0001079157292175,0.0001515109061216,0.5252245853317468,0.0040927440942624
74,1.0798268857883202 - ((X_0)^(0.01818938816235467)),7,0.0001079157292175,0.0001515109065703,0.0001079157292175,0.0001515109065703,0.5252245853317473,0.0040927411446475
75,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
76,0.11193387417306443 + (-0.04825657933011116)((((3.0640097594593168)((X_1)^(-1)))^((3.0640097594593168)((X_1)^(-1))))(sin(X_0))),17,9.362178897210828e-05,0.0001230241012744,9.362178897210828e-05,0.0001230241012744,0.588110797161024,0.1913414139824658
77,1.1139900117221433 + (-0.04213846523882285)(sin(X_0)) - ((X_7)^(X_7)),11,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.525650360903771,-0.0050119614090982
78,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
79,0.11399001172214336 + (-0.04213846523882284)(sin(X_0)),6,0.000107818951078,0.0001528960372898,0.000107818951078,0.0001528960372898,0.5256503609037714,-0.0050119614090977
