Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
1,7.993227276666205 + (-1.008631427867398)(sin(log(((X_1)^(-1))(X_3)))),11,0.0131621857939526,0.0087635429195071,0.0131621857939526,0.0087635429195071,0.9069816513468169,0.9449171403963884
2,7.004134828842203 + (-0.7932657618431325)(log(((X_1)^(-1))(((X_2)^(-1))(X_3)))),13,0.0109282041571809,0.0053286504562437,0.0109282041571809,0.0053286504562437,0.922769400131636,0.966507004341287
3,7.995041146761454 + (sin(2.918592330187961))((log(X_1) - (2.918592330187961 + sqrt(2.918592330187961)))(log(((X_1)^(-1))(X_3)))),14,0.0131415104009145,0.0088165901758981,0.0131415104009145,0.0088165901758981,0.9071277662055696,0.9445837142235514
4,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
5,7.989348393765859 + ((-0.05512650164520084)(X_3) - ((1.001436812592122)^(X_0)))(log(((X_1)^(-1))(X_3))),18,0.0119058528817175,0.0090673906430219,0.0119058528817175,0.0090673906430219,0.9158602688260232,0.9430073190320188
6,7.992306100618413 + (sin(29.265085862155466))((1.3366473410199136 + ((sin(29.265085862155466))((7.992306100618413)^(-1)))((X_1)^(X_1)))(log(((X_1)^(-1))(X_3)))),17,0.0129058931639393,0.0102205108074424,0.0129058931639393,0.0102205108074424,0.908792894372027,0.935759433478622
7,7.004134828842193 + (-0.7932657618431381)(log(((X_1)^(-1))(((X_2)^(-1))(X_3)))),13,0.0109282041571809,0.0053286504562436,0.0109282041571809,0.0053286504562436,0.922769400131636,0.966507004341288
8,7.004134828842199 + (-0.7932657618431342)(log(((X_1)^(-1))(((X_2)^(-1))(X_3)))),13,0.0109282041571809,0.0053286504562437,0.0109282041571809,0.0053286504562437,0.922769400131636,0.9665070043412872
9,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
10,7.019181489865338 + (-0.5421426926115663)(log(0.11271554255435803 + ((X_1)^(-1))(((X_2)^(-1))(X_3)))),15,0.0087415593064055,0.0064137104687893,0.0087415593064055,0.0064137104687893,0.9382226156001156,0.959686907848178
11,8.63026387733354 + (-0.9167657147694328)(log((2)(((X_1)^(-1))(X_3)))),11,0.013391362457831,0.0083378279706323,0.013391362457831,0.0083378279706323,0.9053620392886425,0.9475929527904636
12,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
13,8.011561661029178 + sin(-3.1195783069196046 + log(((X_1)^(-1))(X_3))),11,0.0131623127250792,0.0091489967105589,0.0131623127250792,0.0091489967105589,0.9069807543131494,0.9424943877207638
14,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
15,7.990492735754176 + (sin((3.043947484934464)^(sqrt(3.043947484934464))))((X_1 - (3.043947484934464))(log(((X_1)^(-1))(X_3)))),13,0.0146553993906671,0.0177961533437507,0.0146553993906671,0.0177961533437507,0.8964289768042134,0.8881430689480441
16,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
17,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
18,7.994810306907094 + (-0.9167657147694319)(log(((X_1)^(-1))(X_3))),10,0.013391362457831,0.0083378279706325,0.013391362457831,0.0083378279706325,0.9053620392886425,0.9475929527904624
19,7.993227276666192 + (-1.0086314278673978)(sin(log(((X_1)^(-1))(X_3)))),11,0.0131621857939526,0.008763542919507,0.0131621857939526,0.008763542919507,0.9069816513468169,0.944917140396389
