Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,2.083702355958793 + X_0 + (-0.798237800666717)(X_0) + (-0.8317752785318195)(sqrt(1 + ((-1)(sin(1)))(X_0))),16,0.0194709720823292,0.025982239664975,0.0194709720823292,0.025982239664975,0.6354508146489728,0.6521955477406
1,0.9598946691416819 + sqrt(sin(X_0)),6,0.0325472858799937,0.0418242969266769,0.0325472858799937,0.0418242969266769,0.3906269033323325,0.4401299937461983
2,1.805949999999998,1,0.0534110975,0.0750182975617283,0.0534110975,0.0750182975617283,-2.220446049250313e-16,-0.0042128095701496
3,-1 + (3.2989393850060584)((exp(3.2989393850060584))^(-1)) - (-2.0012095087265775) + (X_0)(X_0) + (X_0)(-7.871641311178182 + (X_0 - (exp(3.2989393850060584)))((-2.0012095087265775 - (X_0))^(-1))) + sin(1 + -2.0012095087265775 - (X_0)),26,0.0052932849282061,0.0057924212707722,0.0052932849282061,0.0057924212707722,0.9008954098311468,0.9224612684158856
4,-0.29896682292563864 + (X_0)(-6.038033596369052 + (-51.77310773193361 + X_0)((-3.9191796946300768 - (X_0))^(-1))) + (-2.7443478117754916)(sin(1 + -3.9191796946300768 - (X_0))),23,0.0037947231321476,0.0040713794401315,0.0037947231321476,0.0040713794401315,0.928952534028201,0.9454995445206364
5,0.5135353952140382 + X_0 + (X_0)(-2.45153786030401 + (-6.067222153831625)((-0.5495143106390817 - (X_0))^(-1))) + sin(-0.5495143106390817 - (X_0)),22,0.0123604413890588,0.0136531597834132,0.0123604413890588,0.0136531597834132,0.7685791536289097,0.8172355493094224
6,-1 - (-1.7354508646887183) + sin(1 + -1.7354508646887183 - (X_0)) + (X_0)((exp(X_0))^(-1)) + (-0.4663078169748504)(-4.152206980754397 + ((-1.7354508646887183 - (X_0))^(-1))(X_0 - (exp(X_0)))),29,0.0699651390391754,0.0875183285960978,0.0699651390391754,0.0875183285960978,-0.3099363674220594,-0.1715412040116442
7,(X_0)(-0.4498995069803721 + (-9.386652037802868)((-1.3050812281381026 - (X_0))^(-1))) + sin(0.3599616154255519 - (X_0)) - (X_0),23,0.0052491845594776,0.0058151474727703,0.0052491845594776,0.0058151474727703,0.9017210878417602,0.9221570500598162
8,((-1.3440328748870902)^(X_0))(0.8890799508125538 + X_0),7,inf,inf,inf,inf,-inf,-inf
9,exp(-0.16932062849309923) + (1.2770363870678645)(((sqrt(0.20240479592843122))^(((0.20240479592843122)^(-1))(-0.16932062849309923) + X_0))(X_0)),10,0.0164680381340516,0.0186726906450625,0.0164680381340516,0.0186726906450625,0.6916738486032493,0.7500429129375661
10,(-2)(X_0) + (X_0)(1.594892862164175 + (-7.128754352525793 + X_0)((-0.9030359223835029 - (X_0))^(-1))) + sin(1 + -0.9030359223835029 - (X_0)),25,0.0062490225989377,0.007025356229989,0.0062490225989377,0.007025356229989,0.8830014193410322,0.9059569072179574
11,-1 + (0.8401921015659086)((exp(0.8401921015659086))^(-1)) - (-2.8332872021754514) + (X_0)(-0.4800177105409954 + (X_0 - (exp(0.8401921015659086)))((-2.8332872021754514 - (X_0))^(-1))) + sin(1 + -2.8332872021754514 - (X_0)),23,0.0739986811340517,0.0773665192499172,0.0739986811340517,0.0773665192499172,-0.3854551693878172,-0.0356466647179467
12,(X_0)(2.9020761239951627 + (-2.417941463491625 + X_0)((2.41871965825223 - (X_0))^(-1))) - (X_0),19,0.6229439811979431,0.6571564690683961,0.6229439811979431,0.6571564690683961,-10.663193799714437,-7.796853108901306
13,(-2.038826121365356 + ((-3.3494345998067008)^(1 - (X_0)))^(X_0))(X_0) + (-2.2167851134005137)(((-3.3494345998067008)^((-1)(1 - (X_0))))(4.274882960362978 - (X_0))) + sin(4.274882960362978 - (X_0)) - (X_0),35,inf,inf,inf,inf,-inf,-inf
14,(X_0)(0.05918352291822148 + (-18.84983672424245 + X_0)((-5.923258310728833 - (X_0))^(-1))) + sin(sin(1 + -5.923258310728833 - (X_0))) - (X_0),26,0.0086373730802217,0.0105903904435741,0.0086373730802217,0.0105903904435741,0.8382850477801602,0.8582345096136641
15,-1 + (0.8401921015659086)((exp(0.8401921015659086))^(-1)) - (-2.8332872021754514) + (X_0)(-0.4800177105409954 + (X_0 - (exp(0.8401921015659086)))((-2.8332872021754514 - (X_0))^(-1))) + sin(1 + -2.8332872021754514 - (X_0)),23,0.0739986811340517,0.0773665192499172,0.0739986811340517,0.0773665192499172,-0.3854551693878172,-0.0356466647179467
16,0.4467792529885381 + X_0 + (X_0)(0.4590597372706166 + (-1.6091475917817541 + X_0)((1.61042411753566 - (X_0))^(-1))) + sin(1 + 1.61042411753566 - (X_0)),24,0.0329675783002298,0.0365258765410523,0.0329675783002298,0.0365258765410523,0.3827578940831571,0.5110559117511175
17,log(log((-0.3537994938162615)((-0.872513731752023 + X_0)^(-1)))),9,5.470281614679317,4.867363922844732,5.470281614679317,4.867363922844732,-101.41844617926672,-64.15569346449567
18,3.7800545875302203 + (X_0)(X_0 + (((-15257.67050329378)^(-1))((-3.940318328339587)^(-1)))(-199160.30145641288 + X_0)) + (2)(sin(-3.940318328339587 + sin(((-15257.67050329378)^(-1))(-199160.30145641288 + X_0)))) - (sin(((-15257.67050329378)^(-1))(-199160.30145641288 + X_0))),26,0.7214621929829613,0.8099163545627119,0.7214621929829613,0.8099163545627119,-12.507720806204391,-9.84173334196224
19,-1 + (0.8401921015659086)((exp(0.8401921015659086))^(-1)) - (-2.8332872021754514) + (X_0)(-0.4800177105409954 + (X_0 - (exp(0.8401921015659086)))((-2.8332872021754514 - (X_0))^(-1))) + sin(1 + -2.8332872021754514 - (X_0)),23,0.0739986811340517,0.0773665192499172,0.0739986811340517,0.0773665192499172,-0.3854551693878172,-0.0356466647179467
20,-8.21322164282999 + log(-22451.817761777973 - (exp((-85513.15518465197)((X_0)^(1 - ((X_0)(X_0))))))),19,0.0534117347029785,0.0750174963553674,0.0534117347029785,0.0750174963553674,-1.1930160740858398e-05,-0.0042020844308592
21,2.7139711597077056 + ((-4.735158325942766)^((-1)(X_0)))(X_0),9,inf,inf,inf,inf,-inf,-inf
22,-1 + (0.8401921015659086)((exp(0.8401921015659086))^(-1)) - (-2.8332872021754514) + (X_0)(-0.4800177105409954 + (X_0 - (exp(0.8401921015659086)))((-2.8332872021754514 - (X_0))^(-1))) + sin(1 + -2.8332872021754514 - (X_0)),23,0.0739986811340517,0.0773665192499172,0.0739986811340517,0.0773665192499172,-0.3854551693878172,-0.0356466647179467
