Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(78.8128808176321)(-120.2560302640967 + X_0 + (0.6239267421057781)(X_15)) + X_18 + (53.09238685787757 + (-1.1398030961912855 + (21.438616134833538 + X_5)(-0.0019458945106737788 - (((X_0)^(-1))((-6.544668521937029)((X_2)^(-1)) + (-0.02035204407554411)((X_10)((X_11)^(-1)))))))(-120.2560302640967 + X_11))(X_22),47,750.4191034968986,618.0990007204549,750.4191034968986,618.0990007204549,0.9080858716842356,0.9105226882950664
1,(78.8128808176321)(-120.2560302640967 + X_0 + (0.6239267421057781)(X_15)) + X_18 + (53.09238685787757 + (-1.1398030961912855 + (21.438616134833538 + X_5)(-0.0019458945106737788 - (((X_0)^(-1))((-6.544668521937029)((X_2)^(-1)) + (-0.02035204407554411)((X_10)((X_11)^(-1)))))))(-120.2560302640967 + X_11))(X_22),47,750.4191034968986,618.0990007204549,750.4191034968986,618.0990007204549,0.9080858716842356,0.9105226882950664
2,X_18 + (10233.737727351123)((-110.0746627882895 + X_0 + (0.5539836580164733)(X_15))((X_20)^(-1))) + (70.37451216846716 + (-1.2623220629740783 + (21.430924608803235 + X_5)(-0.001456462230437517 - (((X_0)^(-1))((-5.339162164008864)((X_2)^(-1)) + (-0.00010142993560294613)(X_10)))))(-110.0746627882895 + X_11))(X_22),47,735.8629712831802,603.6655787073357,735.8629712831802,603.6655787073357,0.909868761002802,0.9126121008308112
3,(78.8128808176321)(-120.2560302640967 + X_0 + (0.6239267421057781)(X_15)) + X_18 + (53.09238685787757 + (-1.1398030961912855 + (21.438616134833538 + X_5)(-0.0019458945106737788 - (((X_0)^(-1))((-6.544668521937029)((X_2)^(-1)) + (-0.02035204407554411)((X_10)((X_11)^(-1)))))))(-120.2560302640967 + X_11))(X_22),47,750.4191034968986,618.0990007204549,750.4191034968986,618.0990007204549,0.9080858716842356,0.9105226882950664
4,(77.4512202718168)(-129.33120692374638 + X_0 + (0.6878572878629443)(X_15)) + X_18 + (X_22)(50.86353596694675 + (-129.33120692374638 + X_11)(-1.728846625991926 + (114.8851546176452 + X_5)(0.00030277116875975847 - (((X_0)^(-1))(-0.08805701768511563 + (-0.4241062656557416)((X_10)(((X_11)^(-1))((X_23)^(-1))))))))),47,770.5250887861005,613.5196910698999,770.5250887861005,613.5196910698999,0.9056232156788449,0.9111855987940616
5,X_18 + (10188.818666111762)((-113.72652165813906 + X_0 + (0.5794375027404861)(X_15))((X_20)^(-1))) + (63.38956503818863 + (-1.2182624079970796 + (24.501653968824176 + X_5)(-0.0014913920199048148 - (((X_0)^(-1))((-5.429489189027713)((X_2)^(-1)) + (-0.01818088256377532)((X_10)((X_11)^(-1)))))))(-113.72652165813906 + X_11))(X_22),51,730.2540954164623,597.2572232079855,730.2540954164623,597.2572232079855,0.9105557570210516,0.9135397878548364
6,(78.8128808176321)(-120.2560302640967 + X_0 + (0.6239267421057781)(X_15)) + X_18 + (53.09238685787757 + (-1.1398030961912855 + (21.438616134833538 + X_5)(-0.0019458945106737788 - (((X_0)^(-1))((-6.544668521937029)((X_2)^(-1)) + (-0.02035204407554411)((X_10)((X_11)^(-1)))))))(-120.2560302640967 + X_11))(X_22),47,750.4191034968986,618.0990007204549,750.4191034968986,618.0990007204549,0.9080858716842356,0.9105226882950664
7,(78.8128808176321)(-120.2560302640967 + X_0 + (0.6239267421057781)(X_15)) + X_18 + (53.09238685787757 + (-1.1398030961912855 + (21.438616134833538 + X_5)(-0.0019458945106737788 - (((X_0)^(-1))((-6.544668521937029)((X_2)^(-1)) + (-0.02035204407554411)((X_10)((X_11)^(-1)))))))(-120.2560302640967 + X_11))(X_22),47,750.4191034968986,618.0990007204549,750.4191034968986,618.0990007204549,0.9080858716842356,0.9105226882950664
8,(77.4512202718168)(-129.33120692374638 + X_0 + (0.6878572878629443)(X_15)) + X_18 + (X_22)(50.86353596694675 + (-129.33120692374638 + X_11)(-1.728846625991926 + (114.8851546176452 + X_5)(0.00030277116875975847 - (((X_0)^(-1))(-0.08805701768511563 + (-0.4241062656557416)((X_10)(((X_11)^(-1))((X_23)^(-1))))))))),47,770.5250887861005,613.5196910698999,770.5250887861005,613.5196910698999,0.9056232156788449,0.9111855987940616
9,X_18 + (10188.818666111762)((-113.72652165813906 + X_0 + (0.5794375027404861)(X_15))((X_20)^(-1))) + (63.38956503818863 + (-1.2182624079970796 + (24.501653968824176 + X_5)(-0.0014913920199048148 - (((X_0)^(-1))((-5.429489189027713)((X_2)^(-1)) + (-0.01818088256377532)((X_10)((X_11)^(-1)))))))(-113.72652165813906 + X_11))(X_22),51,730.2540954164623,597.2572232079855,730.2540954164623,597.2572232079855,0.9105557570210516,0.9135397878548364
10,X_18 + (10188.818666111762)((-113.72652165813906 + X_0 + (0.5794375027404861)(X_15))((X_20)^(-1))) + (63.38956503818863 + (-1.2182624079970796 + (24.501653968824176 + X_5)(-0.0014913920199048148 - (((X_0)^(-1))((-5.429489189027713)((X_2)^(-1)) + (-0.01818088256377532)((X_10)((X_11)^(-1)))))))(-113.72652165813906 + X_11))(X_22),51,730.2540954164623,597.2572232079855,730.2540954164623,597.2572232079855,0.9105557570210516,0.9135397878548364
