Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.0936452688711028 + (-0.011944969217684372)(X_1 + sin(2.651191995551233 + (X_8)(X_8) + X_11 - ((-4.526667797255383)^(X_12))) + log(X_0) - (X_4 + X_5 + exp(X_6))),40,2.165862564572636e-05,2.371032307694172e-05,2.165862564572636e-05,2.371032307694172e-05,0.8879959211297841,0.8324263163486061
1,0.09390084046735613 + (-0.011902010172787322)(X_1 + sin(-3.7353672872108965 + (X_8)(X_8) + X_11 - ((-5.399474582442508)^(X_8 + X_13))) + log(X_0) - (X_4 + X_5 + exp(X_6))),44,2.2049818744006256e-05,2.3989106407235613e-05,2.2049818744006256e-05,2.3989106407235613e-05,0.8859729293042676,0.8304560036942255
2,0.08354362194510867 + (-0.007254510847692768)(X_14 + (0.7178133740783976)((2.217168778722311 + X_11)(X_1 + log(X_0) - (exp(X_6)))) - (X_4 + X_5 + X_8)),33,2.21432789499646e-05,2.430899364059527e-05,2.21432789499646e-05,2.430899364059527e-05,0.8854896149679561,0.8281951875141516
3,0.07643230762492463 + (-0.007145041712913407)((-1.5004848534355926)(X_4) + (1.6158134978108927 + X_11)(-0.5259848325774602 + X_1 + log(X_0) - (exp(X_6))) - (X_5 + X_8)),31,2.179012595751944e-05,2.423780190746928e-05,2.179012595751944e-05,2.423780190746928e-05,0.887315888539792,0.8286983380164343
4,0.08350240725026643 + (-0.007511427248438097)((1.4959489412783802 + X_11)(X_1 + log(X_0) - (exp(X_6 - ((X_0)(X_14))))) - (X_4 + X_5 + X_8)),35,2.205759377020673e-05,2.4187765461238385e-05,2.205759377020673e-05,2.4187765461238385e-05,0.8859327220140165,0.8290519726583802
5,0.08342455687277417 + (-0.004473208423465442)((1.6386601537879109)(X_14 + (1.5602444512279088 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5)) - (X_8 + X_10)),37,2.139574682935812e-05,2.31418403288768e-05,2.139574682935812e-05,2.31418403288768e-05,0.889355356403445,0.8364440915546365
6,0.0938486233038018 + (-0.01189626485161512)(X_1 + (sin(-3.6506409361954595 + (X_8)(X_8) + X_11 - ((-5.221400071341208)^(X_9))))^((X_11)^(X_11)) + log(X_0) - (X_4 + X_5 + exp(X_6))),48,2.2092418739385683e-05,2.4145784355156047e-05,2.2092418739385683e-05,2.4145784355156047e-05,0.8857526303194476,0.8293486758524762
7,0.08352991109810753 + (-0.007456998212720224)((1.5189539329988873 + X_11)(X_1 + log(X_0) - (exp(X_6 - (X_14)))) - (X_4 + X_5 + X_8)),33,2.2383646582066123e-05,2.416691989735708e-05,2.2383646582066123e-05,2.416691989735708e-05,0.8842465926421577,0.8291992995385769
8,0.08346766727768037 + (-0.006295293250073737)((0.34468658044514444)(X_5) + X_14 + (1.825431399836408 + X_11)(X_1 + log(X_0) - (X_5 + exp(X_6))) - (X_4 + X_8)),37,2.185811168748857e-05,2.401894855437378e-05,2.185811168748857e-05,2.401894855437378e-05,0.8869643113351224,0.8302450930917937
9,0.08287494488147262 + (-0.007930687553280536)((1.4450979964479056 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5 + X_8)),29,2.3290616765871647e-05,2.542851441683564e-05,2.3290616765871647e-05,2.542851441683564e-05,0.8795563430546944,0.8202829283774842
10,0.08352991109810755 + (-0.007456998212720227)((1.518953932997067 + X_11)(X_1 + log(X_0) - (exp(X_6 - (X_14)))) - (X_4 + X_5 + X_8)),33,2.2383646582066123e-05,2.4166919897376977e-05,2.2383646582066123e-05,2.4166919897376977e-05,0.8842465926421577,0.8291992995384362
11,0.08342455687277417 + (-0.004473208423465442)((1.6386601537879109)(X_14 + (1.5602444512279088 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5)) - (X_8 + X_10)),37,2.139574682935812e-05,2.31418403288768e-05,2.139574682935812e-05,2.31418403288768e-05,0.889355356403445,0.8364440915546365
12,0.08318785427757838 + (-0.006478806808425929)(X_14 + (1.7766196405798196 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5 + X_8 + X_10)),37,2.2121670879533324e-05,2.3645946087783583e-05,2.2121670879533324e-05,2.3645946087783583e-05,0.885601357608713,0.832881303367577
13,0.09385317055011239 + (-0.011897178817437182)(X_1 + sin(1.6298235833729837 + X_8 + X_11) + log(X_0) - (X_4 + X_5 + exp(X_6))),32,2.209444907519684e-05,2.4153985196506228e-05,2.209444907519684e-05,2.4153985196506228e-05,0.8857421307662421,0.8292907160688987
14,0.07615042038364518 + (-0.01189717881743718)(X_1 + sin(4.65336172380667 + (X_8)(X_8) + X_11 - ((X_9)^(X_9))) + log(X_0) - (X_4 + X_5 + exp(X_6))),40,2.209444907519684e-05,2.4153985196507942e-05,2.209444907519684e-05,2.4153985196507942e-05,0.8857421307662421,0.8292907160688867
15,0.08363330313844132 + (-0.0067298374118870815)(X_3 + (1.7023485170782937 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5 + X_8)),33,2.285914274626872e-05,2.618693971420105e-05,2.285914274626872e-05,2.618693971420105e-05,0.8817876411486985,0.8149227263911383
16,0.08361074403340962 + (-0.0068556377591980034)(X_14 + (1.6693102556079689 + X_11)(X_1 + log(X_0) - (exp((X_6)((exp(X_13))^(-1))))) - (X_4 + X_5 + X_8)),38,2.2361378600862244e-05,2.451418609174088e-05,2.2361378600862244e-05,2.451418609174088e-05,0.8843617479047231,0.8267449814252532
17,0.08264627488071703 + (-0.006839175043526578)(X_3 + (1.6520613446773607 + X_11)(X_1 + (-1.0770157022416962)(exp(X_6)) + log(X_0)) - (X_4 + X_5 + X_8)),33,2.2731119734342154e-05,2.589029227453488e-05,2.2731119734342154e-05,2.589029227453488e-05,0.8824496914449441,0.8170192943733333
18,0.07850209304363434 + (-0.006851734781570553)(X_14 + (1.6736567013314614 + X_11)(X_1 + log((-0.652607037841753)(X_0)) - (exp(X_6))) - (X_4 + X_5 + X_8)),35,2.179535712137784e-05,2.409403139063192e-05,2.179535712137784e-05,2.409403139063192e-05,0.8872888364221294,0.8297144420580671
19,0.08416542596081233 + (-0.006985841712863846)((1.607394343064617 + X_11)(X_1 + log(X_0) - (exp(X_6 - (X_13 + X_14)))) - (X_4 + X_5 + X_8)),37,2.1287984155508103e-05,2.171158196553928e-05,2.1287984155508103e-05,2.171158196553928e-05,0.8899126336387873,0.8465525013700541
20,0.08346766727768036 + (-0.006295293250073732)((-1.4807448193968686)(X_5) + X_14 + (1.825431399839852 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_8)),33,2.185811168748857e-05,2.401894855433076e-05,2.185811168748857e-05,2.401894855433076e-05,0.8869643113351224,0.8302450930920978
21,0.08363330313844132 + (-0.006729837411887083)(X_3 + (1.7023485170780555 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5 + X_8)),33,2.285914274626871e-05,2.618693971420345e-05,2.285914274626871e-05,2.618693971420345e-05,0.8817876411486986,0.8149227263911213
22,0.09385317069589176 + (-0.011897178817437182)(X_1 + sin(-3.65336173121058 + X_8 + X_11 - (((-1.758516185024932)^((X_9)(X_12)))^(X_4))) + log(X_0) - (X_4 + X_5 + exp(X_6))),42,2.209444907519685e-05,2.4153984970292185e-05,2.209444907519685e-05,2.4153984970292185e-05,0.8857421307662421,0.8292907176676758
23,0.0837441417151113 + (-0.005945514845697263)(X_3 + X_14 + (1.9323144919412165 + X_11)(X_1 + log(X_0) - (exp(X_6))) - (X_4 + X_5 + X_8 + X_10)),41,2.109082493567708e-05,2.33886039907266e-05,2.109082493567708e-05,2.33886039907266e-05,0.8909322106502354,0.8347000792240878
