Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.10446709762063154 + (sqrt(0.9771528576375791))^(-1 + (sqrt(0.9771528576375791))(log((X_1)(X_0 + X_5))) - ((X_0)(X_3 + X_4 + X_7))) - ((-1.0324537478664475 + (X_6)^(X_0) + (-2)(X_8) + (2)(exp(X_10)))^(X_5)),43,4.165547050786744e-05,3.0383111985020487e-05,4.165547050786744e-05,3.0383111985020487e-05,0.8167366942060943,0.8002865770033007
1,-1.212631608594521 + (-1.20010638298224)^((2.1913811899917857)(log((X_0)(X_1))) - ((X_0)((X_3 + X_4 + X_7)^(exp(1))))) - ((exp(-3.4313588754612923 + X_4))^(X_5)),31,inf,inf,inf,inf,-inf,-inf
2,0.104467097621601 + (sqrt(-0.9771528576365953))^(-1 + (sqrt(-0.9771528576365953))(log((X_1)(X_0 + X_5))) - ((X_0)(X_3 + X_4 + X_7))) + X_5 - ((1.9675462521328873 - (X_6))^(X_5)),40,4.165547050786746e-05,3.038311198519524e-05,4.165547050786746e-05,3.038311198519524e-05,0.8167366942060942,0.8002865770021521
3,0.11503871930864917 + (sqrt(0.9771053931650022))^((sqrt(0.9771053931650022))(log((X_0)(X_1))) - ((X_0)(X_3 + X_4 + X_7 + sin(X_6)))) + X_5 - ((1.9759544197489771 - (sqrt(X_4)))^(X_5)),37,4.022066624970512e-05,3.069340697824148e-05,4.022066624970512e-05,3.069340697824148e-05,0.8230491177200319,0.7982469546214508
4,0.11496931885685145 + (sqrt(-0.9771358014970151))^((sqrt(-0.9771358014970151))(log((X_0)(X_1 - (X_4)))) - ((X_0)(X_3 + X_4 + X_7 + sin(X_6)))) + X_5 - ((1.9759383210872827 - (sqrt(X_4)))^(X_5)),45,4.014282404486851e-05,3.055643381373687e-05,4.014282404486851e-05,3.055643381373687e-05,0.82339158461849,0.799147302800248
5,0.1154115020909906 + (sqrt(0.977343878279201))^((sqrt(0.977343878279201))(log((X_0)(X_1))) - ((X_0)(X_3 + X_4 + X_7))) - ((0.9767453245285246)^(X_5)),26,4.249075367930386e-05,3.178441978052301e-05,4.249075367930386e-05,3.178441978052301e-05,0.8130618646241659,0.7910755397451771
6,0.11546587419077906 + ((0.9887276195200767)^(log((X_0)(X_1)) - ((X_0)(X_3 + X_4 + X_7))))(((X_4)^(X_4))^((X_4)^(X_4))) - ((0.9767695941450731 - (X_6))^(X_5)),36,4.243886626578986e-05,3.1830301697502964e-05,4.243886626578986e-05,3.1830301697502964e-05,0.8132901433787625,0.7907739500101219
7,0.11432927008086304 + (sqrt(-0.9783678581044875))^((sqrt(-0.9783678581044875))(log((X_0)(1 + X_1))) - (X_3 + X_4 + X_7)) - ((0.977164827452087 - ((X_6)(exp((X_0)(X_1)))))^(X_5)),43,4.318721701697917e-05,3.604028341966978e-05,4.318721701697917e-05,3.604028341966978e-05,0.8099977731118031,0.7631010157530254
8,0.11503871931061013 + (sqrt(-0.977105393163638))^((sqrt(-0.977105393163638))(((X_6)^((-1)(X_6)))(log((X_0)(X_1)))) - ((X_0)(X_3 + X_4 + X_7 + sin(X_6)))) + X_5 - ((2.975954419748547 - ((X_2)^(X_2) + sqrt(X_4)))^(X_5)),53,4.022066624970504e-05,3.0693406978694213e-05,4.022066624970504e-05,3.0693406978694213e-05,0.8230491177200323,0.798246954618475
9,-1.8330402668333914 + (-0.9537038861090483)^((-0.9537038861090483)(log((X_0)(X_1))) - (X_0)) + X_5 - ((3.889580123736728 - (sqrt(X_4)))^(X_5)),28,inf,inf,inf,inf,-inf,-inf
