Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,((X_2)^(-1))((-2)(320.23759448955434) + (82.17622380470799)(-0.9800642680568158 + X_4) + ((2)(320.23759448955434) + X_4 + ((-1)(82.17622380470799))(-0.9800642680568158 + X_4) + X_5 - (((X_4)^(X_4))(X_4 + ((-1)(82.17622380470799))(-0.9800642680568158 + X_4) + X_5)))(log(log(X_4))) + ((X_1)^(5.343220387341283))(66.25894760036753 + (X_0)(X_1) - (sqrt((X_0)(-179.91581486297815 + (-3.9578100624998487)(X_0 + X_1)))))),61,705.579204148168,919.8883338792352,705.579204148168,919.8883338792352,0.995066302648818,0.9879756710145348
1,((X_2)^(-1))(28304.746837178507 + (-148320.63565455374 + (1.202937655941215)(-478.3523089695606 + X_4) + X_5 - (((X_4)^(X_4))((1.202937655941215)(-478.3523089695606 + X_4) + X_5)))(log(log(X_4))) + ((X_1)^(-35.698361024658155))(754.2081001960435 + (X_0)(X_1) + (931.3552078018984)((log(X_4))^(-1)) - (sqrt((X_0)(149.1070395035216 + (log(1.202937655941215))(X_0 + X_1)) - (X_4))))),68,10536.34925279201,4356.841409545323,10536.34925279201,4356.841409545323,0.9263255519805378,0.943049506645066
2,((X_2)^(-1))(2254.52685413236 + (35777.669694721735 + X_4 + X_5 + (462.6877064390595)(sin(-13.115786919898868 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (462.6877064390595)(sin(-13.115786919898868 + X_4)))))(log(log(X_4))) + ((X_1)^(-2.2337011599442373))(6666.194722117187 + (-32.36269451067043)(X_0) + (-25895.561713428873)((log(X_4))^(-1)) - (sqrt((X_0)(-70662.9248223327 + (463.41690922572775)(X_0)))))),68,790.1828660544755,1482.946006644674,790.1828660544755,1482.946006644674,0.9944747193649096,0.980615657363127
3,((X_2)^(-1))(-4869.871778708695 + ((2)(-0.0006028640927821802) + X_4 + X_5 + (16.554618120586337)(-19.929967312544743 + sin(46.87870952485136 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (16.554618120586337)(-19.929967312544743 + sin(46.87870952485136 + X_4)))))(log(log(X_4))) + ((X_1)^(4.245033330390757))(2389.0100110582243 + (7.475249052698406)(X_0) + ((-0.0006028640927821802)^(-1))(log(X_4)) - (sqrt((X_0)(1438.7711576518263 + (59.26102776706498)(X_0)))))),68,724.4844806365597,681.7337347641591,724.4844806365597,681.7337347641591,0.9949341092508468,0.9910887110909156
4,((X_2)^(-1))(2868779.120457391 + (-8702813.815427193 + X_5 + log(X_4) - (((X_4)^(X_4))(-1506.5316340765773 + X_5 + log(X_4))))(log(log(X_4))) + ((X_1)^(-0.01634981276298658))(7574182.378864649 + (357.6120197191126)(X_0) + (-10665107.210119804)((log(X_4))^(-1)) - (sqrt((X_0)(-1359443.104579874 + (-129347.08736538819)(X_0)))))),58,295.24836364665845,571.8637766750746,295.24836364665845,571.8637766750746,0.9979355031141784,0.9925248772787302
5,((X_2)^(-1))(-98488.76779795898 + ((X_1)^(7.4198793711723985))(-339.66382531957254 + (467.0009452452501)((log(X_4))^(-1)) - ((X_0)(0.11477391104607823 + (-0.00045088517552768396)(X_0)) + X_4)) + (655352.8361751813 + X_4 + X_5 + (4092.6687051905647)(sin(-70.21154905246792 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (4092.6687051905647)(sin(-70.21154905246792 + X_4)))))(log(log(X_4)))),66,527.5143557708558,1251.800246845418,527.5143557708558,1251.800246845418,0.9963114046382372,0.9836370813306436
6,((X_2)^(-1))(2254.52685413236 + (35777.669694721735 + X_4 + X_5 + (462.6877064390595)(sin(-13.115786919898868 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (462.6877064390595)(sin(-13.115786919898868 + X_4)))))(log(log(X_4))) + ((X_1)^(-2.2337011599442373))(6666.194722117187 + (-32.36269451067043)(X_0) + (-25895.561713428873)((log(X_4))^(-1)) - (sqrt((X_0)(-70662.9248223327 + (463.41690922572775)(X_0)))))),68,790.1828660544755,1482.946006644674,790.1828660544755,1482.946006644674,0.9944747193649096,0.980615657363127
7,((X_2)^(-1))(-10147.72247807192 + ((2)(X_2) + X_4 + X_5 - (296.70136776770573 + ((X_4)^(X_4))(X_4 + X_5 - (296.70136776770573))))(log(log(X_4))) + ((X_1)^(0.972021107793418))(-12135.25466362712 + (-4.203589447347847)(X_0) + (22172.379741488512)((log(X_4))^(-1)) - (sqrt((X_0)(-1001.7823186857432 + (6.663067719043774)(X_0)))))),60,917.3999515431162,1662.5444249061609,917.3999515431162,1662.5444249061609,0.9935851656563957,0.9782680349540696
8,((X_2)^(-1))(-1084895.905340376 + (551288.0911415631 + X_4 + X_5 + (-1260.2163744018114)(sin(-142.51140803916226 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (-1260.2163744018114)(sin(-142.51140803916226 + X_4)))))(log(X_4)) + ((X_1)^(0.014894143200259141))(485288.357959058 + (-5.565119284381499)(X_0) - (sqrt((2)((X_0)(X_4)))))),60,1031.830680468586,5657.854384475793,1031.830680468586,5657.854384475793,0.992785019363996,0.9260433033388978
9,((X_2)^(-1))(-70882.64857001133 + ((X_1)^(-12.7624233425491))(-80950239.64032927 + (-25017.27734099513)(X_0) + (104396470.43150531)((log(X_4))^(-1)) - (log(X_4))) + (549073.6938467704 + X_4 + X_5 + (4182.197874916338)(sin(-19.90961176609723 + X_4)) - (((X_4)^(X_4))(X_4 + X_5 + (4182.197874916338)(sin(-19.90961176609723 + X_4)))))(log(log(X_4)))),61,726.1612851622116,2246.033189368484,726.1612851622116,2246.033189368484,0.9949223843502292,0.9706409560958889
