Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,1.7262331046786448 + (-2.9125613980459013 + X_0 + (8.08079966071196)((X_0)(X_0)))((exp(exp(X_0)))^(-1)),17,0.001338699137014,0.0013921152702678,0.001338699137014,0.0013921152702678,0.974935936543636,0.9813648132223894
1,1.7277005682311672 + (2.5139077526919853)(((exp(exp(X_0)))^(-1))(-1.1549663319426648 + (2.5965258366202777)((X_0)(X_0)) + (X_0)(sqrt(X_0)))),21,0.0013309462387697,0.0013766202484738,0.0013309462387697,0.0013766202484738,0.9750810917381024,0.9815722332769076
2,1.7268711145933742 + (-2.6760847243957318 + (8.148940247298114)((X_0)(X_0)) + sin(-0.2474367049921267 + X_0))((exp(exp(X_0)))^(-1)),20,0.0013331720336194,0.0013788973064711,0.0013331720336194,0.0013788973064711,0.9750394188470024,0.9815417520358856
3,1.7302452697120552 + (9.571966884067912)(((0.9538140456890947)((X_0)(X_0) - (X_0)) + sin(-6.586148268552206 + X_0))((exp(exp(X_0)))^(-1))),24,0.0013234641962061,0.001365935298549,0.0013234641962061,0.001365935298549,0.9752211757826884,0.9817152645630453
4,1.7262331046786448 + (-2.9125613980459013 + X_0 + (8.08079966071196)((X_0)(X_0)))((exp(exp(X_0)))^(-1)),17,0.001338699137014,0.0013921152702678,0.001338699137014,0.0013921152702678,0.974935936543636,0.9813648132223894
5,1.7267376583829759 + (9.090944320924068)((-0.32377188053637956 + X_0 + (0.8728129451903223)((X_0)(X_0) - (X_0)))((exp(exp(X_0)))^(-1))),21,0.001336943918372,0.001377101285676,0.001336943918372,0.001377101285676,0.974968798977178,0.981565793998278
6,1.7121116661159335 + (1.8890366282139883)(((3.8572175232206485)((X_0)(X_0)) + sin(-8.010726114450996 + X_0))((exp(exp(X_0)))^(-1))),20,0.0045722823146422,0.0070481163763183,0.0045722823146422,0.0070481163763183,0.9143945260693755,0.9056522344749812
7,1.7560784017851576 + (-3.4299973013347618 + (27.76796502583604)((-0.1849937714274848 + X_0)(-0.1849937714274848 + X_0)))((exp(X_0 + exp(X_0)))^(-1)),21,0.0026500973570634,0.0026635210430651,0.0026500973570634,0.0026635210430651,0.9503830199882444,0.9643454725454838
8,1.7262331046786448 + (-2.9125613980459013 + X_0 + (8.08079966071196)((X_0)(X_0)))((exp(exp(X_0)))^(-1)),17,0.001338699137014,0.0013921152702678,0.001338699137014,0.0013921152702678,0.974935936543636,0.9813648132223894
9,1.7292583959514323 + (-3.0206171065583467 + X_0 + (8.496957983456957)((X_0)(X_0)))((exp(exp(0.02041505522293069 + X_0)))^(-1)),17,0.0013236037943893,0.0013459674299842,0.0013236037943893,0.0013459674299842,0.9752185621276682,0.9819825592104092
