Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,22.855446,1,247.7884864498559,252.35731969300844,247.7884864498559,252.35731969300844,-4.775495554554254e-10,-0.008107062760974282
1,23.185698 - x0,3,238.94693545099238,242.7449978718166,238.94693545099238,242.7449978718166,0.035681847092373875,0.030291861150815058
2,exp(3.3776155 - x0),4,155.79473567873234,148.9106795073558,155.79473567873234,148.9106795073558,0.37125918163005656,0.405137493477427
3,powabs(((29.60946; powabs(-0.6512565; x0)),5,154.78494543209496,146.10209294419562,154.78494543209496,146.10209294419562,0.3753343921516882,0.4163571242539057
4,powabs(((29.463457; powabs(sin(exp(x8)); x0)),7,151.08570077551792,148.48769941029414,151.08570077551792,148.48769941029414,0.3902634338975087,0.4068271976784936
5,powabs(((29.591698; powabs(sin(sin(exp(x8))); x0)),8,149.47041293422723,142.51210443269022,149.47041293422723,142.51210443269022,0.3967822510758401,0.4306982686997334
6,powabs(((29.591698; powabs(sin(sin(exp(x8))); sin(x0))),9,148.9893719438433,143.67832693420758,148.9893719438433,143.67832693420758,0.3987235882118212,0.42603948906948286
7,powabs(((28.156292; powabs(sin(sin(exp(x8))); x0)) - -1.454148,10,148.93518040052777,143.18351844161052,148.93518040052777,143.18351844161052,0.39894228902442885,0.4280161305107061
8,exp(1.1604518 + powabs((((((powabs(powabs(x3; x0); x8) + powabs(powabs(-0.51793075; x7); x0); 1.1604518)),16,147.57700678157957,143.40959425792036,147.57700678157957,143.40959425792036,0.4044234703297259,0.42711301176059946
9,exp(1.1604518 + powabs((((((powabs(powabs(0.27636343; x0 * x7); x8) + powabs(powabs(-0.51793075; x7); x0); 1.1604518)),18,147.52379456642322,143.3407750799075,147.52379456642322,143.3407750799075,0.40463821886765905,0.4273879278973398
10,exp(1.1604518 + powabs((((((powabs(powabs(0.27636343; x0); x8) + powabs(sin(powabs(-0.51793075; x7)); sin(x0) * x7); 1.1604518)),20,147.50547315334907,142.84013789918154,147.50547315334907,142.84013789918154,0.4047121585948247,0.4293878535519019
11,exp(1.1604518 + powabs((((((powabs(powabs(0.27636343; x0); x8) + powabs(powabs(-0.51793075; x7); sin(x0) * x7); 1.1604518)) - x3,21,147.41347615191654,142.76336256818942,147.41347615191654,142.76336256818942,0.4050834308956266,0.4296945526146164
12,exp(1.1604518 + powabs((((((powabs(powabs(sin(x3); x0); x8) + powabs(powabs(-0.51793075; x7); sin(x0) * x7); 1.1604518)) - x3,22,147.2867048034169,142.63190315038713,147.2867048034169,142.63190315038713,0.4055950420296889,0.4302197015095014
13,powabs((((((((powabs(powabs(sin(6.912442); x0); x8 * 2.3125231) + (powabs(sin(x0 + 5.047575); powabs(3.1244986; x2)) + 1.5555605); 2.7783923) - (powabs(1.7508888; x7) + powabs(0.101678096; 2.3125231)),29,146.9275787003773,141.60873314771624,146.9275787003773,141.60873314771624,0.4070443672520042,0.4343070206621714
14,powabs(((((((((powabs(powabs(sin(powabs(x0 + 1.5254328; 1.4772751)); x7); powabs(x8; 5.756738) * 2.3125231) + (powabs(sin(x0 + 5.047575); powabs(3.1244986; x2)) + 1.5555605); 2.7783923) - powabs(1.7508888; x7),31,146.57705649955776,141.5048199230433,146.57705649955776,141.5048199230433,0.40845896970593165,0.43472212911170827
15,powabs(((((((((powabs(powabs(sin(powabs(x0 + 1.5254328; 1.4772751)); x7); powabs(x8; 5.756738) * 2.3125231) + (powabs(sin(x0 + 5.047575); powabs(3.1281705; x2)) + 1.5555605); 2.7783923) - (powabs(1.7508888; x7) + 0.101678096),33,146.57575980769698,141.28920188534013,146.57575980769698,141.28920188534013,0.40846420276530404,0.43558347154049804
16,powabs((((((((((powabs(powabs(sin(powabs(x0 + 1.5254328; 1.4772751)); x7); powabs(x8; 5.756738) * 2.3125231) + (powabs(sin(x0 + 5.047575); powabs(3.1244986; x2)) + 1.5555605); 2.7783923) - (powabs(1.7508888; x7) + powabs(0.101678096; x7)),35,146.56931539475613,141.39995921483265,146.56931539475613,141.39995921483265,0.408490210482758,0.4351410225310942
17,powabs((((((((((powabs(powabs(sin(powabs(x0 + 1.5254328; 1.4772751)); x7); powabs(x8; 5.756738) * 2.3125231) + (powabs(sin(x0 + 5.047575); powabs(3.1244986; x2)) + 1.5555605); 2.7783923) - (powabs(1.7508888; x7) + powabs(0.101678096; exp(x8))),36,146.56691445139563,141.30478508038826,146.56691445139563,141.30478508038826,0.4084998999699333,0.43552122040782815
18,powabs((((((((((powabs(powabs(sin(x8 + powabs(1.5254328; x8)); x7); x8 * (powabs(0.64831674; powabs(149.74352; x2)) + sin(x0))) + (powabs(sin(x0 + 5.047575); powabs(3.1244986; x2)) + 1.5555605); 2.7783923) - (powabs(1.7508888; x7) + -2.3183075e-6),38,146.1663105615381,141.7819521910243,146.1663105615381,141.7819521910243,0.41011661709746583,0.4336150520631389
