Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,x3,1,0.771151591249342,0.8757034952581019,0.771151591249342,0.8757034952581019,0.21389797651218656,0.1504859619500477
1,sin(x3),2,0.6430160350364909,0.7323813385617326,0.6430160350364909,0.7323813385617326,0.3445177160843632,0.2895218168215362
2,x3 * 0.6022087,3,0.608461138649484,0.7129037459390468,0.608461138649484,0.7129037459390468,0.37974253346071063,0.3084168976907897
3,(x1 + x3) * 0.48680243,5,0.4840374790466264,0.617487230985639,0.4840374790466264,0.617487230985639,0.5065784133233249,0.4009798135106386
4,sin(x1 + x0) + x3,6,0.4609076490983963,0.5009944186831519,0.4609076490983963,0.5009944186831519,0.5301566647742171,0.5139887028421961
5,sin(x1 + x0) + sin(x3),7,0.32507181758690756,0.3535944157625589,0.32507181758690756,0.3535944157625589,0.6686259660439396,0.656980448755853
6,(x3 + sin(x1 + x0)) * 0.60215706,8,0.29688502081354573,0.37006147319139376,0.29688502081354573,0.37006147319139376,0.6973592244987161,0.6410058677168143
7,sin(sin(x1 + x0)) + sin(sin(x3)),9,0.29428516381334746,0.3242279661475412,0.29428516381334746,0.3242279661475412,0.7000094853188017,0.6854686429114459
8,(x3 + sin((x0 + 0.15171155) + x1)) * 0.60215706,10,0.2877291084868407,0.375136632443373,0.2877291084868407,0.375136632443373,0.7066926438789954,0.6360824900516096
9,(((x1 + x3) + x3) + (x4 + x0)) * 0.31483176,11,0.2707244331602445,0.2639170651274544,0.2707244331602445,0.2639170651274544,0.7240269914115396,0.743975840086563
10,(((-0.06716751 + sin(sin(x4))) + x3) + sin(x1 + x0)) * 0.60215706,14,0.25058208857446684,0.2673689094974093,0.25058208857446684,0.2673689094974093,0.744559838670554,0.7406272292093434
11,((((x1 * 0.1616924) + sin(sin(x4))) + x3) + sin(x1 + x0)) * 0.60215706,16,0.23461480117245898,0.25003921619552383,0.23461480117245898,0.25003921619552383,0.7608366862823115,0.7574386474745097
12,(((x0 + (x4 + sin(x3))) + ((x3 + sin(x0 + x1)) + x3)) + x1) * 0.23189496,19,0.23409517470047822,0.23921467707613217,0.23409517470047822,0.23921467707613217,0.7613663868310975,0.7679394596639526
13,(((((sin((0.69568485 + x1) + x0) + x1) + x3) + 0.049467452) + x3) + (x4 + x0)) * 0.31483176,20,0.2299127750544806,0.23270893748196492,0.2299127750544806,0.23270893748196492,0.765629871290005,0.7742506336435809
14,(((x1 + ((sin(x3) + sin((0.30789477 + x1) + x0)) + x3)) + x0) + (x4 + x3)) * 0.23189496,21,0.2283282665328636,0.2443563033585703,0.2283282665328636,0.2443563033585703,0.7672450989173758,0.7629516027820403
15,(((x1 + ((sin(sin(x3)) + sin((0.30789477 + x1) + x0)) + x3)) + x0) + (x4 + x3)) * 0.23189496,22,0.22702896478377269,0.24369620589953495,0.22702896478377269,0.24369620589953495,0.768569590425494,0.7635919588625724
16,((x3 + (sin(x1 + x0) + x4)) + ((x1 + x0) + (sin((x0 + 0.4217477) + x1) + x3))) * 0.23189496,23,0.21970148835610614,0.23161258433148094,0.21970148835610614,0.23161258433148094,0.7760391257441153,0.775314198419832
17,((((x0 + (x4 + sin(x1 + x0))) + (x1 + sin(x3))) + x3) + (sin(x1 + x0) + x3)) * 0.23189496,24,0.21758854468376876,0.20657110903485992,0.21758854468376876,0.20657110903485992,0.7781930333741951,0.7996067642405161
18,((((x3 + sin(x0)) + (sin(x0 + x1) + (x4 + x3))) + sin(x3)) + (x1 + sin(x0 + x1))) * 0.23189496,25,0.21188917622141956,0.21856443790089605,0.21188917622141956,0.21856443790089605,0.7840028963527527,0.7879721170228018
19,(((x0 + (x4 + sin((x0 + 0.4217477) + x1))) + ((x1 + sin(x3)) + x3)) + (sin(x1 + x0) + x3)) * 0.23189496,26,0.20860054888767932,0.20962035399838921,0.20860054888767932,0.20962035399838921,0.7873552808007472,0.7966487123245446
20,(((x3 + ((sin((0.30789477 + x1) + x0) + sin(x3)) + x4)) + sin(x0)) + ((sin(x1 + x0) + x1) + x3)) * 0.23189496,27,0.2047728340947501,0.22084675080580385,0.2047728340947501,0.22084675080580385,0.7912572040778308,0.7857580607098597
21,(((x3 + ((sin((0.30789477 + x1) + x0) + sin(x3)) + x4)) + sin(x0)) + ((sin((0.30789477 + x1) + x0) + x1) + x3)) * 0.23189496,29,0.2027502737615297,0.22857945104293176,0.2027502737615297,0.22857945104293176,0.7933189760933627,0.7782566205088745
22,(((x3 + ((sin((0.30789477 + x1) + x0) + sin(x3 + -0.22474921)) + x4)) + sin(x0)) + ((sin((0.30789477 + x1) + x0) + x1) + x3)) * 0.23189496,31,0.2004847019108935,0.22561906615261723,0.2004847019108935,0.22561906615261723,0.7956284709272602,0.7811284698688132
23,(((x3 + ((sin(0.30789477 + (x1 + x0)) + sin(x3)) + x4)) + sin(x0)) + (x1 + (sin(x1 + x0) + (sin(x1 + 1.9795026) + x3)))) * 0.23189496,32,0.1972436505732949,0.22406748860798784,0.1972436505732949,0.22406748860798784,0.7989323570160983,0.7826336447509773
24,(((x3 + x4) + ((x4 + (x3 + sin(x0 + x1))) + x1)) + (x0 + ((x3 + (sin((x0 + 0.23189496) + x1) + x3)) + sin(x1 + (x1 + powabs((x0; sin(x1))))))) * 0.15171155,39,0.19641221979121376,0.22705717274336057,0.19641221979121376,0.22705717274336057,0.7997799068721846,0.7797333723915689
