Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"2.9721744",1,0.11348828855994508,0.1423580402091628,0.11348828855994508,0.1423580402091628,-2.1354310764110096e-08,-0.016622178105313523
1,"x48 * 0.008491677",3,0.09777852478109084,0.13598834651420644,0.09777852478109084,0.13598834651420644,0.13842628072202612,0.02886574704816458
2,"-15.212997 - (x48 * -0.0519136)",5,0.061171226529082884,0.1509380748259733,0.061171226529082884,0.1509380748259733,0.46099083340179803,-0.07789482183899321
3,"((x48 - 14.458704) * 1.0519027) - x48",7,0.06117122982314243,0.15092134335884272,0.06117122982314243,0.15092134335884272,0.4609908043762514,-0.07777533732984865
4,"(sqrtabs(x34) - (x48 - 282.29437)) * -0.05504047",8,0.056104905834711644,0.11824028931166941,0.056104905834711644,0.11824028931166941,0.5056326274304653,0.15561003591214928
5,"(sqrtabs(x34 + x34) - (x48 - 275.65515)) * -0.05338463",10,0.05558718217744566,0.1096614836632598,0.05558718217744566,0.1096614836632598,0.5101945401607657,0.21687390320769673
6,"(sqrtabs((x4 - x34) - x34) - (x48 - 280.41205)) * -0.058006436",12,0.05383052208838522,0.10704891944214513,0.05383052208838522,0.10704891944214513,0.5256733190626506,0.23553102102841983
7,"((sqrtabs(x34) - (x48 - 288.96445)) - sqrtabs(x34 - 288.96445)) * -0.05208867",13,0.052882825729896346,0.09095276856971486,0.052882825729896346,0.09095276856971486,0.5340239285462511,0.3504785430299806
8,"((x41 * x36) / x34) * (((x46 - x37) + (-264.10754 - x36)) / x29)",15,0.052578044165744665,0.05760695635189119,0.052578044165744665,0.05760695635189119,0.536709505838212,0.5886111570907403
9,"(sqrtabs(x34 - (x29 - (x48 - (x4 - x34)))) - (x48 - 277.97113)) * -0.055530787",16,0.05216241545335275,0.1068176298773876,0.05216241545335275,0.1068176298773876,0.5403718107909194,0.23718273034354775
10,"(sqrtabs((x34 - (x4 - (x48 - (x29 - x34)))) - -0.055530787) - (x48 - 277.97113)) * -0.055530787",18,0.05216238067032092,0.10682887744584578,0.05216238067032092,0.10682887744584578,0.5403721172809812,0.23710240802717186
11,"(((2.9723032 - x36) + ((x46 - x37) + -269.06097)) / x29) * (((x41 + x37) / x34) * x36)",19,0.05152559636752267,0.05774187689697984,0.05152559636752267,0.05774187689697984,0.5459831307562615,0.587647648333401
12,"(sqrtabs((x4 - (x48 - (x29 - x34))) - (x48 - (x29 - x34))) - (x48 - 277.97113)) * -0.055530787",20,0.05122987660816724,0.10872711592129214,0.05122987660816724,0.10872711592129214,0.5485888601176141,0.2235465081943545
13,"((((((x48 / (x29 + -269.1184)) - x36) + (x46 - x37)) + -269.06097) / x29) * (x41 / x34)) * x36",21,0.05029607194776764,0.060131399229492906,0.05029607194776764,0.060131399229492906,0.5568170631523891,0.5705833406571961
14,"((((277.97113 / ((x4 + x36) + 15.199561)) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((x41 / x34) * x36)",23,0.04382902855551041,0.05357992118691125,0.04382902855551041,0.05357992118691125,0.6138013001376932,0.6173694432733362
15,"((((((x41 / ((x4 + x36) + sqrtabs(x41))) - x36) + x46) - x37) + -269.06097) / x29) * ((x41 / x34) * x36)",24,0.0435557295070829,0.05311135525175756,0.0435557295070829,0.05311135525175756,0.6162094698064011,0.6207156155083712
16,"((((x34 / ((x4 + x36) + x10)) - x36) + ((x46 - x37) + -269.06097)) / x29) * (((x41 + x37) / x34) * x36)",25,0.040598512557721046,0.042857558139705945,0.040598512557721046,0.042857558139705945,0.6422669339732799,0.6939411076448732
17,"(((((x34 / ((x4 + x37) + (x34 / x37))) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((x41 + x37) / x34)) * x36",27,0.04059612968025792,0.04231111153278638,0.04059612968025792,0.04231111153278638,0.6422879306553538,0.6978434495071846
18,"(((((x34 / (x36 + (x36 + x4))) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((x41 - ((x29 / x34) - x37)) / x34)) * x36",29,0.04045055095155322,0.04091752170637041,0.04045055095155322,0.04091752170637041,0.6435706950151013,0.7077954994415249
19,"(((((x34 / (x36 + (x36 + x4))) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((x41 - (((x41 - 258.66782) / x37) - x37)) / x34)) * x36",31,0.04015307953154798,0.04092600383466551,0.04015307953154798,0.04092600383466551,0.6461918591028866,0.7077349259766916
20,"(((((x34 / (x36 + (x36 + x4))) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((x41 - (((x41 - 258.66782) / sqrtabs(x48 - 275.68192)) - x37)) / x34)) * x36",34,0.04011084553325682,0.04017837470177511,0.04011084553325682,0.04017837470177511,0.6465640032221516,0.7130739736088261
21,"((((x34 / (x36 + (x36 + x4))) - x36) + ((x46 - x37) + -269.06097)) / x29) * (((x41 - ((x34 / ((x34 + x34) + (-269.06097 + x37))) - x37)) / x34) * x36)",35,0.03959043523602447,0.042846410730030544,0.03959043523602447,0.042846410730030544,0.651149589232381,0.6940207146968373
22,"((((x34 / (x36 + (x36 + x4))) - x36) + ((x46 - x37) + -269.06097)) / x29) * ((((x41 + (x34 / -269.06097)) - ((231.4046 / ((x34 + x34) + (-269.06097 + x37))) - x37)) / x34) * x36)",39,0.039483501822877104,0.04355051950650501,0.039483501822877104,0.04355051950650501,0.6520918310864765,0.688992459201673
