Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"71.75035",1,1277.9685261194752,899.6558696577016,1277.9685261194752,899.6558696577016,-6.675993091675991e-12,-0.006390574114240044
1,"24037.08 / x0",3,197.50709794114687,161.49140019330008,197.50709794114687,161.49140019330008,0.8454522987806345,0.8193493440809938
2,"(35186.32 / x0) + -38.396523",5,63.34224889657901,49.3677291659255,63.34224889657901,49.3677291659255,0.950435204308717,0.9447753091224588
3,"(4064.5496 / sqrtabs(x0)) + -152.96439",6,58.89781182730089,46.840536353447554,58.89781182730089,46.840536353447554,0.9539129402454566,0.9476023267757919
4,"(60800.47 / (x0 + 92.214134)) + -73.4747",7,58.53918361618475,46.60142061568275,58.53918361618475,46.60142061568275,0.9541935639101156,0.9478698110803188
5,"(sin(x0 / 339.86386) + -1.1315389) * -230.7134",8,57.68722691897368,46.58520368552641,57.68722691897368,46.58520368552641,0.9548602131114098,0.9478879519786342
6,"(sin((x0 + 135.7449) / 429.79663) + -1.0853921) * -349.66956",10,57.52952386113536,46.512105363028056,57.52952386113536,46.512105363028056,0.9549836144742887,0.9479697226480946
7,"((69981.39 / (x0 + 118.905426)) - 90.6909) + log(x1 + 0.43580976)",12,50.710615284617845,39.452375344361755,50.710615284617845,39.452375344361755,0.9603193550948097,0.9558670153643422
8,"((-844.6593 / ((-967.6744 / (-1.8600246 - x1)) + x0)) + 0.93801343) * -43.87369",13,10.378681294846151,7.1839075701800885,10.378681294846151,7.1839075701800885,0.9918787661176367,0.991963797372113
9,"((-863.201 / (x0 + 90.22515)) + 1.0469341) * ((366.5745 / (x1 + 5.1335692)) + -72.90712)",15,7.86766547812828,5.717170982836282,7.86766547812828,5.717170982836282,0.9938436156154246,0.9936045468253155
10,"(((419.80176 / (x1 + 5.9693027)) + -55.794785) * ((-1141.3167 / (x0 + 89.34764)) + 1.8526905)) + 24.8505",17,6.164731078887079,4.8757518389048675,6.164731078887079,4.8757518389048675,0.9951761479622293,0.9945457914988528
11,"(((((-1553.4562 / (x1 + 6.107674)) / x0) * -30.495234) + -37.857983) * ((-1553.4562 / (x0 + 74.24092)) + 1.6264241)) + -10.872716",21,6.0220580048995025,4.818038118824133,6.0220580048995025,4.818038118824133,0.9952877884847247,0.9946103523446664
12,"((((344.5438 / (x1 + 7.056609)) + -40.894394) * ((-1563.733 / (x0 + 89.22307)) + 2.46876)) + ((x1 + -1569.3868) * -0.0048652054)) + 15.989789",23,5.764039253296386,4.228571230235575,5.764039253296386,4.228571230235575,0.9954896860638366,0.9952697532783298
13,"((((306.43292 / (x1 + 5.9604754)) + -40.937756) * ((-1556.1846 / (x0 + 89.49285)) + 2.5115588)) + 23.614256) + sin((x1 + -1501.0526) / x0)",24,5.368464159142794,4.0446335602997125,5.368464159142794,4.0446335602997125,0.9957992203646205,0.9954755132177591
14,"((-971.829 / (x0 + 70.68675)) + 1.2052511) * ((365.28482 / (((1454.4553 / x0) + x1) / ((298.1654 / (x0 + 0.37880898)) + -0.28230155))) + -59.698803)",25,4.760160165866811,3.727696151863886,4.760160165866811,3.727696151863886,0.9962752133025117,0.9958300519154896
15,"((-1299.6324 / x0) + 1.69116) * ((-246.07803 / ((x1 * (x0 / -166.68779)) + -8.371668)) + ((-73.43715 / ((28.45133 / (-98.50849 / x0)) + 40.464813)) + -33.672634))",27,4.072338078611563,3.5434541801879447,4.072338078611563,3.5434541801879447,0.9968134285035921,0.9960361522588591
16,"(((((695.8097 / (x1 + 12.727964)) + -52.6425) * ((-1153.0505 / (x0 + 75.70321)) + 3.548737)) + 48.33049) + (-98.43588 / (((x1 + -49.81797) / 6.7576776) + 8.2733345))) + 60.920753",29,4.00954013476036,2.8549111116431702,4.00954013476036,2.8549111116431702,0.9968625673850028,0.9968063837189381
17,"((((x0 + x1) / ((x1 + 1.5651927) / -280.2473)) / ((75.560776 / ((x1 + 3.2135687) / (x1 + -7.7638497))) + (x0 / (-357.6165 / x0)))) + -116.99325) * ((-355.79245 / x0) + 0.45318162)",33,2.8063000666740994,3.4473174787173777,2.8063000666740994,3.4473174787173777,0.9978040929730765,0.9961436945685905
18,"(((((x0 + 3.1783192) + x1) / ((x1 + 1.5651927) / -280.2473)) / ((75.560776 / ((x1 + 3.2135687) / (x1 + -7.7638497))) + (x0 / (-357.6165 / x0)))) + -116.99325) * ((-355.79245 / x0) + 0.45318162)",35,2.713864123221182,3.340277305782738,2.713864123221182,3.340277305782738,0.9978764233486408,0.9962634339319695
19,"(((x0 / ((x1 + 0.97199976) / -303.05103)) / ((121.35683 / ((x1 + 16.005949) / (x1 + 1.0435138))) + ((-297.0919 / (x1 + 0.71702397)) + (x0 / (-297.0919 / x0))))) + -122.033455) * ((-331.09952 / x0) + 0.4132762)",37,2.281158561211928,3.7109833320028955,2.281158561211928,3.7109833320028955,0.9982150119391798,0.9958487475356064
20,"(((x0 / ((x1 + 1.0421878) / -272.36282)) / ((112.181175 / ((x1 + 20.827305) / (x1 + log(x0)))) + ((-323.2554 / (x1 + 0.8550516)) + (x0 / (-323.4647 / x0))))) + -115.82875) * ((-348.93564 / x0) + 0.43580976)",38,2.1225910101782617,3.37921511937726,2.1225910101782617,3.37921511937726,0.9983390897609681,0.9962198765564221
21,"((((x0 + 11.249165) / ((x1 + 0.97199976) / -303.05103)) / ((121.35683 / ((x1 + 16.005949) / (x1 + 1.0435138))) + ((-318.685 / (x1 + 0.71702397)) + (x0 / (-297.0919 / x0))))) + -122.033455) * ((-331.09952 / x0) + 0.4132762)",39,2.1143052967104925,3.3393092515815583,2.1143052967104925,3.3393092515815583,0.9983455732645117,0.9962645168356176
22,"((((x0 + ((x1 + 7.4609675) / (x0 + -348.93564))) / ((x1 + 1.0421878) / -272.36282)) / ((112.181175 / ((x1 + 20.827305) / (x1 + log(x0)))) + ((-323.2554 / (x1 + 0.8550516)) + (x0 / (-323.4647 / x0))))) + -115.82875) * ((-348.93564 / x0) + 0.43580976)",46,2.0946281078901112,3.4033704908163136,2.0946281078901112,3.4033704908163136,0.9983609705050684,0.9961928554042789
23,"((((x0 + ((x1 / 0.8550516) / ((x0 + 47.651104) + -348.93564))) / ((x1 + 1.0421878) / -272.36282)) / ((112.181175 / ((x1 + 20.827305) / (x1 + log(x0)))) + ((-323.2554 / (x1 + 0.8550516)) + (x0 / (-323.4647 / x0))))) + -115.82875) * ((-348.93564 / x0) + 0.43580976)",48,2.004174207731955,3.458521355039281,2.004174207731955,3.458521355039281,0.9984317499478403,0.996131161470209
