Id,"Expression",size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,"7.8069644",1,0.14150096216168623,0.18191440858216112,0.14150096216168623,0.18191440858216112,-2.975491186774093e-09,-0.14341493159124963
1,"x2 + 4.4206324",3,0.03944304205334999,0.03952066612624024,0.03944304205334999,0.03952066612624024,0.7212524807736447,0.7515946092045461
2,"sqrtabs(x2) * 4.246167",4,0.03478823389417953,0.0330691720596661,0.03478823389417953,0.0330691720596661,0.7541484279241805,0.7921451884812918
3,"powabs(x2, 1.1463851) + 3.7571185",5,0.031619639220477565,0.028670752739824508,0.031619639220477565,0.028670752739824508,0.7765411709467296,0.8197912576679163
4,"(4.246167 + exp(x3)) + x2",6,0.016107161067022074,0.014477840558037325,0.016107161067022074,0.014477840558037325,0.8861692467041749,0.9090001765100393
5,"(x2 + 4.183865) + powabs(2.1294594, x3)",7,0.014988292169615872,0.014183619378504039,0.014988292169615872,0.014183619378504039,0.8940763936496275,0.9108494906599781
6,"x2 + (powabs(x2, exp(x3)) + 3.1881158)",8,0.01289756831358978,0.008823948755416842,0.01289756831358978,0.008823948755416842,0.9088517268368186,0.9445374621989727
7,"(powabs(-5.5892897 + x2, x3) + 4.1831474) + x2",9,0.012419332251300314,0.011473715149871446,0.012419332251300314,0.011473715149871446,0.9122314640231,0.9278824732716953
8,"log(((exp(x2) + -23.123121) / (x3 / -217.42479)) + 1580.1736)",11,0.004821024899969668,0.004193168399538141,0.004821024899969668,0.004193168399538141,0.9659293842199755,0.9736440263524093
9,"log(((exp(x2) + -24.16305) / ((x3 + 0.1619007) / -203.02988)) + 1657.0896)",13,0.0046404398916313145,0.004878912915989583,0.0046404398916313145,0.004878912915989583,0.9672055946860877,0.9693338096660093
10,"log(x3 + (((exp(x2) + -24.150948) / ((x3 + 0.15997298) / -203.02936)) + 1657.0905))",15,0.004624457435898622,0.004849988579555124,0.004624457435898622,0.004849988579555124,0.9673185441355903,0.9695156122973858
11,"log((((sin(x2 * x2) + exp(x2)) + -23.162113) / (x3 / -217.42479)) + 1582.6761)",16,0.0038439887544646596,0.005575593401168649,0.0038439887544646596,0.005575593401168649,0.9728341863745769,0.9649548554341228
12,"((exp(x2) + -38.34195) / (x3 / -0.08516468)) + log((-345.3271 / (x3 / 14.052017)) + 854.33936)",17,0.002324961270926725,0.0033668962721201774,0.002324961270926725,0.0033668962721201774,0.9835692899728271,0.9788375230930518
13,"(((exp(x2) + -39.297943) / (x3 / -0.08400598)) + log((-72.560165 / (x3 / 72.3076)) + 703.07574)) + 0.02811725",19,0.0022644929008660106,0.0031336951326091035,0.0022644929008660106,0.0031336951326091035,0.9839966253726496,0.9803032984929186
