Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.148606*In8 - 0.230265*(0.357299 - 0.417157*In10)*(1.17679*In9 - 0.22277) - 0.230265*(-0.60278*In3 - 0.302398*In5 + 3.31081)**2 + 3.70153,29,0.37338046440141825,0.42791807993129555,0.37338046440141825,0.42791807993129555,0.41604551248643906,0.38291448234626735
1,0.143086*In8 - 0.23798*(0.256061 - 0.252114*In10)*(2.3497*In9 - 1.49718) + 4.18152 - 0.23798/((0.138687*In3 + 0.0868373)*(0.14764*In5 + 0.436339)),33,0.37404321133723345,0.4294630437455883,0.37404321133723345,0.4294630437455883,0.41500899857059836,0.3806865447109792
2,-0.115848*(1.4181 - 2.15686*In9)*(0.583978*In10 - 0.611242) - 0.115848*(0.827721*In3 + 0.411491*In5 + 0.274346*In8 - 5.23412)**2 + 4.07901,29,0.3744948630183672,0.43244391679523064,0.3744948630183672,0.43244391679523064,0.4143026305328009,0.3763879331889003
3,0.511322*(-0.27441*In10 - 0.0992144)*(-0.459902*In9 - 0.650643) + 2.00195*(0.279678*In8 - 2.20024)*exp(-0.498438*In3 - 0.234292*In5) + 3.95241,29,0.3749610482818407,0.4308642290359722,0.3749610482818407,0.4308642290359722,0.41357353246106754,0.37866594499622974
4,0.300296*(0.0450973 - 0.230016*In9)*(1.73135 - 1.75787*In10) + 0.926613*(0.503977*In5 + 0.359299*In8 - 4.04875)*exp(-0.526248*In3) + 4.23038,28,0.37552548426438487,0.4268320291334234,0.37552548426438487,0.4268320291334234,0.412690773569412,0.3844806377630021
5,0.148484*(-1.65663*In10 - 1.1278)*(-0.194117*In8 + (1.02154 - 0.190524*In5)*(-0.350581*In9 + (1.93259 - 0.378893*In3)**2 + 0.586527) - 1.20313) + 3.16258,32,0.37543371337363324,0.42399612350159105,0.37543371337363324,0.42399612350159105,0.4128343001557947,0.38857019690272676
6,0.708848*(0.292457 - 0.218535*In10)**2*(3.29829*In9 - 2.60369) + 0.708848*(2.40931 - 0.613005*In3)*(0.204657*In5 + 0.147028*In8 - 1.5543) + 4.18436,31,0.37573530071089084,0.4266871933023978,0.37573530071089084,0.4266871933023978,0.41236262770434173,0.3846895003887122
7,0.165059*(-0.419888*In10 - 0.203046*In8 + 0.0117188)*(-0.830312*In9 + (-0.655019*In3 - 0.341815*In5 + 3.42827)**2 - 2.97965) + 3.19839,27,0.3768496879126807,0.43289607970031363,0.3768496879126807,0.43289607970031363,0.4106197636036285,0.3757358850669986
8,1.1193*(0.115756*In10 + 0.144922)*(0.405133*In9 + 2.79637*(0.516*In5 + 0.264805*In8 - 3.38887)*exp(-0.739139*In3) + 1.8878) + 3.08577,28,0.37661982179961917,0.42626842966152123,0.37661982179961917,0.42626842966152123,0.4109792664728126,0.38529338461381046
9,0.218036*In10 + 0.159249*In9 - 0.0957205*(0.837959*In3 + 0.433252*In5 + 0.361291*In8 - 5.76221)**2 + 3.53707,23,0.3782360310315188,0.4351047588818383,0.3782360310315188,0.4351047588818383,0.4084515695960045,0.37255082699167497
