Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.604285*oz4 + 0.274953*oz5 - 0.733367*(-0.0308241*oz3 + (0.528695*oz1 + 0.79131)*(-0.582316*oz2 - 0.936707) + 1.56408)**2 + 0.912734,28,0.1204978131314222,0.11552263230196208,0.1204978131314222,0.11552263230196208,0.8783859565212786,0.8851245205939364
1,0.619728*oz4 + 1.19871*(0.349825*oz2 - 1.28893)*(-0.17402*oz5 + exp((-0.72873*oz1 - 0.885171)*(0.709354*oz2 + 1.09244)) - 0.521506) + 0.21298,29,0.1472485020360998,0.19054557964548122,0.1472485020360998,0.19054557964548122,0.8513874628640452,0.8105218486255947
2,-0.165114*oz2 + 0.618789*oz4 + 0.27885*oz5 - 2.11932*exp((-0.713022*oz1 - 1.19497)*(0.742498*oz2 + 1.17902)) + 0.942433,25,0.15148273414075786,0.17677190272608406,0.15148273414075786,0.17677190272608406,0.8471140069905079,0.8242183659899511
3,-0.148448*oz2 + 0.619967*oz4 + 0.285605*oz5 - 2.03328*exp((-0.560451*oz1 - 0.923095)*(0.981562*oz2 + 1.55139)) + 0.899376,25,0.1518510483071869,0.1752002809537681,0.1518510483071869,0.1752002809537681,0.8467422809492968,0.8257811836036278
4,0.278573*oz5 - 1.67592*(0.00413674 - 0.433825*oz4)*(0.0785897*oz4 + 0.866074) - 1.67592*exp((-0.559556*oz1 - 0.832913)*(1.13509*oz2 + 1.79743)) + 0.727469,31,0.15292938585713883,0.1816496698315843,0.15292938585713883,0.1816496698315843,0.8456539542296944,0.8193679239292923
5,1.41458*(0.0936918*oz5 - 1.2386)*(-0.35879*oz4 + exp((0.498948*oz1 + 0.750067)*(0.625775*oz2 + 1.01801)*(-0.387093*oz5 - 1.97196)) + 1.13721) + 2.81116,31,0.15294357425350028,0.19690144730332487,0.15294357425350028,0.19690144730332487,0.8456396343992579,0.8042015862693164
6,0.618743*oz4 + 0.275877*oz5 - 1.66773*exp((0.445501*oz2 + 0.708823)*(-1.35347*oz1 - 0.0704538*oz3 - 2.01996)) + 0.78395,25,0.15378235136286164,0.18560384355528997,0.15378235136286164,0.18560384355528997,0.8447930872861118,0.8154359013194004
7,0.60262*oz4 - 2.01683*exp((-0.845703*oz1 - 1.3549)*(0.0199529*oz4 + (0.49394*oz2 + 1.00153)*(0.438698*oz5 + 1.34858) - 0.208677)) + 0.910704,30,0.16633250488580237,0.23010273835893547,0.16633250488580237,0.23010273835893547,0.8321266755352289,0.7711862874407357
8,0.622604*oz4 + 0.266182*oz5 - 0.503344*(0.659445*oz2 - 1.60457)*(0.970386*oz2 + 1.40095)*log(1.21657*oz1 + 2.70975) - 0.674548,26,0.16779978220797964,0.21436908138211117,0.16779978220797964,0.21436908138211117,0.8306458061035157,0.7868318051372066
9,0.265617*oz5 + 1.29758*(-0.132747*oz1 - 1.13579)*(0.151843*oz2 + 1.39903)*(-0.301315*oz4 - 1.94383) + 1.29758*(0.531701*oz3 + 0.0597102)**2 - 4.35994,31,0.16926399032047298,0.28058607838281974,0.16926399032047298,0.28058607838281974,0.8291680343130812,0.7209857529506251
