Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,-0.0298482*(0.609552 - 0.20729*expb)*(1.13564 - 0.348694*expc)*(-1.23084*expd + (1.38073 - 0.0329573*T0)/(-1.65253*prel - 0.12325) + 1.96135) + 0.114652,32,3.944037815645617e-05,3.777007669402619e-05,3.944037815645617e-05,3.777007669402619e-05,0.8264819963719108,0.7517307869210115
1,0.0120898*(1.39186 - 0.503098*expb)*(0.272934*expc - 0.83623)*(-1.81551*expd + (1.79465 - 0.0440894*T0)/(-1.51477*prel - 0.0880697) + 2.66365) + 0.112028,32,3.956980938971401e-05,3.804563422279655e-05,3.956980938971401e-05,3.804563422279655e-05,0.825912563464525,0.7499194998701533
2,0.0148053*expb + 0.012425*expc + 0.0250187*expd - 0.0187502*(0.0210028*T0 - 0.885629)/(1.04684*prel + 0.0597372) + 0.074397,25,4.1368099651428224e-05,3.7657097419303604e-05,4.1368099651428224e-05,3.7657097419303604e-05,0.818000982725652,0.7524734191337241
3,0.0146462*expb + 0.0123074*expc + 0.0248874*expd - 0.0131363*(1.87801 - 0.0431721*T0)/(-1.49806*prel - 0.111858) + 0.0740013,25,4.137875566410342e-05,3.757908269020118e-05,4.137875566410342e-05,3.757908269020118e-05,0.817954101581696,0.7529862233718445
4,0.0373865*(1.02285 - 0.326342*expb)*(0.294033*expc - 1.01996)*(-0.63212*expd + 2.44356*(0.0122078*T0 - 0.634081)*exp(-1.09801*prel) + 1.14963) + 0.115372,30,4.243513958049768e-05,4.2664521875199715e-05,4.243513958049768e-05,4.2664521875199715e-05,0.8133065389363681,0.7195587565745549
5,0.0348119*(-0.649811*expb - 0.587015*expc + 2.044)*(0.346739*expd + 1.79503*(0.472874 - 0.00907221*T0)*exp(-1.09506*prel) - 0.634361) + 0.115633,28,4.243307895076797e-05,4.266069837583962e-05,4.243307895076797e-05,4.266069837583962e-05,0.813315604679995,0.7195838890937454
6,0.0546089*(-0.229581*expb + 3.59629*(0.00524064*T0 - 0.270952)*exp(-1.12276*prel) + 1.03918)*(0.226161*expc + 0.442988*expd - 1.14668) + 0.135668,28,4.288461886826613e-05,4.267875875925559e-05,4.288461886826613e-05,4.267875875925559e-05,0.8113290541268572,0.7194651750859633
7,0.00759495*(0.335325 - 0.1306*expb)*((2.21387 - 0.697956*expc)*(0.0205356*T0 + 1.23564)*(1.73319*expd - 2.96068) + (3.3749 - 2.64208*prel)**2) + 0.10865,33,4.57796886683736e-05,4.147535243556197e-05,4.57796886683736e-05,4.147535243556197e-05,0.7985921901422914,0.7273753719176512
8,0.0111871*(0.41638*expb - 0.964525)*(0.293221*expc - 0.730355)*(-0.0404973*T0 + 3.1028*expd + (1.51613*prel - 1.94553)**2 - 1.98827) + 0.10275,29,4.595450683154618e-05,4.155395502429258e-05,4.595450683154618e-05,4.155395502429258e-05,0.7978230773677815,0.7268587035770437
9,0.0220788*expd - 0.02056*log(0.018155*T0 + (0.825978 - 0.964891*expb)*(1.05235 - 1.11369*expc)*(0.909788*prel - 0.228394) + 0.129368) + 0.0843818,29,4.648641654522593e-05,4.9009994905811684e-05,4.648641654522593e-05,4.9009994905811684e-05,0.7954829397742226,0.6778488705002927
