Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,118.22511900182246,0.43543179215182637,138.51337151119242,0.5381735508813429,0.4420925711076481
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,95.73133757269618,0.4417528188696862,137.10940143729644,0.6260417069244292,0.4477475149273198
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,78.96341252941616,0.4400015858506332,137.52660610153728,0.6915427725795751,0.446067088128022
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,64.92333584143809,0.43776706027834167,136.874530675618,0.7463879595999628,0.4486935329278955
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,53.08674453280215,0.4397054102365954,137.4729560684919,0.7926256033417453,0.4462831809981167
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,43.42434182508662,0.4393651421672694,137.48627256739135,0.830370146719113,0.44622954448936825
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,35.88708162038997,0.43184815581473623,137.52018688519846,0.8598131800254678,0.44609294359918716
maxfeatlog2_maxsampl0.1,X,log2,0.1,117.83638235170345,0.43630421761107707,138.15653177792694,0.5396920849144021,0.44352985861239047
maxfeatlog2_maxsampl0.2,X,log2,0.2,96.75109027495517,0.4362504837992627,137.02239371953866,0.6220582153158805,0.4480979666676712
maxfeatlog2_maxsampl0.3,X,log2,0.3,78.94494762107692,0.4386073199821514,136.49094920901925,0.6916149026237113,0.450238531417688
maxfeatlog2_maxsampl0.4,X,log2,0.4,64.93864525075402,0.4352964489615688,137.28082695555426,0.7463281559795294,0.44705704317651107
maxfeatlog2_maxsampl0.5,X,log2,0.5,53.17786534478751,0.4389568814557019,137.27795030344694,0.7922696552877673,0.4470686298238038
maxfeatlog2_maxsampl0.6,X,log2,0.6,43.33663175782899,0.4380469110837586,137.4549600561088,0.8307127712751765,0.44635566576178554
maxfeatlog2_maxsampl0.7,X,log2,0.7,35.67330609082958,0.43456865093293284,137.82796388356235,0.8606482580068553,0.44485327213674264
maxfeat0.1_maxsampl0.1,X,0.1,0.1,126.96715349810475,0.3942478003948451,148.2688549508733,0.5040242703935929,0.40279920452466456
maxfeat0.1_maxsampl0.2,X,0.1,0.2,100.22709309742129,0.4145433112406879,142.85628456308586,0.6084797976819663,0.4246000833553799
maxfeat0.1_maxsampl0.3,X,0.1,0.3,81.9784703886072,0.4154965772262821,141.85272163250457,0.6797649585519484,0.428642257827229
maxfeat0.1_maxsampl0.4,X,0.1,0.4,67.09938898405296,0.41643180167699767,140.4763315113224,0.7378875757184984,0.43418611446203426
maxfeat0.1_maxsampl0.5,X,0.1,0.5,54.3658559301403,0.4217293410987787,140.00982302084563,0.7876289708185775,0.43606512837699996
maxfeat0.1_maxsampl0.6,X,0.1,0.6,44.92710518315459,0.42027926861187404,140.62962413676388,0.8244998556051624,0.43356867880513594
maxfeat0.1_maxsampl0.7,X,0.1,0.7,36.575126752797765,0.41877196843059894,140.32645636064973,0.8571254479849666,0.4347897851333521
maxfeat0.2_maxsampl0.1,X,0.2,0.1,126.93017272838365,0.3938743427049315,148.05833806534264,0.504168729521316,0.40364712940775316
maxfeat0.2_maxsampl0.2,X,0.2,0.2,101.34039165130073,0.4100813488292161,143.71794154358474,0.6041308850119003,0.4211294810205113
maxfeat0.2_maxsampl0.3,X,0.2,0.3,81.22319350159343,0.41933918198650055,141.59670726060526,0.6827153200806655,0.4296734385603779
maxfeat0.2_maxsampl0.4,X,0.2,0.4,67.34693804108937,0.41675793805025174,140.8519900137187,0.7369205671592425,0.43267302827456444
maxfeat0.2_maxsampl0.5,X,0.2,0.5,54.58807447036365,0.42234087839277834,140.32812370084855,0.7867609116427766,0.43478306938112343
maxfeat0.2_maxsampl0.6,X,0.2,0.6,45.079773257289844,0.4178526227741811,139.89308937918756,0.8239034835721549,0.4365353108956418
maxfeat0.2_maxsampl0.7,X,0.2,0.7,36.63029640160728,0.4196107616519451,140.6882660591557,0.8569099370747308,0.4333324794852438
maxfeat0.3_maxsampl0.1,X,0.3,0.1,122.22791975950057,0.41768307759773116,141.57906862143548,0.5225372861344285,0.4297444838877784
maxfeat0.3_maxsampl0.2,X,0.3,0.2,97.2932850049358,0.43378824761873747,138.25891208023333,0.6199402232259428,0.44311748881295665
maxfeat0.3_maxsampl0.3,X,0.3,0.3,79.20285825825354,0.435749348553121,137.4253615851012,0.6906074183025885,0.4464748831823049
maxfeat0.3_maxsampl0.4,X,0.3,0.4,64.44140723461683,0.4385805174285302,137.4761484714249,0.7482705322638443,0.4462703225621917
maxfeat0.3_maxsampl0.5,X,0.3,0.5,53.30177277771123,0.43657299494665136,137.21984841014748,0.7917856318395381,0.4473026540017645
maxfeat0.3_maxsampl0.6,X,0.3,0.6,43.434389976001825,0.4366028925107942,136.97747926218395,0.8303308953155488,0.44827887417970047
maxfeat0.3_maxsampl0.7,X,0.3,0.7,35.44703618080501,0.43590537943252006,137.64475607638855,0.8615321431741643,0.44559120086909676
maxfeat0.4_maxsampl0.1,X,0.4,0.1,119.753117535436,0.42938950967377476,138.12449332789964,0.5322046828184874,0.44365890383802764
maxfeat0.4_maxsampl0.2,X,0.4,0.2,96.72889318541806,0.43655020436182224,136.71676509176913,0.622144924495184,0.4493289848723001
maxfeat0.4_maxsampl0.3,X,0.4,0.3,78.94789768975495,0.4357441567764301,136.78033256211083,0.6916033786789377,0.44907294631405403
