Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,5471775.345960013,0.3881353501608549,3837645.9765126836,0.5036603866276044,0.540930556555719
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,3479425.5997067643,0.5323752411446441,2567064.523075798,0.6843845648393527,0.6929208975745993
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,2362896.0441459306,0.6048008362504382,2123733.534803873,0.7856639143899669,0.7459533323779097
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,1736302.0385798991,0.6479445729505765,1635312.4713601517,0.8425016693781588,0.8043795621901041
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,1508465.186795243,0.6317487095509755,1660417.5610654172,0.863168536670193,0.8013764244256645
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,1188110.2297003784,0.6562704200931113,1426807.2698915445,0.8922276345850578,0.8293215102955965
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,749149.0334622209,0.7186449792142475,1117839.9691960001,0.9320453932924204,0.8662810025574843
maxfeatlog2_maxsampl0.1,X,log2,0.1,5747409.052447091,0.3603102936053093,4269213.626371367,0.4786579114417021,0.48930528365620685
maxfeatlog2_maxsampl0.2,X,log2,0.2,3597086.540351672,0.5045755349432486,2742430.413278253,0.6737116511876904,0.671943162237087
maxfeatlog2_maxsampl0.3,X,log2,0.3,2368971.2928653876,0.5993852013152989,1994181.9073215688,0.785112834272472,0.7614506434612125
maxfeatlog2_maxsampl0.4,X,log2,0.4,1918636.1823661071,0.6112176080218714,2046292.122169696,0.8259623100825964,0.7552170806275116
maxfeatlog2_maxsampl0.5,X,log2,0.5,1322085.9048123278,0.6655005103823188,1376093.4174706328,0.8800748266603926,0.8353880365328445
maxfeatlog2_maxsampl0.6,X,log2,0.6,919373.86299253,0.7150028596476227,1335988.5533394937,0.9166044585439139,0.8401854873057324
maxfeatlog2_maxsampl0.7,X,log2,0.7,792006.9489056026,0.7051174502486888,1151082.5704395697,0.9281577919498653,0.8623044339670192
maxfeat0.1_maxsampl0.1,X,0.1,0.1,5600651.911319318,0.3766167290210153,4204063.030881798,0.49197011416961167,0.4970987715898276
maxfeat0.1_maxsampl0.2,X,0.1,0.2,3615058.155016025,0.511408856410003,2744417.9005972403,0.6720814628648513,0.6717054137050535
maxfeat0.1_maxsampl0.3,X,0.1,0.3,2736460.8258244414,0.5594738336250434,2287204.654407367,0.751778203156454,0.7263984812126693
maxfeat0.1_maxsampl0.4,X,0.1,0.4,1903808.6879268768,0.623252170914408,1764443.4714711395,0.8273072982065482,0.7889325676744132
maxfeat0.1_maxsampl0.5,X,0.1,0.5,1277458.9578337667,0.6744368227738029,1449870.3945342281,0.8841228951955316,0.8265626378361249
maxfeat0.1_maxsampl0.6,X,0.1,0.6,1042252.9524696658,0.691855108796348,1294514.9281935191,0.9054582115022358,0.8451466729205348
maxfeat0.1_maxsampl0.7,X,0.1,0.7,858035.0630314952,0.6850238089323244,1229881.6219886583,0.922168443600403,0.8528782813307487
maxfeat0.2_maxsampl0.1,X,0.2,0.1,5821035.27990622,0.34975070453228296,4454330.66454038,0.471979345352889,0.467161090000927
maxfeat0.2_maxsampl0.2,X,0.2,0.2,3732427.1765465615,0.4920858273955391,2811026.7745534433,0.6614350289224611,0.6637374826132671
maxfeat0.2_maxsampl0.3,X,0.2,0.3,2714965.2357062967,0.5484719419119033,2269545.886181899,0.7537280479899647,0.7285108701486972
maxfeat0.2_maxsampl0.4,X,0.2,0.4,1965692.9700265112,0.6213231268609292,1887580.2464605826,0.8216938329765038,0.7742026183492555
maxfeat0.2_maxsampl0.5,X,0.2,0.5,1270065.3450121386,0.6890562057825094,1361177.9065558228,0.8847935628851364,0.8371722697154402
maxfeat0.2_maxsampl0.6,X,0.2,0.6,1019580.8104227255,0.6924775060341134,1344320.1668084557,0.9075147802585191,0.8391888374892569
maxfeat0.2_maxsampl0.7,X,0.2,0.7,821572.7280036971,0.6946700586340089,1175128.8390419492,0.9254759078375292,0.859427955205881
maxfeat0.3_maxsampl0.1,X,0.3,0.1,5534640.897608075,0.3724631384681353,4011106.633869266,0.4979579113564879,0.5201807302508636
maxfeat0.3_maxsampl0.2,X,0.3,0.2,4111070.7289382713,0.4526550171794035,3097412.4784435187,0.6270886271574816,0.6294792611671387
maxfeat0.3_maxsampl0.3,X,0.3,0.3,2484051.5666056275,0.5969484555219462,1999908.9702278231,0.7746740104970784,0.7607655569271665
maxfeat0.3_maxsampl0.4,X,0.3,0.4,1773709.3352090223,0.6415125322085022,1657129.502648911,0.8391084885598137,0.8017697507398989
maxfeat0.3_maxsampl0.5,X,0.3,0.5,1395684.4799807444,0.6480701108055986,1579635.8437373163,0.8733987688849537,0.8110397488285016
maxfeat0.3_maxsampl0.6,X,0.3,0.6,1148106.2474284165,0.6640963955473418,1368024.5161996707,0.8958563583243981,0.8363532600157656
maxfeat0.3_maxsampl0.7,X,0.3,0.7,770041.1310094387,0.719240337526423,1190457.9679345067,0.930150290704413,0.8575942439380202
maxfeat0.4_maxsampl0.1,X,0.4,0.1,5975827.137952202,0.3425452632781979,4175221.0421961253,0.45793832098362963,0.5005489271734309
maxfeat0.4_maxsampl0.2,X,0.4,0.2,3935057.3584766556,0.48256761306686147,3005736.3180713677,0.6430546350287283,0.6404458078931073
maxfeat0.4_maxsampl0.3,X,0.4,0.3,2400807.445204575,0.6003561823346498,2230259.449575673,0.7822250067312767,0.7332104184390056
maxfeat0.4_maxsampl0.4,X,0.4,0.4,1732173.6326090347,0.6347342658317257,1733935.9792634177,0.8428761532145496,0.7925819552298037
maxfeat0.4_maxsampl0.5,X,0.4,0.5,1573451.5137023597,0.6207579605104103,1576108.822084177,0.8572736878629617,0.8114616605622134
maxfeat0.4_maxsampl0.6,X,0.4,0.6,996894.7955767051,0.6989558606932617,1384504.0429718986,0.9095726074034051,0.834381935086407
maxfeat0.4_maxsampl0.7,X,0.4,0.7,853321.871024631,0.6787754630730021,1220614.378123114,0.9225959728300458,0.853986853749793
maxfeat0.5_maxsampl0.1,X,0.5,0.1,5290462.734846991,0.40677258917795533,4089693.276645594,0.5201070836517834,0.5107799865183043
maxfeat0.5_maxsampl0.2,X,0.5,0.2,3783223.180789489,0.4930407656085396,2909209.3164737974,0.656827370984638,0.6519926251795234
maxfeat0.5_maxsampl0.3,X,0.5,0.3,2413987.1027374007,0.6019291605574235,2290533.683851519,0.7810294923487184,0.7260002538348732
maxfeat0.5_maxsampl0.4,X,0.5,0.4,1803115.954117893,0.6384841047789952,1789061.8096195445,0.836441041719074,0.7859876564289572
maxfeat0.5_maxsampl0.5,X,0.5,0.5,1397643.427344303,0.6684191441332523,1574749.7224712658,0.8732210746055709,0.8116242396814711
maxfeat0.5_maxsampl0.6,X,0.5,0.6,1101853.180457123,0.6660879472423289,1466309.277088228,0.9000519306800449,0.8245961748765145
maxfeat0.5_maxsampl0.7,X,0.5,0.7,808361.0531279157,0.7111487834154038,1113254.52495481,0.9266743264832598,0.8668295256230906
maxfeat0.6_maxsampl0.1,X,0.6,0.1,5740964.40632289,0.3671082223879151,4229308.893876506,0.47924249925157447,0.49407879414918243
maxfeat0.6_maxsampl0.2,X,0.6,0.2,3864783.7207153565,0.48230919480895285,3166445.3195849867,0.6494290908481668,0.6212213686579946
maxfeat0.6_maxsampl0.3,X,0.6,0.3,2343790.60187094,0.605928354988232,2122687.2854700503,0.7873969511527203,0.7460784875126777
maxfeat0.6_maxsampl0.4,X,0.6,0.4,1838343.4920974004,0.62601873590389,1821984.670511595,0.8332455847649212,0.7820493360318159
maxfeat0.6_maxsampl0.5,X,0.6,0.5,1478272.846727142,0.6405324412895939,1787299.6357965574,0.8659072555408925,0.78619845235988
maxfeat0.6_maxsampl0.6,X,0.6,0.6,1039836.3699032554,0.6929255703068009,1196546.0881956453,0.9056774174419644,0.8568659667605504
maxfeat0.6_maxsampl0.7,X,0.6,0.7,803722.4392323785,0.699429820513406,1186660.747455494,0.9270950908023202,0.8580484775756732
maxfeat0.7_maxsampl0.1,X,0.7,0.1,6041448.867926134,0.33493723170219447,4798918.897044733,0.45198583535972026,0.42594052690537765
maxfeat0.7_maxsampl0.2,X,0.7,0.2,3093598.1847648453,0.5884742859114112,2419630.391370076,0.7193826080433987,0.7105573614905181
maxfeat0.7_maxsampl0.3,X,0.7,0.3,1461375.467093224,0.7576294859728578,1465846.9932477213,0.8674400010109159,0.8246514745020331
maxfeat0.7_maxsampl0.4,X,0.7,0.4,846650.1012715583,0.8312102529012938,1103207.1993386075,0.923201162811428,0.8680314135009622
maxfeat0.7_maxsampl0.5,X,0.7,0.5,552232.5491870788,0.8652917678790861,979539.1885835947,0.9499075030268668,0.8828249106647508
maxfeat0.7_maxsampl0.6,X,0.7,0.6,334613.83120627125,0.8979430199240231,861869.9365883293,0.9696474929781975,0.896900820312117
maxfeat0.7_maxsampl0.7,X,0.7,0.7,261462.39264410094,0.9021178934149114,828661.1892843038,0.9762829914111494,0.9008733392040744
maxfeat0.8_maxsampl0.1,X,0.8,0.1,6114684.418720998,0.3246951443186815,4842081.094469975,0.4453427071849725,0.4207773497725449
maxfeat0.8_maxsampl0.2,X,0.8,0.2,2998284.018019382,0.5945846005394432,2782429.361410962,0.7280284667784955,0.6671583814183193
