Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,9.067033786439785,0.22118337320022952,6.873842306843817,0.3557695921438966,0.1973632150497734
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,7.4062761017338135,0.2142407663011201,6.516119736036874,0.4737696598361988,0.23913334612344483
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,6.056332116392062,0.2309971061265097,6.644260211231481,0.5696858089036319,0.22417078887510755
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,4.973008366676012,0.20776818481260317,6.6750854500201235,0.6466580710080848,0.22057142341803193
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,4.201224282483892,0.19094118588706743,6.910720035013445,0.7014948331782598,0.19305711958626992
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,3.55355176865041,0.18487978958693485,6.867051448761608,0.7475132265770084,0.19815616202976605
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,2.813148331101597,0.165315883691051,6.9445365861066755,0.8001203326918546,0.18910846806999182
maxfeatlog2_maxsampl0.1,X,log2,0.1,9.075635500414217,0.21881201609443168,6.894287436807242,0.35515842361485706,0.1949759020086531
maxfeatlog2_maxsampl0.2,X,log2,0.2,7.248852445227484,0.22224240426969133,6.364484088959076,0.48495491720106565,0.2568393601431722
maxfeatlog2_maxsampl0.3,X,log2,0.3,6.025236787808172,0.22846975620163945,6.639626010813245,0.5718951925552047,0.22471190977350297
maxfeatlog2_maxsampl0.4,X,log2,0.4,4.902758303041218,0.19981373000105174,6.91805661446104,0.6516494748357672,0.19220045045167444
maxfeatlog2_maxsampl0.5,X,log2,0.5,4.075750267525317,0.17564763409170747,6.798325829186924,0.7104100062917643,0.20618103485587325
maxfeatlog2_maxsampl0.6,X,log2,0.6,3.5528064579334044,0.17923177267272816,6.951551988864897,0.7475661823548851,0.18828930171969838
maxfeatlog2_maxsampl0.7,X,log2,0.7,2.8628305731069443,0.18253229196959542,7.135878126237127,0.7965903126451466,0.16676612273500735
maxfeat0.1_maxsampl0.1,X,0.1,0.1,8.81681080560802,0.23948727566756067,6.545465840054376,0.3735484222214135,0.2357066945466446
maxfeat0.1_maxsampl0.2,X,0.1,0.2,7.243669172556502,0.22791248809809117,6.9088518560114185,0.4853231988183515,0.19327526092861724
maxfeat0.1_maxsampl0.3,X,0.1,0.3,6.16922900561665,0.20828314366936374,6.655100019154166,0.5616642650664825,0.22290505885219447
maxfeat0.1_maxsampl0.4,X,0.1,0.4,4.989738085966021,0.2031668835316256,6.689108760840508,0.6454693918727276,0.2189339658493552
maxfeat0.1_maxsampl0.5,X,0.1,0.5,4.11468362459069,0.18596233348820523,6.83725651314559,0.7076437154526429,0.20163522225010744
