Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,2.0301097917361062e-05,0.8907397160347245,3.503864274637308e-05,0.910685288865512,0.7696849722475223
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,1.0435297814086769e-05,0.9313989365718868,2.7556229321929337e-05,0.9540898914107269,0.8188681631599231
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,6.265795672827811e-06,0.9496192082465755,2.4994867318805203e-05,0.9724336224166595,0.8357044363313415
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,4.28976619842081e-06,0.9581317793127623,2.3596267432265642e-05,0.9811271670918452,0.8448976740379108
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,3.1282041541556465e-06,0.9625855291613126,2.3113201761905967e-05,0.986237461070557,0.8480729478086586
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,2.3963057516694504e-06,0.965452368931829,2.202705370609973e-05,0.989457449204398,0.8552123858692897
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,1.775003085099344e-06,0.9680831657152636,2.1959896746383223e-05,0.9921908712300285,0.8556538201209769
maxfeatlog2_maxsampl0.1,X,log2,0.1,2.0106711557660436e-05,0.8922142209499058,3.264277362353767e-05,0.9115404919503806,0.7854334322410036
maxfeatlog2_maxsampl0.2,X,log2,0.2,1.0329607068709135e-05,0.9321028911419172,2.8556024402250388e-05,0.9545548780056105,0.81229633806562
maxfeatlog2_maxsampl0.3,X,log2,0.3,6.406353758276934e-06,0.9491519808478498,2.542480759953362e-05,0.9718152369061513,0.8328783648877458
maxfeatlog2_maxsampl0.4,X,log2,0.4,4.488565243895549e-06,0.9566650439597887,2.4341901508828254e-05,0.9802525503892084,0.839996492953935
maxfeatlog2_maxsampl0.5,X,log2,0.5,3.1400044026647134e-06,0.9626995554918542,2.290991788735417e-05,0.9861855458593111,0.8494091676944552
maxfeatlog2_maxsampl0.6,X,log2,0.6,2.359159818622095e-06,0.9656081858309827,2.2426678400324064e-05,0.9896208727932823,0.8525855839920857
maxfeatlog2_maxsampl0.7,X,log2,0.7,1.8623370881278164e-06,0.9674271213547628,2.214066424716332e-05,0.9918066451510027,0.8544656042342977
maxfeat0.1_maxsampl0.1,X,0.1,0.1,2.1188157542367858e-05,0.8863602311787608,2.796323714001644e-05,0.9067826686974276,0.8161928307391799
maxfeat0.1_maxsampl0.2,X,0.1,0.2,1.1282510048702426e-05,0.9263108784650981,2.4895724116531454e-05,0.9503625798972155,0.8363561216591218
maxfeat0.1_maxsampl0.3,X,0.1,0.3,6.865523294209409e-06,0.9448139920365338,2.1541919292637977e-05,0.9697951198351187,0.858401257844409
maxfeat0.1_maxsampl0.4,X,0.1,0.4,5.001657724001841e-06,0.9512172455932292,2.078729328438216e-05,0.9779951992433484,0.8633615444426155
maxfeat0.1_maxsampl0.5,X,0.1,0.5,3.627935232926629e-06,0.9562615440753593,2.063899784734892e-05,0.9840388934301739,0.8643363158669285
maxfeat0.1_maxsampl0.6,X,0.1,0.6,2.7163123495098134e-06,0.9600563434670201,2.0137508825234006e-05,0.9880495796909565,0.8676326894988071
maxfeat0.1_maxsampl0.7,X,0.1,0.7,2.130135181495143e-06,0.9625649113665846,1.9889167048012994e-05,0.99062846703232,0.8692650827318091
maxfeat0.2_maxsampl0.1,X,0.2,0.1,1.988572587066077e-05,0.8932824391411512,3.094480957622837e-05,0.9125127188161184,0.7965944420868896
maxfeat0.2_maxsampl0.2,X,0.2,0.2,1.0352498802618091e-05,0.9322361532033726,2.6147631808086696e-05,0.9544541657874945,0.8281271169910134
maxfeat0.2_maxsampl0.3,X,0.2,0.3,6.5263083722796335e-06,0.9479362053526963,2.4199633718709277e-05,0.9712874963995781,0.8409316436179237
maxfeat0.2_maxsampl0.4,X,0.2,0.4,4.456788764831241e-06,0.9560989098018564,2.2507058808045432e-05,0.9803923510571355,0.8520572297413487
maxfeat0.2_maxsampl0.5,X,0.2,0.5,3.314775623800303e-06,0.960726072128046,2.2291633893139812e-05,0.9854166396063642,0.8534732547744587
maxfeat0.2_maxsampl0.6,X,0.2,0.6,2.5336366208102425e-06,0.9635706824934064,2.1914601637538736e-05,0.9888532618369419,0.8559515526651876
maxfeat0.2_maxsampl0.7,X,0.2,0.7,1.8883354503652366e-06,0.9660496228560899,2.0811666746775864e-05,0.9916922653168352,0.8632013334804426
maxfeat0.3_maxsampl0.1,X,0.3,0.1,2.030149133407341e-05,0.8904546135938323,3.452202685153941e-05,0.9106835580280883,0.773080777416611
maxfeat0.3_maxsampl0.2,X,0.3,0.2,1.0166152620072654e-05,0.9332830020002358,2.7737577765543283e-05,0.9552739961007519,0.8176761286360361
maxfeat0.3_maxsampl0.3,X,0.3,0.3,6.250769044527061e-06,0.950016760102173,2.4626475642080143e-05,0.9724997320907014,0.8381259382103632
maxfeat0.3_maxsampl0.4,X,0.3,0.4,4.372003188785773e-06,0.9576242172409929,2.2912817843321634e-05,0.9807653653277772,0.8493901057848955
maxfeat0.3_maxsampl0.5,X,0.3,0.5,3.112993566738407e-06,0.9629594281631325,2.3154161156324517e-05,0.9863043800730112,0.8478037146614011
maxfeat0.3_maxsampl0.6,X,0.3,0.6,2.4551158855513608e-06,0.9648109472642948,2.2911497334055704e-05,0.9891987139310239,0.849398785719516
maxfeat0.3_maxsampl0.7,X,0.3,0.7,1.8772314579591493e-06,0.9666951953375916,2.232703177417571e-05,0.9917411173482981,0.8532405784116163
maxfeat0.4_maxsampl0.1,X,0.4,0.1,2.0435334321873306e-05,0.8904397551129928,3.702730399356876e-05,0.9100947155998912,0.7566131596875006
maxfeat0.4_maxsampl0.2,X,0.4,0.2,1.0307378534085109e-05,0.9324332407310902,2.9745101633188645e-05,0.9546526724774645,0.8044803288261715
maxfeat0.4_maxsampl0.3,X,0.4,0.3,6.1711279522681425e-06,0.9504494824559555,2.555501001541212e-05,0.9728501131971073,0.8320225220046877
maxfeat0.4_maxsampl0.4,X,0.4,0.4,4.225957535182506e-06,0.9589355302628113,2.4230802360157048e-05,0.981407893402718,0.840726766774605
maxfeat0.4_maxsampl0.5,X,0.4,0.5,3.0630306756655216e-06,0.9638328057995307,2.4309252045602417e-05,0.9865241918882038,0.840211103493601
maxfeat0.4_maxsampl0.6,X,0.4,0.6,2.2512552273966476e-06,0.9670272264191261,2.3243811059924453e-05,0.9900955992063372,0.8472144304192836
maxfeat0.4_maxsampl0.7,X,0.4,0.7,1.7684693193746101e-06,0.9690589451917174,2.3137895568204423e-05,0.9922196165422623,0.8479106311708792
maxfeat0.5_maxsampl0.1,X,0.5,0.1,2.1967825410339777e-05,0.8817528102249874,3.967229286743215e-05,0.9033525187275975,0.7392271927053207
maxfeat0.5_maxsampl0.2,X,0.5,0.2,1.0413350502344733e-05,0.9314841310615103,3.145494514327317e-05,0.9541864486420844,0.793241233227405
maxfeat0.5_maxsampl0.3,X,0.5,0.3,6.344839324227805e-06,0.9492231563027219,2.7794302860308543e-05,0.9720858697522203,0.8173032648276491
maxfeat0.5_maxsampl0.4,X,0.5,0.4,4.186750781084252e-06,0.9589633660764398,2.5015089291560762e-05,0.981580383576947,0.8355715138248928
maxfeat0.5_maxsampl0.5,X,0.5,0.5,2.9064973963709546e-06,0.9654039237089583,2.3657380074516328e-05,0.9872128602883091,0.8444959701249517
maxfeat0.5_maxsampl0.6,X,0.5,0.6,2.1915563799740123e-06,0.9677778243945683,2.3279756187264304e-05,0.9903582443762841,0.8469781569123225
maxfeat0.5_maxsampl0.7,X,0.5,0.7,1.6402953405340767e-06,0.9709321656471533,2.2465527197876083e-05,0.9927835181569288,0.8523302241611953
maxfeat0.6_maxsampl0.1,X,0.6,0.1,2.1339575793647686e-05,0.8853774857364222,3.970980189710499e-05,0.9061165038708454,0.7389806393992294
maxfeat0.6_maxsampl0.2,X,0.6,0.2,1.0540240653408987e-05,0.9309464831181777,3.168989493200658e-05,0.9536281952296705,0.7916968678390461
maxfeat0.6_maxsampl0.3,X,0.6,0.3,6.208368149253936e-06,0.9503328706664022,2.684499513511852e-05,0.9726862748938827,0.8235432278494877
maxfeat0.6_maxsampl0.4,X,0.6,0.4,4.2075101387809086e-06,0.9588828382824338,2.4919651998726106e-05,0.9814890527512171,0.8361988395722667
maxfeat0.6_maxsampl0.5,X,0.6,0.5,3.0083854548719737e-06,0.9643959109345807,2.408858231244694e-05,0.9867646036201173,0.8416616036195255
maxfeat0.6_maxsampl0.6,X,0.6,0.6,2.24649669312867e-06,0.9673439297574853,2.269892915004894e-05,0.9901165343850796,0.8507960329688797
maxfeat0.6_maxsampl0.7,X,0.6,0.7,1.6415835957305013e-06,0.9706563470706545,2.237015672582067e-05,0.9927778504762346,0.8529571106840896
maxfeat0.7_maxsampl0.1,X,0.7,0.1,2.1668406799132808e-05,0.883393217221642,4.051200053343673e-05,0.9046698113625624,0.7337076497310189
maxfeat0.7_maxsampl0.2,X,0.7,0.2,1.0411254414454563e-05,0.9319603691395395,3.0415452330153086e-05,0.9541956703839422,0.8000739983500506
