Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeatsqrt_maxsampl0.1,X,sqrt,0.1,0.0004988845687306051,0.9957158354606747,0.006479331010797681,0.9964743379649604,0.9592744528473003
maxfeatsqrt_maxsampl0.2,X,sqrt,0.2,0.00023657507178927173,0.9975286843477901,0.006373012518445373,0.9983281027289208,0.9599427130066103
maxfeatsqrt_maxsampl0.3,X,sqrt,0.3,0.0001577635433733425,0.9979789241788188,0.00589371232691153,0.9988850708756136,0.9629553330623043
maxfeatsqrt_maxsampl0.4,X,sqrt,0.4,0.00010895461046438296,0.9983072512584897,0.005736791228715611,0.999230007986348,0.963941653652066
maxfeatsqrt_maxsampl0.5,X,sqrt,0.5,8.23989621288894e-05,0.9984249249975221,0.00539093718254214,0.9994176791371926,0.9661155038909127
maxfeatsqrt_maxsampl0.6,X,sqrt,0.6,6.298509425563014e-05,0.9985503563148527,0.005523370241682951,0.9995548786843508,0.965283101782481
maxfeatsqrt_maxsampl0.7,X,sqrt,0.7,5.179039519061469e-05,0.9985448145906882,0.0051817609073163216,0.9996339926276576,0.9674302720738839
maxfeatlog2_maxsampl0.1,X,log2,0.1,0.0004636808760620207,0.9959963235674653,0.006470624749800104,0.9967231256214931,0.959329175663929
maxfeatlog2_maxsampl0.2,X,log2,0.2,0.00024682026734196706,0.997393072490324,0.006220257934585123,0.9982556990121781,0.9609028451556584
maxfeatlog2_maxsampl0.3,X,log2,0.3,0.00014824953865395316,0.9980964424410071,0.005949983721064526,0.998952307201094,0.9626016417148323
maxfeatlog2_maxsampl0.4,X,log2,0.4,0.0001111831715182438,0.9982631493405243,0.005734854443627214,0.9992142585453092,0.9639538272286761
maxfeatlog2_maxsampl0.5,X,log2,0.5,8.201897561242094e-05,0.9984008092862525,0.005539043882373576,0.9994203645360181,0.9651845858103942
maxfeatlog2_maxsampl0.6,X,log2,0.6,6.369240676330752e-05,0.9985029654461101,0.005354565407299335,0.9995498800433594,0.9663441170679845
