id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,x3,"x[:, 3]",,1,0.9007429194978585,0.8427433187425174,0.9659013188630099,0.8427433187425174,1.2808098669823798e-2,0.1585028221974485,9.668063821866535e-2,0.9007429194978585,0.8427433187425174,0.9659013188630099
1,0,(0.5070746790616054 * x3),"(t[0] * x[:, 3])",0.5070746790616054,3,0.6712696776681436,0.6745321476879886,0.7538051179405855,0.6745321476879886,0.26430508077495385,0.32646526410497745,0.29503486044813376,3.9671065436724726,3.9703690136923178,4.049641983944914
2,0,Sin((x3 + x0)),"np.sin((x[:, 3] + x[:, 0]))",,4,0.5618220923937114,0.6686608126883321,0.7667184826626205,0.6686608126883321,0.3842569199337852,0.3323279173260276,0.2829581688116741,6.106999536873274,6.213838257167894,6.311895927142183
3,0,(0.4329472167771056 * (x1 + x3)),"(t[0] * (x[:, 1] + x[:, 3]))",0.4329472167771056,5,0.6322337963992312,0.4655370290333593,0.6758396874954247,0.4655370290333593,0.3070874385551732,0.5351513475316596,0.36794881293515613,8.679423358569732,8.512726591203862,8.723029249665926
4,0,(Sin((x0 + x1)) + x3),"(np.sin((x[:, 0] + x[:, 1])) + x[:, 3])",,6,0.47759586413808625,0.43831834204521697,0.3848672891718086,0.43831834204521697,0.47656677729008023,0.562329787009755,0.6400687448750677,10.134223338742688,10.094945816649819,10.04149476377641
5,0,(0.38125499969543497 * (x3 + (x1 + x4))),"(t[0] * (x[:, 3] + (x[:, 1] + x[:, 4])))",0.38125499969543497,7,0.4963363425620247,0.3440075605725968,0.576893155306508,0.3440075605725968,0.4560276777016222,0.6565011137714811,0.46048447528685543,13.03865262715841,12.886323845168983,13.119209439902892
6,0,(0.420106932423127 * (x3 + (x1 + Sin(x4)))),"(t[0] * (x[:, 3] + (x[:, 1] + np.sin(x[:, 4]))))",0.420106932423127,8,0.512621978425778,0.3199847469141878,0.5894121724617891,0.3199847469141878,0.4381790246789905,0.6804884055682185,0.44877658094403594,16.079903170868285,15.887265939356693,16.156693364904296
7,0,(0.36227768117861536 * (((x0 + x1) + x4) + x3)),"(t[0] * (((x[:, 0] + x[:, 1]) + x[:, 4]) + x[:, 3]))",0.36227768117861536,9,0.3826819466623873,0.3059121954291265,0.33917155773201874,0.3059121954291265,0.5805900769767046,0.6945401483655746,0.6828037926011767,17.895873288160207,17.819103536926946,17.85236289922984
8,0,(0.3949184940770133 * (((x0 + x1) + Sin(x4)) + x3)),"(t[0] * (((x[:, 0] + x[:, 1]) + np.sin(x[:, 4])) + x[:, 3]))",0.3949184940770133,10,0.39013084588110647,0.2882578420109462,0.3324056163092475,0.2882578420109462,0.5724262681658137,0.7121683967858586,0.689131360198933,21.184546262679465,21.082673258809304,21.126821033107607
9,0,(0.5449875125010657 * ((Sin((x0 + x1)) + Sin(x4)) + x3)),"(t[0] * ((np.sin((x[:, 0] + x[:, 1])) + np.sin(x[:, 4])) + x[:, 3]))",0.5449875125010657,11,0.30061694299217173,0.24494995976187592,0.2942232963685071,0.24494995976187592,0.6705312857857966,0.7554122408825121,0.7248397997741066,23.174473901470364,23.118806918240068,23.1680802548467
10,0,(0.6240548283639473 * ((Sin((x0 + x1)) + (x4 * 0.4535489780293637)) + x3)),"(t[0] * ((np.sin((x[:, 0] + x[:, 1])) + (x[:, 4] * t[1])) + x[:, 3]))",0.6240548283639473;0.4535489780293637,12,0.27584204766622966,0.23089296069299475,0.23552725307715422,0.23089296069299475,0.6976839566452104,0.7694484542606104,0.7797328528527041,25.229140547824258,25.18419146085102,25.188825753235182
11,0,(0.6316934762805386 * ((Sin((x0 + x1)) + (0.5967761127068815 * Sin(x4))) + x3)),"(t[0] * ((np.sin((x[:, 0] + x[:, 1])) + (t[1] * np.sin(x[:, 4]))) + x[:, 3]))",0.6316934762805386;0.5967761127068815,13,0.28076966989888086,0.2239078176455925,0.24527101308599808,0.2239078176455925,0.6922834048833385,0.7764232685726441,0.7706204032673778,27.313509711736746,27.256647859483458,27.278011054923862
12,0,(0.605041200063802 * ((Sin((x1 + Sin(x0))) + (0.6530808796423789 * Sin(x4))) + x3)),"(t[0] * ((np.sin((x[:, 1] + np.sin(x[:, 0]))) + (t[1] * np.sin(x[:, 4]))) + x[:, 3]))",0.605041200063802;0.6530808796423789,14,0.3139577919869927,0.21993498855377155,0.2828581585451359,0.21993498855377155,0.6559100461407511,0.7803902231533669,0.7354685760731694,29.426139375504693,29.33211657207147,29.395039742062835
13,0,(Sin((Sin((x1 + Sin(x0))) + (0.4997667038010321 * Sin(x4)))) + (0.5663102243003082 * x3)),"(np.sin((np.sin((x[:, 1] + np.sin(x[:, 0]))) + (t[0] * np.sin(x[:, 4])))) + (t[1] * x[:, 3]))",0.4997667038010321;0.5663102243003082,15,0.3199623450302212,0.21280678661836894,0.24712715342632782,0.21280678661836894,0.6493292049183885,0.7875078848162305,0.7688845245861302,31.511585470227757,31.404429911815907,31.438750278623864
14,0,(Sin((Sin((Sin(x0) + (x1 + 0.12726541392059898))) + (x4 * 0.39452373164606086))) + (0.5499346534516314 * x3)),"(np.sin((np.sin((np.sin(x[:, 0]) + (x[:, 1] + t[0]))) + (x[:, 4] * t[1]))) + (t[2] * x[:, 3]))",0.12726541392059898;0.39452373164606086;0.5499346534516314,16,0.3057368278164726,0.20148899721464156,0.23472529147707236,0.20148899721464156,0.664920018991592,0.7988089389217807,0.7804828543555613,33.57680149469385,33.47255366409201,33.50578995835444
15,0,(Sin((Sin((Sin(x0) + (x1 + 0.11829958651458038))) + (0.5108799957106924 * Sin(x4)))) + (0.5590775567693348 * x3)),"(np.sin((np.sin((np.sin(x[:, 0]) + (x[:, 1] + t[0]))) + (t[1] * np.sin(x[:, 4])))) + (t[2] * x[:, 3]))",0.11829958651458038;0.5108799957106924;0.5590775567693348,17,0.3160484630080528,0.193605197240534,0.2520812651245417,0.193605197240534,0.6536187225503456,0.8066810813416939,0.7642513959941827,35.66655467156526,35.54411140579774,35.60258747368175
16,0,(Sin((Sin(((Sin(x0) + 0.11435650786218043) + x1)) + (0.5762086557376392 * Sin(Sin(x4))))) + (0.5608272760198089 * x3)),"(np.sin((np.sin(((np.sin(x[:, 0]) + t[0]) + x[:, 1])) + (t[1] * np.sin(np.sin(x[:, 4]))))) + (t[2] * x[:, 3]))",0.11435650786218043;0.5762086557376392;0.5608272760198089,18,0.3184265720495262,0.19280096504812363,0.2568117752345718,0.19280096504812363,0.6510123740180347,0.807484124338488,0.7598273815632648,37.748374322286566,37.62274871528516,37.686759525471615
17,0,(((Sin((x0 + x1)) + (x4 * 0.27045942027831504)) + (0.5974937493800176 + Sin((-1.3648062495427056 + x2)))) + (0.5712103943000242 * x3)),"(((np.sin((x[:, 0] + x[:, 1])) + (x[:, 4] * t[0])) + (t[1] + np.sin((t[2] + x[:, 2])))) + (t[3] * x[:, 3]))",0.27045942027831504;0.5974937493800176;-1.3648062495427056;0.5712103943000242,19,0.1330667935245228,0.11705845917983078,0.1266524724714421,0.11705845917983078,0.8541620943558292,0.8831146318849207,0.8815534999624975,41.88033376291269,41.864325428568,41.87391944185961
18,0,(((Sin((x1 + Sin(x0))) + (x4 * 0.2862853235622693)) + (0.5763618636818497 + Sin((-1.4060070053837594 + x2)))) + (0.5777880332185593 * x3)),"(((np.sin((x[:, 1] + np.sin(x[:, 0]))) + (x[:, 4] * t[0])) + (t[1] + np.sin((t[2] + x[:, 2])))) + (t[3] * x[:, 3]))",0.2862853235622693;0.5763618636818497;-1.4060070053837594;0.5777880332185593,20,0.1845211601629198,0.11674752351468633,0.14905824990372077,0.11674752351468633,0.7977693845892997,0.8834251077782065,0.8605994209328042,44.129012706887316,44.06123907023908,44.09354979662811
19,0,(((Sin((x1 + (x0 + 0.15331262096642825))) + (x4 * 0.2813920631953061)) + Sin((0.5442682526703726 + Sin((-1.335947591924198 + x2))))) + (0.5589949761811351 * x3)),"(((np.sin((x[:, 1] + (x[:, 0] + t[0]))) + (x[:, 4] * t[1])) + np.sin((t[2] + np.sin((t[3] + x[:, 2]))))) + (t[4] * x[:, 3]))",0.15331262096642825;0.2813920631953061;0.5442682526703726;-1.335947591924198;0.5589949761811351,22,0.12644704518736455,0.10321580284554419,0.12565168650225006,0.10321580284554419,0.8614171743634851,0.8969368194710221,0.8824894437543898,48.46538774658419,48.44215650424238,48.46459238789908
20,0,(((Sin((((0.9737166407424203 * x0) + 0.16231494657652812) + x1)) + (x4 * 0.28577970597962504)) + (0.537748554513154 + Sin((-1.3524573823021868 + x2)))) + (0.5599781783242578 * x3)),"(((np.sin((((t[0] * x[:, 0]) + t[1]) + x[:, 1])) + (x[:, 4] * t[2])) + (t[3] + np.sin((t[4] + x[:, 2])))) + (t[5] * x[:, 3]))",0.9737166407424203;0.16231494657652812;0.28577970597962504;0.537748554513154;-1.3524573823021868;0.5599781783242578,23,0.12499477529735747,9.84958234635564e-2,0.12868274856557224,9.84958234635564e-2,0.8630088261466152,0.9016498195517056,0.879654768001195,50.66116005403041,50.63466110219661,50.664848027298625
21,0,(((Sin((x0 + x1)) + (x4 * 0.30900195176877276)) + Sin((Sin(Sin((x0 + 1.6833927919895744))) + Sin((-1.471352111563636 + x2))))) + (0.5864745640050266 * x3)),"(((np.sin((x[:, 0] + x[:, 1])) + (x[:, 4] * t[0])) + np.sin((np.sin(np.sin((x[:, 0] + t[1]))) + np.sin((t[2] + x[:, 2]))))) + (t[3] * x[:, 3]))",0.30900195176877276;1.6833927919895744;-1.471352111563636;0.5864745640050266,24,0.1181146415618438,8.40286409123692e-2,0.12426454114674663,8.40286409123692e-2,0.8705492820933065,0.9160956098852839,0.8837867142237026,52.85150449763111,52.81741849698164,52.85765439721601
22,0,(((Sin((x0 + x1)) + Sin((x4 * 0.32141117215366527))) + Sin((Sin(Sin((x0 + 1.6828816764008814))) + Sin((-1.4707865250104297 + x2))))) + (0.5867205914699228 * x3)),"(((np.sin((x[:, 0] + x[:, 1])) + np.sin((x[:, 4] * t[0]))) + np.sin((np.sin(np.sin((x[:, 0] + t[1]))) + np.sin((t[2] + x[:, 2]))))) + (t[3] * x[:, 3]))",0.32141117215366527;1.6828816764008814;-1.4707865250104297;0.5867205914699228,25,0.1177075170093627,8.389798880073188e-2,0.12490747098754743,8.389798880073188e-2,0.8709954805061301,0.9162260688053033,0.8831854406131168,55.04832195041485,55.01451242220622,55.05552190439303
23,0,(((Sin((x1 + (x0 + 8.766541102052471e-4))) + Sin((x4 * 0.3214956653278302))) + Sin((Sin(Sin((x0 + 1.6829227662777335))) + Sin((-1.4707926577822599 + x2))))) + (0.5866233886251869 * x3)),"(((np.sin((x[:, 1] + (x[:, 0] + t[0]))) + np.sin((x[:, 4] * t[1]))) + np.sin((np.sin(np.sin((x[:, 0] + t[2]))) + np.sin((t[3] + x[:, 2]))))) + (t[4] * x[:, 3]))",8.766541102052471e-4;0.3214956653278302;1.6829227662777335;-1.4707926577822599;0.5866233886251869,27,0.11770721699593144,8.381611476437238e-2,0.12488391404938538,8.381611476437238e-2,0.8709958093134104,0.9163078217768186,0.8832074712677297,59.44277080507386,59.408879702842306,59.449947502127316
