id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,1.8372999999999995,"t[0]",1.8372999999999995,1,2.943170999999999e-2,7.935613000000001e-2,7.711342580246915e-2,7.935613000000001e-2,1.1102230246251565e-16,-5.212195345724302e-2,-3.2258695513013746e-2,2.943170999999999e-2,7.935613000000001e-2,7.711342580246915e-2
1,0,(Sin(x0) + 1.079665991137509),"(np.sin(x[:, 0]) + t[0])",1.079665991137509,4,6.300331610861976e-2,6.573090891496763e-2,6.341400195960047e-2,6.573090891496763e-2,-1.1406610797884245,0.12852438381085562,0.15112505690311484,5.608180760588182,5.61090835339453,5.608591446439163
2,0,(1.1693635828201414 + Sin(Sin(x0))),"(t[0] + np.sin(np.sin(x[:, 0])))",1.1693635828201414,5,4.693800291149348e-2,5.381641005013755e-2,5.272295638999828e-2,5.381641005013755e-2,-0.5948105941344721,0.28648956961476424,0.29423794079465593,6.978409808510946,6.98528821564959,6.9841947619894515
3,0,Exp((Exp(Sin(x0)) * 0.2617923666091063)),"np.exp((np.exp(np.sin(x[:, 0])) * t[0]))",0.2617923666091063,6,4.9223009751237105e-2,5.2526710270653545e-2,5.7127928673618586e-2,5.2526710270653545e-2,-0.6724481775349482,0.30358870803499827,0.23527193201029084,9.705850484355839,9.709154184875255,9.71375540327822
4,0,(Sin(Sin((x0 * 0.9120119962720846))) + 1.1330758432073853),"(np.sin(np.sin((x[:, 0] * t[0]))) + t[1])",0.9120119962720846;1.1330758432073853,7,4.189184825879789e-2,4.2410903102207395e-2,4.6297356148047676e-2,4.2410903102207395e-2,-0.4233576050728243,0.4377064226824029,0.380252556986583,11.3079572352975,11.30847629014091,11.31236274318675
5,0,(Sin((1.0232071537329828 + x0)) + (x0 * 0.8596370395544026)),"(np.sin((t[0] + x[:, 0])) + (x[:, 0] * t[1]))",1.0232071537329828;0.8596370395544026,8,3.857447397143738e-2,3.180525039392128e-2,3.90489993251961e-2,3.180525039392128e-2,-0.31064331537098533,0.5783186229639827,0.47728078885032743,12.91407777344424,12.907308549866723,12.914552298797998
6,0,(1.1376160264853419 + Sin((Sin(x0) + (x0 + -0.4706081761664445)))),"(t[0] + np.sin((np.sin(x[:, 0]) + (x[:, 0] + t[1]))))",1.1376160264853419;-0.4706081761664445,9,9.65631640332288e-3,8.63694770180651e-3,8.411985386636239e-3,8.63694770180651e-3,0.6719077347757612,0.8854893467217629,0.8873951588647275,12.486305566482338,12.485286197780821,12.485061235465652
7,0,(Exp(Sin((Sin(x0) + (x0 * 0.668415390351339)))) * 0.7873260623919812),"(np.exp(np.sin((np.sin(x[:, 0]) + (x[:, 0] * t[0])))) * t[1])",0.668415390351339;0.7873260623919812,10,3.918290365673596e-3,4.1485426075273165e-3,4.238309423062329e-3,4.1485426075273165e-3,0.866868409423931,0.9449976611481401,0.943264979986264,17.921512982646224,17.921743234888076,17.92183300170361
8,0,(Sin((-0.35590606468145736 + (x0 + Sin((x0 * 1.132161678589005))))) + 1.0840999193141907),"(np.sin((t[0] + (x[:, 0] + np.sin((x[:, 0] * t[1]))))) + t[2])",-0.35590606468145736;1.132161678589005;1.0840999193141907,11,2.320603782254679e-3,3.500537405832958e-3,3.7999047005092307e-3,3.500537405832958e-3,0.921152940748102,0.9535890642150124,0.9491335700832548,17.70613764055736,17.707317574180937,17.707616941475614
9,0,Exp((0.7641205688130903 * Sin(((-0.35076458025317503 + Sin((x0 * 1.1820940415012067))) + x0)))),"np.exp((t[0] * np.sin(((t[1] + np.sin((x[:, 0] * t[2]))) + x[:, 0]))))",0.7641205688130903;-0.35076458025317503;1.1820940415012067,12,1.9094929150407433e-3,2.0001867390904877e-3,2.3774413747623185e-3,2.0001867390904877e-3,0.9351212377724317,0.9734810608933279,0.9681750031640763,21.5030231236517,21.50311381747575,21.503491072111423
