id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,dl_train,dl_val,dl_test
0,0,192.81249999999994,"t[0]","$$\theta_{0}$$",192.81249999999994,1,2108.1523437500005,967.7773437499998,1604.626822916667,967.7773437499998,-2.220446049250313e-16,2.220446049250313e-16,-8.703014467376091e-3,311.03846441213705,219.8697677697499,255.1647013214224
1,0,(282.93749999999994 - x4),"(t[0] - x[:, 4])","$$\left(\theta_{0} - x_{4}\right)$$",282.93749999999994,3,1422.43359375,554.0039062499998,945.0455729166657,554.0039062499998,0.3252700176213249,0.4275502419768238,0.40592397896143395,263.9572361373614,176.06111947941565,205.15708411231236
2,0,(1726.1741522568132 / Sqrt(x4)),"(t[0] / np.sqrt(x[:, 4]))","$$\frac{\theta_{0}}{\operatorname{sqrt}(x_{4})}$$",1726.1741522568132,4,1173.561822746664,521.3576302337929,844.9162407432742,521.3576302337929,0.44332209850682713,0.4612834929431123,0.46886743581847445,244.8823471469475,173.90407078003417,197.78072971628154
3,0,(x1 + (4236.537653580526 / x5)),"(x[:, 1] + (t[0] / x[:, 5]))","$$\left(x_{1} + \frac{\theta_{0}}{x_{5}}\right)$$",4236.537653580526,5,846.8280365292277,319.47913011589975,745.4188304682987,319.47913011589975,0.598307950068313,0.6698836440229491,0.5314136529467901,215.4635838986875,145.18118219333422,190.1141554140638
4,0,(((x12 * -266.76374933751714) / (x0 + 608.3533541425877)) + 389.3131442588301),"(((x[:, 12] * t[0]) / (x[:, 0] + t[1])) + t[2])","$$\left(\frac{\left(x_{12} \cdot \theta_{0}\right)}{\left(x_{0} + \theta_{1}\right)} + \theta_{2}\right)$$",-266.76374933751714;608.3533541425877;389.3131442588301,9,204.69865235415074,245.39736099948243,423.0397222593166,245.39736099948243,0.9029013946923632,0.7464320046503647,0.7340681104240926,133.64981511797654,142.34105625359092,162.2432251676087
5,0,(393.4267478416562 + ((-1.3640267517825293 / Sqrt(Sqrt((x0 + 63.091801745274005)))) * x12)),"(t[0] + ((t[1] / np.sqrt(np.sqrt((x[:, 0] + t[2])))) * x[:, 12]))","$$\left(\theta_{0} + \left(\frac{\theta_{1}}{\operatorname{sqrt}(\operatorname{sqrt}(\left(x_{0} + \theta_{2}\right)))} \cdot x_{12}\right)\right)$$",393.4267478416562;-1.3640267517825293;63.091801745274005,11,181.65695688467395,238.51489300093374,436.75214201091046,238.51489300093374,0.9138312003763728,0.7535436280449361,0.7254481877470347,133.59507817197718,146.2074723008091,169.45091507171472
6,0,(298.7442976003711 + ((-4.8440871799475245 / (x1 + x0)) * (x12 * Sqrt(x4)))),"(t[0] + ((t[1] / (x[:, 1] + x[:, 0])) * (x[:, 12] * np.sqrt(x[:, 4]))))","$$\left(\theta_{0} + \left(\frac{\theta_{1}}{\left(x_{1} + x_{0}\right)} \cdot \left(x_{12} \cdot \operatorname{sqrt}(x_{4})\right)\right)\right)$$",298.7442976003711;-4.8440871799475245,12,437.4036997014681,193.24775030027362,643.9608400217124,193.24775030027362,0.7925179833429825,0.8003179640975413,0.5951923330384346,184.24727728049183,139.7195827522477,198.85812883361078
7,0,(362.8518518104582 + ((-37.801445918494416 / (x0 + 265.0245438033379)) * (x12 * Sqrt(Sqrt(x4))))),"(t[0] + ((t[1] / (x[:, 0] + t[2])) * (x[:, 12] * np.sqrt(np.sqrt(x[:, 4])))))","$$\left(\theta_{0} + \left(\frac{\theta_{1}}{\left(x_{0} + \theta_{2}\right)} \cdot \left(x_{12} \cdot \operatorname{sqrt}(\operatorname{sqrt}(x_{4}))\right)\right)\right)$$",362.8518518104582;-37.801445918494416;265.0245438033379,13,288.26848368199416,161.37593397570134,442.30127126422343,161.37593397570134,0.8632601270317971,0.8332509693289651,0.7219598854666879,161.6108450839356,134.21984772009404,175.85006139339296
8,0,(356.14075464608544 + ((-33.175916377482814 / (x0 + 251.6658068438079)) * (x5 + (x12 * Sqrt(Sqrt(x4)))))),"(t[0] + ((t[1] / (x[:, 0] + t[2])) * (x[:, 5] + (x[:, 12] * np.sqrt(np.sqrt(x[:, 4]))))))","$$\left(\theta_{0} + \left(\frac{\theta_{1}}{\left(x_{0} + \theta_{2}\right)} \cdot \left(x_{5} + \left(x_{12} \cdot \operatorname{sqrt}(\operatorname{sqrt}(x_{4}))\right)\right)\right)\right)$$",356.14075464608544;-33.175916377482814;251.6658068438079,15,294.35983562046573,159.44880226879394,458.77553315160475,159.44880226879394,0.8603707002043051,0.8352422659007985,0.7116038092814965,168.6698866789279,139.65296145241567,184.03653905666735
9,0,(342.7233084924542 + ((-35.70953179271777 / (x0 + (x1 + 174.92338541767265))) * (x10 + (x12 * Sqrt(Sqrt(x4)))))),"(t[0] + ((t[1] / (x[:, 0] + (x[:, 1] + t[2]))) * (x[:, 10] + (x[:, 12] * np.sqrt(np.sqrt(x[:, 4]))))))","$$\left(\theta_{0} + \left(\frac{\theta_{1}}{\left(x_{0} + \left(x_{1} + \theta_{2}\right)\right)} \cdot \left(x_{10} + \left(x_{12} \cdot \operatorname{sqrt}(\operatorname{sqrt}(x_{4}))\right)\right)\right)\right)$$",342.7233084924542;-35.70953179271777;174.92338541767265,17,314.04968404863405,154.88642616739648,492.98445436266024,154.88642616739648,0.851030839882283,0.8399565487168428,0.6900993439101978,178.43688334270735,144.65964919300228,194.78511452910627
10,0,(412.62786031893256 + ((Sin(x1) * 8.871059377542032) + (((28.38150800855424 + x12) / (x0 + 545.2544129760392)) * -255.29850701506132))),"(t[0] + ((np.sin(x[:, 1]) * t[1]) + (((t[2] + x[:, 12]) / (x[:, 0] + t[3])) * t[4])))","$$\left(\theta_{0} + \left(\left(\operatorname{sin}(x_{1}) \cdot \theta_{1}\right) + \left(\frac{\left(\theta_{2} + x_{12}\right)}{\left(x_{0} + \theta_{3}\right)} \cdot \theta_{4}\right)\right)\right)$$",412.62786031893256;8.871059377542032;28.38150800855424;545.2544129760392;-255.29850701506132,16,179.8697397928152,156.98275122195014,382.92252043638,145.25209898496894,0.9146789650538911,0.8377904254157633,0.7592866483625512,148.15823852648356,142.45628731229263,176.64373275285894
11,0,(383.2079699454464 + (((((x12 * Sqrt(Sqrt(x4))) + (x1 + x3)) + (x10 + x1)) / (x1 + (x0 + -44.84600498907575))) * 259.25854919732035)),"(t[0] + (((((x[:, 12] * np.sqrt(np.sqrt(x[:, 4]))) + (x[:, 1] + x[:, 3])) + (x[:, 10] + x[:, 1])) / (x[:, 1] + (x[:, 0] + t[1]))) * t[2]))","$$\left(\theta_{0} + \left(\frac{\left(\left(\left(x_{12} \cdot \operatorname{sqrt}(\operatorname{sqrt}(x_{4}))\right) + \left(x_{1} + x_{3}\right)\right) + \left(x_{10} + x_{1}\right)\right)}{\left(x_{1} + \left(x_{0} + \theta_{1}\right)\right)} \cdot \theta_{2}\right)\right)$$",383.2079699454464;-44.84600498907575;259.25854919732035,23,1.1004204158370197e7,1.0833170606206179e7,1.0646596567031918e7,144.73557589806697,-5218.833467440888,-11192.86672582061,-6691.680128244893,20023.0597394195,19867.7308998173,18268.267098249347
