id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,dl_train,dl_val,dl_test
0,0,819.4493670886162,"t[0]","$$\theta_{0}$$",819.4493670886162,1,9095963.652499586,7862711.674584222,1.3470637291980423e7,7862711.674584222,-2.220446049250313e-16,-7.432079938141101e-6,-3.25339075715414e-4,220023.5557828952,205961.0563725489,267614.2409584985
1,0,(x2 + 809.3987341772172),"(x[:, 2] + t[0])","$$\left(x_{2} + \theta_{0}\right)$$",809.3987341772172,3,9097281.151137635,7860637.457930109,1.3470076284609858e7,7860637.457930109,-1.4484431648842389e-4,2.56374117682201e-4,-2.8367884271962573e-4,220042.73886708036,205937.26874024112,267611.9778561354
2,0,(986.559558115736 - (-5.994202551010593 ^ x1)),"(t[0] - t[1] ** x[:, 1])","$$\left(\theta_{0} - {\theta_{1}^{x_{1}}}\right)$$",986.559558115736;-5.994202551010593,5,8798229.195238285,7549730.49931651,1.3106757681416286e7,7549730.49931651,3.273259092009251e-2,3.979861885036973e-2,2.669624772307777e-2,216412.33686085202,201842.22488517678,263993.025313997
3,0,(865.241670623244 * Exp(Sin((x0 * 2191.240012702731)))),"(t[0] * np.exp(np.sin((x[:, 0] * t[1]))))","$$\left(\theta_{0} \cdot \operatorname{exp}(\operatorname{sin}(\left(x_{0} \cdot \theta_{1}\right)))\right)$$",865.241670623244;2191.240012702731,7,8122654.017358262,6826895.667202168,1.2090023320029428e7,6826895.667202168,0.10700456513740086,0.13173130495116325,0.10219862543238911,207967.62527036056,191972.90728297367,253577.65568288392
4,0,(((Sin((x0 * 95.81725739223431)) * x0) * x1) * -520.8772873599008),"(((np.sin((x[:, 0] * t[0])) * x[:, 0]) * x[:, 1]) * t[1])","$$\left(\left(\left(\operatorname{sin}(\left(x_{0} \cdot \theta_{0}\right)) \cdot x_{0}\right) \cdot x_{1}\right) \cdot \theta_{1}\right)$$",95.81725739223431;-520.8772873599008,10,7017197.099089812,6785876.690829467,1.0897385511220627e7,6785876.690829467,0.22853725375634337,0.13694824319418752,0.19076353848230354,193349.38180215957,191402.10178521427,240784.32251702112
5,0,(x0 + ((-0.24726982089589616 + Sin((-3.848494041968213 * Sin(x0)))) * -3650.1902907221875)),"(x[:, 0] + ((t[0] + np.sin((t[1] * np.sin(x[:, 0])))) * t[2]))","$$\left(x_{0} + \left(\left(\theta_{0} + \operatorname{sin}(\left(\theta_{1} \cdot \operatorname{sin}(x_{0})\right))\right) \cdot \theta_{2}\right)\right)$$",-0.24726982089589616;-3.848494041968213;-3650.1902907221875,11,7857950.830003744,6465041.377277395,1.1722519103894757e7,6465041.377277395,0.13610573544405413,0.17775321116253617,0.12948937431444307,204570.2294342162,186842.03799575078,249712.69074903347
6,0,((236.96640884098792 * Exp(Exp(Sin((-2.043103335271553 - (x0 * x1)))))) + -31.869478348651327),"((t[0] * np.exp(np.exp(np.sin((t[1] - (x[:, 0] * x[:, 1])))))) + t[2])","$$\left(\left(\theta_{0} \cdot \operatorname{exp}(\operatorname{exp}(\operatorname{sin}(\left(\theta_{1} - \left(x_{0} \cdot x_{1}\right)\right))))\right) + \theta_{2}\right)$$",236.96640884098792;-2.043103335271553;-31.869478348651327,12,7497798.427306557,6239201.468198251,1.0964780372843891e7,6268488.777443542,0.17570048498971846,0.20647632818454542,0.18575881700224495,199849.810643885,183568.45853279578,241536.6638962354
7,0,(-39.957014844420215 + ((Exp((Sin((x1 + (x0 * -8.804651402430775))) * x0)) + x1) * 306.58288525305926)),"(t[0] + ((np.exp((np.sin((x[:, 1] + (x[:, 0] * t[1]))) * x[:, 0])) + x[:, 1]) * t[2]))","$$\left(\theta_{0} + \left(\left(\operatorname{exp}(\left(\operatorname{sin}(\left(x_{1} + \left(x_{0} \cdot \theta_{1}\right)\right)) \cdot x_{0}\right)) + x_{1}\right) \cdot \theta_{2}\right)\right)$$",-39.957014844420215;-8.804651402430775;306.58288525305926,15,5158321.293602079,4756580.096552238,7975680.741141468,4756580.096552238,0.432899966329069,0.3950413490028838,0.40772842673956045,165881.26137492483,160368.5955152498,206103.534901784
8,0,(((x0 * 178.92040464729945) * Exp(Exp(Sin((8.470298034507907 - (x0 * (-10.506014071444799 + Sin(x1)))))))) + x1),"(((x[:, 0] * t[0]) * np.exp(np.exp(np.sin((t[1] - (x[:, 0] * (t[2] + np.sin(x[:, 1])))))))) + x[:, 1])","$$\left(\left(\left(x_{0} \cdot \theta_{0}\right) \cdot \operatorname{exp}(\operatorname{exp}(\operatorname{sin}(\left(\theta_{1} - \left(x_{0} \cdot \left(\theta_{2} + \operatorname{sin}(x_{1})\right)\right)\right))))\right) + x_{1}\right)$$",178.92040464729945;8.470298034507907;-10.506014071444799,17,5296682.852363634,4324850.406286648,7745606.3496428365,4324850.406286648,0.41768865238285147,0.449950255342501,0.42481367955276805,168088.63768802205,152954.3238926451,203124.99917387593
9,0,(x0 + ((24.32766028079498 - (Exp(Exp(Sin((4.245974422873918 - ((x0 + -16.76478788051858) * x1))))) * -205.71101798926944)) * x0)),"(x[:, 0] + ((t[0] - (np.exp(np.exp(np.sin((t[1] - ((x[:, 0] + t[2]) * x[:, 1]))))) * t[3])) * x[:, 0]))","$$\left(x_{0} + \left(\left(\theta_{0} - \left(\operatorname{exp}(\operatorname{exp}(\operatorname{sin}(\left(\theta_{1} - \left(\left(x_{0} + \theta_{2}\right) \cdot x_{1}\right)\right)))) \cdot \theta_{3}\right)\right) \cdot x_{0}\right)\right)$$",24.32766028079498;4.245974422873918;-16.76478788051858;-205.71101798926944,18,4171681.117834912,3619233.700834637,6210024.079281749,3619233.700834637,0.541370076089901,0.5396930793013974,0.5388455417418049,149252.1998802989,139981.8910596769,181953.74588076296
10,0,(17.36445257543974 + ((-36.272207997247854 - (Exp(Sin((11.850684344564293 - Exp((x0 * Sin((x0 * x1))))))) * -93.45112688075268)) * 62.01434613059947)),"(t[0] + ((t[1] - (np.exp(np.sin((t[2] - np.exp((x[:, 0] * np.sin((x[:, 0] * x[:, 1]))))))) * t[3])) * t[4]))","$$\left(\theta_{0} + \left(\left(\theta_{1} - \left(\operatorname{exp}(\operatorname{sin}(\left(\theta_{2} - \operatorname{exp}(\left(x_{0} \cdot \operatorname{sin}(\left(x_{0} \cdot x_{1}\right))\right))\right))) \cdot \theta_{3}\right)\right) \cdot \theta_{4}\right)\right)$$",17.36445257543974;-36.272207997247854;11.850684344564293;-93.45112688075268;62.01434613059947,19,2317222.6389347087,2375506.558595225,4062692.5157125858,2375506.558595225,0.7452471527524264,0.6978746885468773,0.6983057163331075,111406.70060544986,113535.4663749302,147302.53008740512
11,0,(x0 + ((38.90828010657112 * Exp(((x0 + x0) * Sin((-12.353551038321644 + (x0 * Sin((x0 * x1)))))))) + 1.617694309515692)),"(x[:, 0] + ((t[0] * np.exp(((x[:, 0] + x[:, 0]) * np.sin((t[1] + (x[:, 0] * np.sin((x[:, 0] * x[:, 1])))))))) + t[2]))","$$\left(x_{0} + \left(\left(\theta_{0} \cdot \operatorname{exp}(\left(\left(x_{0} + x_{0}\right) \cdot \operatorname{sin}(\left(\theta_{1} + \left(x_{0} \cdot \operatorname{sin}(\left(x_{0} \cdot x_{1}\right))\right)\right))\right))\right) + \theta_{2}\right)\right)$$",38.90828010657112;-12.353551038321644;1.617694309515692,20,950903.2327475068,1437524.097048541,1404700.783862952,1437524.097048541,0.895458769507484,0.8171706097923831,0.8956873563246949,71587.0277088637,88457.49478401322,86875.6057327339
12,0,(1.6621810309514085 + (((Exp(x1) * Sin((x0 * 7.643902317302093e-2))) * Exp((8.14090817429532 * Sin((0.47737263726094464 + (x0 * Sin((x0 * x1)))))))) - x1)),"(t[0] + (((np.exp(x[:, 1]) * np.sin((x[:, 0] * t[1]))) * np.exp((t[2] * np.sin((t[3] + (x[:, 0] * np.sin((x[:, 0] * x[:, 1])))))))) - x[:, 1]))","$$\left(\theta_{0} + \left(\left(\left(\operatorname{exp}(x_{1}) \cdot \operatorname{sin}(\left(x_{0} \cdot \theta_{1}\right))\right) \cdot \operatorname{exp}(\left(\theta_{2} \cdot \operatorname{sin}(\left(\theta_{3} + \left(x_{0} \cdot \operatorname{sin}(\left(x_{0} \cdot x_{1}\right))\right)\right))\right))\right) - x_{1}\right)\right)$$",1.6621810309514085;7.643902317302093e-2;8.14090817429532;0.47737263726094464,24,989798.1317846826,1378133.669183774,1648873.9367111549,1378133.669183774,0.8911827081111209,0.8247240941012575,0.877555133875095,73037.24608146018,86637.1052283093,94084.92536176201
13,0,(x0 + ((((Exp(Sin((x0 + x1))) * x1) * 18.409806080567225) * Exp(((x0 + x0) * Sin((19.445598855829587 + (Sin((x0 * x1)) * x1)))))) + -0.5007930734670927)),"(x[:, 0] + ((((np.exp(np.sin((x[:, 0] + x[:, 1]))) * x[:, 1]) * t[0]) * np.exp(((x[:, 0] + x[:, 0]) * np.sin((t[1] + (np.sin((x[:, 0] * x[:, 1])) * x[:, 1])))))) + t[2]))","$$\left(x_{0} + \left(\left(\left(\left(\operatorname{exp}(\operatorname{sin}(\left(x_{0} + x_{1}\right))) \cdot x_{1}\right) \cdot \theta_{0}\right) \cdot \operatorname{exp}(\left(\left(x_{0} + x_{0}\right) \cdot \operatorname{sin}(\left(\theta_{1} + \left(\operatorname{sin}(\left(x_{0} \cdot x_{1}\right)) \cdot x_{1}\right)\right))\right))\right) + \theta_{2}\right)\right)$$",18.409806080567225;19.445598855829587;-0.5007930734670927,28,1068401.7388777249,1373075.4353688478,1875475.013130972,1373075.4353688478,0.8825411160713987,0.8253674181372226,0.8607278083602492,75860.1211205945,86481.57702597302,100301.5542384607
14,0,(((4.3628227060635544e-2 + ((Sin((x0 + 2.206460299346811)) * (0.1457363613780333 - (x1 * (x1 * ((x1 * 16.709585274245043) - ((x0 * -52.66095066096257) * x1)))))) * Sin((x1 * -14.1367267449885)))) * x0) + 0.15646342029016774),"(((t[0] + ((np.sin((x[:, 0] + t[1])) * (t[2] - (x[:, 1] * (x[:, 1] * ((x[:, 1] * t[3]) - ((x[:, 0] * t[4]) * x[:, 1])))))) * np.sin((x[:, 1] * t[5])))) * x[:, 0]) + t[6])","$$\left(\left(\left(\theta_{0} + \left(\left(\operatorname{sin}(\left(x_{0} + \theta_{1}\right)) \cdot \left(\theta_{2} - \left(x_{1} \cdot \left(x_{1} \cdot \left(\left(x_{1} \cdot \theta_{3}\right) - \left(\left(x_{0} \cdot \theta_{4}\right) \cdot x_{1}\right)\right)\right)\right)\right)\right) \cdot \operatorname{sin}(\left(x_{1} \cdot \theta_{5}\right))\right)\right) \cdot x_{0}\right) + \theta_{6}\right)$$",4.3628227060635544e-2;2.206460299346811;0.1457363613780333;16.709585274245043;-52.66095066096257;-14.1367267449885;0.15646342029016774,31,2479149.4946920546,2803432.738981554,3630472.3863599966,1304768.3602225413,0.7274450965939403,0.643449526022965,0.7304022488191673,115236.43190265795,123307.2643786392,139307.9695014048
