id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,dl_train,dl_val,dl_test
0,0,7.805265307407184,"t[0]","$$\theta_{0}$$",7.805265307407184,1,0.13473444836910609,0.14827311032990886,0.18140399008125377,0.14827311032990886,2.220446049250313e-16,-7.60171021247924e-5,-0.14020671878476132,319.09045247869506,336.4337886303546,365.45084478614507
1,0,(x2 + -4.414012632248837),"(x[:, 2] + t[0])","$$\left(x_{2} + \theta_{0}\right)$$",-4.414012632248837,3,77.97232584917333,78.20826141629507,77.32668201608186,4.0677794953795754e-2,-577.7111372999985,-526.5009501565248,-485.0334237222526,3387.8255483645653,3391.7378416399474,3301.8948582304906
2,0,Sqrt((x2 * 17.99426461984449)),"np.sqrt((x[:, 2] * t[0]))","$$\operatorname{sqrt}(\left(x_{2} \cdot \theta_{0}\right))$$",17.99426461984449,4,3.388903646829194e-2,3.580704659747201e-2,3.275867320199302e-2,3.580704659747201e-2,0.748475338872115,0.7584877766055289,0.7940968152538632,94.7765895771975,103.37625568784283,87.67266358787907
3,0,((1.1991453318035479 ^ x2) * 4.21089150954001),"(t[0] ** x[:, 2] * t[1])","$$\left({\theta_{0}^{x_{2}}} \cdot \theta_{1}\right)$$",1.1991453318035479;4.21089150954001,5,2.97586339470401e-2,3.178479428104786e-2,2.737454300009631e-2,3.178479428104786e-2,0.7791312147171443,0.7856171601292106,0.8279385263885787,78.45138122102736,88.6428073594626,64.39138713800745
4,0,(Sin((x3 + x1)) + 8.033939065411886),"(np.sin((x[:, 3] + x[:, 1])) + t[0])","$$\left(\operatorname{sin}(\left(x_{3} + x_{1}\right)) + \theta_{0}\right)$$",8.033939065411886,6,2.629903426208246e-2,2.6016767314676233e-2,2.632313274223733e-2,2.6016767314676233e-2,0.8048083873098583,0.8245214862219978,0.8345471188438662,59.73929405978057,58.08905974636807,58.80843923373451
5,0,((x2 + 4.05368889589421) + (-0.6584246304931818 / x3)),"((x[:, 2] + t[0]) + (t[1] / x[:, 3]))","$$\left(\left(x_{2} + \theta_{0}\right) + \frac{\theta_{1}}{x_{3}}\right)$$",4.05368889589421;-0.6584246304931818,7,1.3616051584727696e-2,1.4006983546921092e-2,1.104400374152369e-2,1.4006983546921092e-2,0.8989415717394975,0.9055253627171386,0.9305834052342014,-34.83273197717867,-30.668633188383748,-63.6368683162575
6,0,(((Sin(x2) * 2.601444723219026) / x3) + 7.388069874984378),"(((np.sin(x[:, 2]) * t[0]) / x[:, 3]) + t[1])","$$\left(\frac{\left(\operatorname{sin}(x_{2}) \cdot \theta_{0}\right)}{x_{3}} + \theta_{1}\right)$$",2.601444723219026;7.388069874984378,8,6.336970517977844e-3,6.5378816106480995e-3,6.423574854914947e-3,6.5378816106480995e-3,0.9529669613474228,0.9559031399090892,0.9596249056875197,-140.97679039779496,-136.53844739337265,-135.50099219340674
7,0,(7.457374346809944 + ((9.006882841989414 + (x2 * -2.8008583974429504)) / x3)),"(t[0] + ((t[1] + (x[:, 2] * t[2])) / x[:, 3]))","$$\left(\theta_{0} + \frac{\left(\theta_{1} + \left(x_{2} \cdot \theta_{2}\right)\right)}{x_{3}}\right)$$",7.457374346809944;9.006882841989414;-2.8008583974429504,9,5.250333344938665e-3,5.533984942547267e-3,7.208252743663618e-3,5.533984942547267e-3,0.9610319898994552,0.9626742461412477,0.9546928476857506,-164.61458917545332,-157.17976668637638,-116.44403758968929
8,0,(7.288567343764166 + (Sin(x2) * (-3.269371840626706 - (x3 * 0.7457509970637474)))),"(t[0] + (np.sin(x[:, 2]) * (t[1] - (x[:, 3] * t[2]))))","$$\left(\theta_{0} + \left(\operatorname{sin}(x_{2}) \cdot \left(\theta_{1} - \left(x_{3} \cdot \theta_{2}\right)\right)\right)\right)$$",7.288567343764166;-3.269371840626706;0.7457509970637474,10,4.468655944612479e-3,4.893104800307169e-3,6.055452700401646e-3,4.893104800307169e-3,0.9668336049265548,0.9669968698365707,0.9619387211318303,-183.9789930444562,-171.21747224966194,-137.36282160056376
9,0,(7.328499741577118 + (Sin(x2) * (((x3 * -0.2577208299182618) * x2) + -3.4461940016877834))),"(t[0] + (np.sin(x[:, 2]) * (((x[:, 3] * t[1]) * x[:, 2]) + t[2])))","$$\left(\theta_{0} + \left(\operatorname{sin}(x_{2}) \cdot \left(\left(\left(x_{3} \cdot \theta_{1}\right) \cdot x_{2}\right) + \theta_{2}\right)\right)\right)$$",7.328499741577118;-0.2577208299182618;-3.4461940016877834,12,3.2269954956868235e-3,3.25426211397645e-3,3.0492919293806423e-3,3.25426211397645e-3,0.9760492172955914,0.9780505751426499,0.9808338110762689,-227.43320594458328,-226.2625556649194,-229.43266745237625
10,0,((Sin(x2) * ((Sin((-1.6074312679063376 / x3)) * -3.40146056662407) + 0.8427621402327256)) + 7.326058217292343),"((np.sin(x[:, 2]) * ((np.sin((t[0] / x[:, 3])) * t[1]) + t[2])) + t[3])","$$\left(\left(\operatorname{sin}(x_{2}) \cdot \left(\left(\operatorname{sin}(\frac{\theta_{0}}{x_{3}}) \cdot \theta_{1}\right) + \theta_{2}\right)\right) + \theta_{3}\right)$$",-1.6074312679063376;-3.40146056662407;0.8427621402327256;7.326058217292343,13,3.038485340064096e-3,3.2051864533295987e-3,4.1471981331633176e-3,3.2051864533295987e-3,0.9774483409636996,0.9783815818310991,0.9739329704189726,-229.55732143393112,-222.13366268085394,-181.25414295401723
