-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,7789,777.2727,804.2368,0.4927757,0.4660872,0.26213783,0.2672891,777.2727,383.61005,5.862,Inf,10,"(4.524208 + ((X3 - -0.85213345) / (exp(X3) * -0.52384704))) [likelihood params: Float32[]]"
2,15817,777.2727,804.2368,0.4927757,0.4660872,0.26213783,0.2672891,777.2727,383.61005,5.806,Inf,10,"(4.524208 + ((X3 - -0.85213345) / (exp(X3) * -0.52384704))) [likelihood params: Float32[]]"
3,23771,777.2727,804.2368,0.4927757,0.4660872,0.26213783,0.2672891,777.2727,383.61005,5.61,Inf,10,"(4.524208 + ((X3 - -0.85213345) / (exp(X3) * -0.52384704))) [likelihood params: Float32[]]"
4,31836,777.2727,804.2368,0.4927757,0.4660872,0.26213783,0.2672891,777.2727,383.61005,5.566,Inf,10,"(4.524208 + ((X3 - -0.85213345) / (exp(X3) * -0.52384704))) [likelihood params: Float32[]]"
5,40023,777.2727,804.2368,0.4927757,0.4660872,0.26213783,0.2672891,777.2727,383.61005,5.428,Inf,10,"(4.524208 + ((X3 - -0.85213345) / (exp(X3) * -0.52384704))) [likelihood params: Float32[]]"
6,48701,777.2151,808.4389,0.49260303,0.4641397,0.2623964,0.27035064,777.2151,383.2858,5.714,Inf,13,"(5.544101 + (0.8169129 / (((X3 - 5.1642084) + (3.6413763 + 3.5833166)) * -0.1149614))) [likelihood params: Float32[]]"
7,57694,777.2151,808.4389,0.49260303,0.4641397,0.2623964,0.27035064,777.2151,383.2858,5.958,Inf,13,"(5.544101 + (0.8169129 / (((X3 - 5.1642084) + (3.6413763 + 3.5833166)) * -0.1149614))) [likelihood params: Float32[]]"
8,66580,777.21484,819.13367,0.49260226,0.464131,0.26239753,0.27036434,777.21484,383.28433,6.944,Inf,19,"(5.1846347 + (-2.2404377 + (0.49387115 * (5.264916 + (1.15429 / (((X3 - 5.1639957) + (3.641614 + 3.5835452)) * -0.08020152)))))) [likelihood params: Float32[]]"
9,75826,775.43494,817.9055,0.48726517,0.46684164,0.27038908,0.26610303,775.43494,383.73566,8.316,Inf,16,"(exp(((sqrt(X6) * 0.12719536) * log(abs((X4 * 3.5767596))))) + ((X3 - -4.316153) / 2.6598558)) [likelihood params: Float32[]]"
10,85416,775.43494,817.9055,0.48726517,0.46684164,0.27038908,0.26610303,775.43494,383.73566,9.128,Inf,16,"(exp(((sqrt(X6) * 0.12719536) * log(abs((X4 * 3.5767596))))) + ((X3 - -4.316153) / 2.6598558)) [likelihood params: Float32[]]"
11,96048,767.99725,827.27625,0.46496332,0.4557305,0.30378294,0.2835703,767.99725,381.88565,10.004,Inf,22,"(7.2684035 + (1.8902551 / (((X3 - 10.602705) + (-1.7970889 + ((X8 - -19.970776) + exp(((X10 - 2.741292) / 0.46623033))))) * -0.043945704))) [likelihood params: Float32[]]"
12,106658,767.01697,826.28754,0.46202388,0.45399728,0.30818433,0.286295,767.01697,381.59708,11.398,Inf,22,"(8.070131 + (2.3065538 / (((X3 - 9.734461) + (-0.9288393 + ((X8 - -20.839025) + exp(((X10 - 2.7376714) / 0.4589371))))) * -0.035908736))) [likelihood params: Float32[]]"
13,118249,765.87103,829.13135,0.45858783,0.45195323,0.31332934,0.28950834,765.87103,381.25674,12.866,Inf,22,"(9.962225 + (3.2817652 / (((X3 - 7.632881) + (1.17259 + ((X8 - -22.940525) + exp(((X10 - 2.7325265) / 0.452786))))) * -0.024859121))) [likelihood params: Float32[]]"
14,130845,765.3718,825.91864,0.45709082,0.45119065,0.3155709,0.2907071,765.3718,381.12976,14.246,Inf,22,"(11.661413 + (4.164746 / (((X3 - 5.7230983) + (3.0823402 + ((X8 - -24.850359) + exp(((X10 - 2.7300377) / 0.449256))))) * -0.01950119))) [likelihood params: Float32[]]"
15,143483,765.17413,824.5792,0.45649812,0.4508782,0.31645834,0.2911983,765.17413,381.07776,16.082,Inf,22,"(12.745603 + (4.731635 / (((X3 - 4.497017) + (4.3083825 + ((X8 - -26.076437) + exp(((X10 - 2.7287948) / 0.44817403))))) * -0.017142458))) [likelihood params: Float32[]]"
16,156785,765.05786,824.21606,0.45614958,0.45069167,0.3169803,0.29149157,765.05786,381.0467,17.86,Inf,22,"(13.576415 + (5.167107 / (((X3 - 3.5550516) + (5.2503405 + ((X8 - -27.018415) + exp(((X10 - 2.7279832) / 0.44762418))))) * -0.015688622))) [likelihood params: Float32[]]"
17,170239,763.4607,821.885,0.45136046,0.42685536,0.32415128,0.32896334,763.4607,377.07794,20.51,Inf,24,"(5.1445775 + (-2.28007 + (((X10 - -1.564459) * ((0.10921818 / 73.58037) * (exp(X3) + 263.45776))) * (1.0394378 + (5934.9062 / (-7556.011 * X3)))))) [likelihood params: Float32[]]"
18,183911,761.9349,928.9638,0.4467852,0.44494587,0.33100212,0.30052423,761.9349,380.09003,22.432,Inf,40,"(5.324555 * (((-29.39911 / ((X3 - -136.61858) / exp((3.5744157 - (0.0054639634 * X9))))) + (30.317299 / exp(exp(0.29564542)))) - (sqrt((((1.6426107 - -0.16081628) + X8) + sin(sin((X7 - (sin(X6) - (X6 + -159029.88))))))) * -0.14042203))) [likelihood params: Float32[]]"
19,197708,761.9349,928.9638,0.4467852,0.44494587,0.33100212,0.30052423,761.9349,380.09003,23.57,Inf,40,"(5.324555 * (((-29.39911 / ((X3 - -136.61858) / exp((3.5744157 - (0.0054639634 * X9))))) + (30.317299 / exp(exp(0.29564542)))) - (sqrt((((1.6426107 - -0.16081628) + X8) + sin(sin((X7 - (sin(X6) - (X6 + -159029.88))))))) * -0.14042203))) [likelihood params: Float32[]]"
20,211839,761.6983,959.31506,0.4460758,0.44624746,0.33206433,0.29847807,761.6983,380.30673,24.51,Inf,43,"(5.331403 * (((-29.411116 / ((X3 - -136.55759) / exp((3.574824 - (0.0062316014 * X9))))) + (30.306084 / exp(exp(0.29592043)))) - (sqrt((((1.642846 - -0.16104898) + X8) + sin(sin((X7 - ((1.7529839 - (-0.30727944 * X9)) - (X6 + -159028.39))))))) * -0.1418341))) [likelihood params: Float32[]]"
21,225719,759.4836,859.2574,0.43943498,0.40464273,0.34200805,0.36388266,759.4836,373.37955,26.324,Inf,41,"(5.307044 + (-2.1432009 + (((X10 - -0.57838184) * ((0.07984221 / 93.49216) * (exp((X3 - 39.426834)) + 68.798615))) * (6.2182274 + (((86.796684 * ((89.8936 / X5) * (exp(X3) + -32.3742))) * (-37.57088 + (-329.90463 / X3))) / (-11305.35 * 844.064)))))) [likelihood params: Float32[]]"
22,239902,756.86395,854.3933,0.43158,0.4122722,0.35376978,0.35188872,756.86395,374.64984,26.668,Inf,40,"(5.1840343 + (-2.2404864 + (((X10 - -1.4178791) * (X3 - -2.8167171)) * (0.05228909 + (((63.98534 * ((66.64609 / 346.19556) * (exp(X3) + -330.45892))) * ((((X3 - X9) + -3.930795) * -18.132404) + (-146.13843 / X3))) / (-8983.248 * 841.3015)))))) [likelihood params: Float32[]]"
23,254377,755.8652,854.0175,0.42858517,0.4077723,0.35825413,0.35896283,755.8652,373.90063,28.684,Inf,40,"(5.2429433 + (-2.181586 + (((X10 - -0.9005063) * (X3 - -8.815673)) * (0.046538256 + (((69.91788 * ((72.813484 / 313.4433) * (exp(X3) + -132.65216))) * ((((X3 - X9) + 0.28639016) * -19.418573) + (-134.30632 / X3))) / (-8332.031 * 761.60333)))))) [likelihood params: Float32[]]"
24,268845,755.8467,864.29596,0.4285298,0.40690964,0.358337,0.36031896,755.8467,373.757,28.458,Inf,44,"(((-559.9791 + 199.11404) * -0.011566851) + (-1.1055552 + (((X10 - -0.8671689) * (X3 - -20.482716)) * (0.030873612 + (((59.293736 * ((61.598324 / 323.88614) * (exp(X3) + -177.03532))) * ((((X3 - X9) + 3.0018702) * -14.269529) + (-102.25528 / X3))) / (-10847.164 * 846.25964)))))) [likelihood params: Float32[]]"
25,283956,755.0261,898.3904,0.42606932,0.40738356,0.3620212,0.35957396,755.0261,373.83588,29.884,Inf,46,"(((-2042.948 + -1064.3303) * -0.089723) + (-275.81024 + (((X10 - -1.2442889) * ((X6 + -79430.1) - -79445.8)) * (0.038660403 + (((61.86409 * ((64.27516 / 310.0701) * (exp(X3) + -153.57143))) * ((((X3 - X9) + 3.169414) * -15.899317) + (-112.61946 / X3))) / (-10371.082 * 808.06134)))))) [likelihood params: Float32[]]"
26,299784,754.60046,878.10144,0.42479303,0.39903873,0.3639323,0.3726924,754.60046,372.44647,30.464,Inf,44,"(((-42.4916 + 953.24615) * -0.16279693) + (151.10728 + (((X10 - -1.8022957) * (X1 - -13.993282)) * (0.036774214 + (((59.673477 * ((62.010906 / 320.0495) * (exp(X3) + -144.17384))) * ((((X3 - X9) + 3.4947991) * -15.993701) + (-123.99873 / X3))) / (-10688.824 * 832.8934)))))) [likelihood params: Float32[]]"
27,316068,754.332,872.06354,0.4239879,0.39785743,0.36513788,0.37454945,754.332,372.2498,32.262,Inf,44,"(((-42.624447 + 953.11224) * -0.16277443) + (151.12544 + (((X10 - -1.4493275) * (X1 - -7.636609)) * (0.054543998 + (((68.27471 * ((70.8749 / 279.02774) * (exp(X3) + -106.56494))) * ((((X3 - X9) + 1.6826138) * -19.906578) + (-154.1479 / X3))) / (-9313.574 * 725.3303)))))) [likelihood params: Float32[]]"
28,332382,754.332,872.06354,0.4239879,0.39785743,0.36513788,0.37454945,754.332,372.2498,32.602,Inf,44,"(((-42.624447 + 953.11224) * -0.16277443) + (151.12544 + (((X10 - -1.4493275) * (X1 - -7.636609)) * (0.054543998 + (((68.27471 * ((70.8749 / 279.02774) * (exp(X3) + -106.56494))) * ((((X3 - X9) + 1.6826138) * -19.906578) + (-154.1479 / X3))) / (-9313.574 * 725.3303)))))) [likelihood params: Float32[]]"
29,349329,754.0985,875.9206,0.42328796,0.40584254,0.3661859,0.36199647,754.0985,373.5793,32.396,Inf,44,"(-1.0613512e-7 * (X9 - ((((((13.614718 * X10) + (X9 * 11.233889)) - 244.56123) * ((X3 - -141499.95) + ((10121.088 - -9707.038) / X7))) - ((X3 + ((((-4406.517 + (3006.2466 * log(sqrt(X8)))) + X8) * -6013.2505) / exp(X3))) - 3.443811e7)) + 3.4439e7))) [likelihood params: Float32[]]"
30,364898,753.9865,881.04596,0.4229521,0.40587124,0.36668885,0.3619514,753.9865,373.5841,32.252,Inf,46,"(-1.16754336e-7 * (X9 - ((((((12.210239 * X10) + (X9 * 10.060911)) - 258.571) * ((X3 - -146321.8) + ((8498.806 - -8084.755) / X7))) - ((X3 + ((((-4371.3203 + (2814.382 * log(sqrt(X8)))) + (X3 - -261.41208)) * -5850.732) / exp(X3))) - 3.443811e7)) + 3.4439e7))) [likelihood params: Float32[]]"
31,380493,753.6869,872.5013,0.42205372,0.40606222,0.368034,0.36165118,753.6869,373.6159,33.04,Inf,42,"(-2.0489907e-7 * (X9 - ((((((6.3016434 * X10) + (X9 * 5.1739955)) - 302.06735) * ((X3 - -170030.95) + (7469.1987 / X7))) - ((X3 + ((((-3356.5857 + (2309.1333 * log(sqrt(X8)))) + X8) * -4062.6743) / exp(X3))) - 3.443813e7)) + 3.4439016e7))) [likelihood params: Float32[]]"
32,396737,753.6861,871.3671,0.42205128,0.40601206,0.36803764,0.36173004,753.6861,373.60754,33.13,Inf,42,"(-2.0491794e-7 * (X9 - ((((((6.3046365 * X10) + (X9 * 5.176895)) - 302.0615) * ((X3 - -170027.33) + (7465.6606 / X7))) - ((X3 + ((((-3356.23 + (2310.0034 * log(sqrt(X8)))) + X8) * -4062.189) / exp(X3))) - 3.443813e7)) + 3.4439016e7))) [likelihood params: Float32[]]"
33,412240,751.3455,819.4935,0.41503307,0.4115304,0.37854648,0.35305488,751.3455,374.52634,32.068,Inf,25,"(2.9773412 + ((((X10 + X8) * 0.20292583) + (-0.71857595 / X3)) + ((0.01633 * X9) * (X3 + ((-45.28153 + (X5 * X3)) - -48.54711))))) [likelihood params: Float32[]]"
34,428534,751.3455,819.4935,0.41503307,0.4115304,0.37854648,0.35305488,751.3455,374.52634,32.89,Inf,25,"(2.9773412 + ((((X10 + X8) * 0.20292583) + (-0.71857595 / X3)) + ((0.01633 * X9) * (X3 + ((-45.28153 + (X5 * X3)) - -48.54711))))) [likelihood params: Float32[]]"
35,443600,751.3454,842.5251,0.41503266,0.41154575,0.37854707,0.35303074,751.3454,374.5289,32.704,Inf,35,"(2.976711 + ((((X10 + X8) * 0.20299603) + (-0.71815 / X3)) + ((0.013370178 * X9) * (9.65806 + (((940.817 * X9) * (X3 + ((-49.23409 + (X5 * X3)) - -44.59447))) / (X9 * 769.8907)))))) [likelihood params: Float32[]]"
