-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9254,4.4714145e6,4.4714505e6,17741.871,18860.924,0.87594163,0.7534592,4.4714145e6,1.2449422e6,6.242,Inf,9,"((X1 + ((X2 + -12.113908) * X6)) / -0.12929747) [likelihood params: Float32[]]"
2,16189,4.4714145e6,4.4714505e6,17741.871,18860.924,0.87594163,0.7534592,4.4714145e6,1.2449422e6,5.884,Inf,9,"((X1 + ((X2 + -12.113908) * X6)) / -0.12929747) [likelihood params: Float32[]]"
3,23250,3.5196145e6,3.5196482e6,13964.886,25640.654,0.90235186,0.66483796,3.5196145e6,1.6924044e6,5.942,Inf,8,"(exp((-1.6292945 * (X5 * X4))) / 7.6192606e-5) [likelihood params: Float32[]]"
4,30667,2.7824888e6,2.7825202e6,11039.784,16613.465,0.92280537,0.7828369,2.7824888e6,1.0966099e6,5.95,Inf,7,"(302.29434 / exp(log((X4 + -0.15673964)))) [likelihood params: Float32[]]"
5,38100,1.2642525e6,1.2642962e6,5015.037,20248.258,0.9649328,0.7353247,1.2642525e6,1.3365062e6,6.412,Inf,13,"(((sqrt(543433.6) - X1) / X4) * sqrt(((0.3404734 - X4) - -0.74666166))) [likelihood params: Float32[]]"
6,46125,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,6.94,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
7,54029,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,8.176,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
8,61491,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,10.004,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
9,68906,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,10.87,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
10,76262,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,13.498,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
11,84177,1.0508189e6,1.0508619e6,4168.0786,22792.443,0.9708551,0.7020683,1.0508189e6,1.5044225e6,15.736,Inf,13,"(((sqrt(332981.44) - X1) / X4) * sqrt(((0.6228508 - X4) - -1.0290258))) [likelihood params: Float32[]]"
