-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,17696,7,34.463936,63.389187,34.463936,64.55762,23.292873,6.800809,63.389187,0.15250689,0.09608274,0.88569874,0.8721391,13,"((0.7405387 * X4) - ((-0.5055665 * X3) - (0.016201222 - (0.18761793 * X5)))) NeoGP.GaussianLikelihood{Float32} Float32[0.39052132]"
2,33573,6,39.936256,62.444023,39.936256,67.70437,19.4591,8.309015,62.444023,0.17754403,0.08210883,0.8669338,0.89073473,10,"((0.35682988 * X3) - ((-0.67266905 * X4) + sqrt(abs(0.008484673)))) NeoGP.GaussianLikelihood{Float32} Float32[0.42135972]"
3,52118,8,38.761227,61.40747,38.761227,66.448586,19.4591,8.228257,61.40747,0.1718426,0.07419323,0.87120694,0.9012683,10,"((0.3592046 * X3) + (abs(3.36464) ^ log(abs((-0.58265734 * X4))))) NeoGP.GaussianLikelihood{Float32} Float32[0.41453898]"
4,72080,8,38.47197,57.819035,38.47197,62.948868,16.125835,8.351061,57.819035,0.17046739,0.07559509,0.8722376,0.8994028,9,"(abs(((0.60429764 * X4) + (0.29449946 * X3))) ^ 1.1177168) NeoGP.GaussianLikelihood{Float32} Float32[0.41287696]"
5,90438,9,40.55163,52.855034,40.55163,57.688046,11.266066,5.87035,52.855034,0.180605,0.089174464,0.8646397,0.8813322,7,"((0.35061964 * X3) - (-0.6331592 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.42497647]"
6,109703,10,40.55163,52.855034,40.55163,57.688046,11.266066,5.87035,52.855034,0.180605,0.089174464,0.8646397,0.8813322,7,"((0.35061964 * X3) - (-0.6331592 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.42497647]"
7,128089,10,40.551617,52.855026,40.551617,57.688225,11.266066,5.8705463,52.855026,0.18060493,0.08917667,0.8646397,0.8813293,7,"((0.3505886 * X3) + (0.6332025 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.4249764]"
8,148438,12,40.551617,52.855026,40.551617,57.688225,11.266066,5.8705463,52.855026,0.18060493,0.08917667,0.8646397,0.8813293,7,"((0.3505886 * X3) + (0.6332025 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.4249764]"
9,168288,13,40.551617,52.855026,40.551617,57.688225,11.266066,5.8705463,52.855026,0.18060493,0.08917667,0.8646397,0.8813293,7,"((0.3505886 * X3) + (0.6332025 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.4249764]"
10,190248,16,40.551617,52.855026,40.551617,57.688225,11.266066,5.8705463,52.855026,0.18060493,0.08917667,0.8646397,0.8813293,7,"((0.3505886 * X3) + (0.6332025 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.4249764]"
