-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,25407,5,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
2,47411,4,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
3,67479,4,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
4,89449,4,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
5,110943,6,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
6,131110,8,344.27484,343.63977,344.27484,360.65317,11.266066,5.1122675,343.63977,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.589219 * X4) - (-0.38161924 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.68039614]"
7,150669,10,344.2748,343.63974,344.2748,360.65314,11.266066,5.11227,343.63974,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.58922035 * X4) - (-0.38161984 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.6803961]"
8,169631,12,344.2748,343.63974,344.2748,360.65314,11.266066,5.11227,343.63974,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.58922035 * X4) - (-0.38161984 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.6803961]"
9,187253,13,344.2748,343.63974,344.2748,360.65314,11.266066,5.11227,343.63974,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.58922035 * X4) - (-0.38161984 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.6803961]"
10,205276,14,344.2748,343.63974,344.2748,360.65314,11.266066,5.11227,343.63974,0.4629388,0.5993729,0.52808595,0.41855228,7,"((0.58922035 * X4) - (-0.38161984 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.6803961]"
11,222252,15,251.39053,304.52295,251.39053,311.05432,50.65687,9.006912,304.52295,0.26500034,0.25388554,0.729862,0.7537073,22,"(((0.34867245 * X1) - ((((1.2372062 * X2) / -3.401284) - (0.2874553 * X5)) - (0.59109753 * X4))) - sin((0.012796377 * X16))) NeoGP.GaussianLikelihood{Float32} Float32[0.5147819]"
12,240653,11,251.24716,286.7594,251.24716,297.0926,35.350506,10.494925,286.7594,0.26477233,0.25401035,0.73009443,0.75358623,17,"((0.28833508 * X5) + (((0.01984597 + (0.5920744 * X4)) - (-0.36450627 * X2)) - (-0.34859294 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[0.51456034]"
13,259884,14,251.24716,286.7594,251.24716,297.0926,35.350506,10.494925,286.7594,0.26477233,0.25401035,0.73009443,0.75358623,17,"((0.28833508 * X5) + (((0.01984597 + (0.5920744 * X4)) - (-0.36450627 * X2)) - (-0.34859294 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[0.51456034]"
14,281646,12,251.24716,286.7594,251.24716,297.0926,35.350506,10.494925,286.7594,0.26477233,0.25401035,0.73009443,0.75358623,17,"((0.28833508 * X5) + (((0.01984597 + (0.5920744 * X4)) - (-0.36450627 * X2)) - (-0.34859294 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[0.51456034]"
15,304529,16,251.24716,286.7594,251.24716,297.0926,35.350506,10.494925,286.7594,0.26477233,0.25401035,0.73009443,0.75358623,17,"((0.28833508 * X5) + (((0.01984597 + (0.5920744 * X4)) - (-0.36450627 * X2)) - (-0.34859294 * X1))) NeoGP.GaussianLikelihood{Float32} Float32[0.51456034]"
16,326376,15,251.49405,280.5122,251.49405,291.7929,31.191624,9.107247,280.5122,0.2651652,0.25210848,0.7296939,0.75543123,15,"((((0.3487102 * X1) + (0.28770888 * X5)) + (0.3639744 * X2)) - (-0.59159315 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.514942]"
17,350319,19,251.49405,280.5122,251.49405,291.7929,31.191624,9.107247,280.5122,0.2651652,0.25210848,0.7296939,0.75543123,15,"((((0.3487102 * X1) + (0.28770888 * X5)) + (0.3639744 * X2)) - (-0.59159315 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.514942]"
18,370902,20,251.49405,280.5122,251.49405,291.7929,31.191624,9.107247,280.5122,0.2651652,0.25210848,0.7296939,0.75543123,15,"((((0.3487102 * X1) + (0.28770888 * X5)) + (0.3639744 * X2)) - (-0.59159315 * X4)) NeoGP.GaussianLikelihood{Float32} Float32[0.514942]"
19,393307,20,198.86456,273.33423,198.86456,277.61075,64.47238,14.27379,273.33423,0.1933032,0.1835774,0.80294913,0.82191277,28,"((0.2920746 * X5) - ((-0.18724073 * sqrt(abs((20.676315 * X3)))) - (((-0.72144556 + (0.71388596 * X4)) - (-0.35692242 * X1)) - ((0.11447725 * X4) - (0.37419385 * X2))))) NeoGP.GaussianLikelihood{Float32} Float32[0.43966264]"
20,414499,21,198.8646,268.7291,198.8646,272.83698,59.867214,14.10517,268.7291,0.19330324,0.18357751,0.8029491,0.82191265,26,"((0.29207456 * X5) - ((-0.19080935 * sqrt(abs((19.909582 * X3)))) - (((-1.1659155 + 0.44448122) - (-0.3569223 * X1)) - ((-0.5994086 * X4) - (0.37419373 * X2))))) NeoGP.GaussianLikelihood{Float32} Float32[0.43966264]"
