-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,23555,4,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
2,42961,7,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
3,66016,8,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
4,90227,7,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
5,114029,8,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
6,137865,8,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
7,161541,11,171.7989,164.5961,171.7989,185.89871,6.931472,7.1683383,164.5961,6.082019,11.519508,0.4388011,0.16350323,5,"(12.397068 - (0.06392873 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
8,183962,10,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
9,207247,10,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
10,232809,11,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
11,258585,12,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
