-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,29323,3,17591.787,17293.227,17591.787,17609.945,6.931472,11.226921,17293.227,4365.006,3382.2214,0.46535766,0.51038206,5,"(-163.3809 - (-5.8040395 * X6)) NeoGP.GaussianLikelihood{Float32} Float32[66.06817]"
2,51783,9,17569.139,17275.316,17569.139,17592.547,11.266066,12.143193,17275.316,4302.412,3329.151,0.47302437,0.5180647,7,"((-1.398937 * X20) - (-5.996715 * X6)) NeoGP.GaussianLikelihood{Float32} Float32[65.59278]"
3,76221,5,17241.406,16953.436,17241.406,17264.79,11.266066,12.11634,16953.436,3490.9104,2557.552,0.5724201,0.629763,7,"((-12.529763 * X1) - (-7.7298727 * X6)) NeoGP.GaussianLikelihood{Float32} Float32[59.083897]"
4,99309,5,17241.406,16953.436,17241.406,17264.79,11.266066,12.11634,16953.436,3490.9104,2557.552,0.5724201,0.629763,7,"((-12.529763 * X1) - (-7.7298727 * X6)) NeoGP.GaussianLikelihood{Float32} Float32[59.083897]"
5,125445,4,17136.854,16850.75,17136.854,17160.482,11.266066,12.362496,16850.75,3265.731,2359.7705,0.600001,0.65839434,7,"((15.047725 * X6) - (9.691229 * X3)) NeoGP.GaussianLikelihood{Float32} Float32[57.14655]"
6,150191,6,17136.854,16850.75,17136.854,17160.482,11.266066,12.362496,16850.75,3265.731,2359.7705,0.600001,0.65839434,7,"((15.047725 * X6) - (9.691229 * X3)) NeoGP.GaussianLikelihood{Float32} Float32[57.14655]"
7,177745,6,16907.684,16651.365,16907.684,16957.004,31.191624,18.128323,16651.365,2821.668,2438.2124,0.6543915,0.64703894,15,"(((-8.578603 * X9) - ((-20.923117 * X6) - (3.799141 * X23))) + (-11.492762 * X7)) NeoGP.GaussianLikelihood{Float32} Float32[53.119373]"
8,205994,8,16802.365,16634.4,16802.365,16911.24,97.48981,11.385198,16634.4,2638.3696,2161.0383,0.6768426,0.68716323,36,"(((((-29.693943 * X4) + (12.408753 * X6)) + sin(((abs(2.7170558e6) ^ (-3.238329e6 * X5)) + (exp((((0.01691378 * X17) ^ 2.4854782) + -24177.178)) / -458795.5)))) / log(abs((-0.09762982 * X1)))) + (abs(-8.303576e-6) ^ (1.78043 * X8))) NeoGP.GaussianLikelihood{Float32} Float32[51.365044]"
9,232975,9,16798.19,16630.455,16798.19,16923.031,97.64512,27.19645,16630.455,2631.3528,2150.532,0.677702,0.68868417,37,"(((((-29.699957 * X4) + (12.407393 * X6)) + sin(((abs(2.7094235e6) ^ exp((-0.006246661 * X17))) + (exp((((0.01691378 * X17) ^ 2.4854782) + -24177.178)) / -458795.5)))) / log(abs((-0.09763576 * X1)))) + (abs(-8.303576e-6) ^ (1.78043 * X8))) NeoGP.GaussianLikelihood{Float32} Float32[51.29672]"
10,259470,9,16672.602,16504.29,16672.602,16801.104,91.94154,36.560585,16504.29,2428.8162,1987.601,0.70250946,0.71227044,37,"((((0.041149694 * X13) * (((-1.4448092 * X10) - (-0.27538025 * X24)) + -43.2565)) / (abs(((-1.8474224 + 0.5032799) / 1.3102772)) ^ (-2.2851908 * X8))) * ((0.8582413 * X13) + (((-0.41418216 * X21) - (0.020815792 * X11)) - 82.21831))) NeoGP.GaussianLikelihood{Float32} Float32[49.283]"
11,286998,12,16443.203,16316.845,16443.203,16589.377,124.0357,22.13831,16316.845,2098.25,1720.1654,0.7429985,0.750985,47,"((((0.000115039875 * X13) * (((9.206223 * X9) - ((9.502531 * X6) - (-0.4171867 * X23))) + -472.92548)) / (abs(((-1.8406142 + 0.5102082) / 1.3150581)) ^ (7.7376046 * X8))) * ((0.7709566 * X13) + ((-0.86997026 * X2) - (((13.859642 * X10) - (-21.09725 * X8)) + (0.016244613 * X11))))) NeoGP.GaussianLikelihood{Float32} Float32[45.806656]"
12,312809,13,16037.0625,15838.488,16037.0625,16124.745,64.74317,22.939663,15838.488,1619.4495,1350.9026,0.8016437,0.8044403,27,"(((1.9994267 * X11) + (112.79227 * X8)) + ((((-7.4165416 * X9) - ((-20.749992 * X6) - (7.90293 * X23))) - (117.19434 * X25)) + (-24.48903 * X3))) NeoGP.GaussianLikelihood{Float32} Float32[40.242355]"
13,339682,11,16037.0625,15838.488,16037.0625,16124.745,64.74317,22.939663,15838.488,1619.4495,1350.9026,0.8016437,0.8044403,27,"(((1.9994267 * X11) + (112.79227 * X8)) + ((((-7.4165416 * X9) - ((-20.749992 * X6) - (7.90293 * X23))) - (117.19434 * X25)) + (-24.48903 * X3))) NeoGP.GaussianLikelihood{Float32} Float32[40.242355]"
14,370489,9,16037.0625,15838.488,16037.0625,16124.745,64.74317,22.939663,15838.488,1619.4495,1350.9026,0.8016437,0.8044403,27,"(((1.9994267 * X11) + (112.79227 * X8)) + ((((-7.4165416 * X9) - ((-20.749992 * X6) - (7.90293 * X23))) - (117.19434 * X25)) + (-24.48903 * X3))) NeoGP.GaussianLikelihood{Float32} Float32[40.242355]"
15,399051,13,16037.0625,15838.488,16037.0625,16124.745,64.74317,22.939663,15838.488,1619.4495,1350.9026,0.8016437,0.8044403,27,"(((1.9994267 * X11) + (112.79227 * X8)) + ((((-7.4165416 * X9) - ((-20.749992 * X6) - (7.90293 * X23))) - (117.19434 * X25)) + (-24.48903 * X3))) NeoGP.GaussianLikelihood{Float32} Float32[40.242355]"
