-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,22139,5,14476.642,14271.785,14476.642,14504.16,9.656628,17.8621,14271.785,57.729122,46.18236,0.9548274,0.9483385,6,"exp(((-0.005001453 * X1) - -5.901845)) NeoGP.GaussianLikelihood{Float32} Float32[7.597965]"
2,38188,7,13929.417,13825.332,13929.417,14048.92,81.29731,38.205853,13825.332,44.486183,273.40717,0.9651899,0.6941556,37,"((((-0.31677437 * X1) + (((-0.4882183 * X2) + 128.72755) - (-0.48960653 * X2))) * sqrt(abs(((-0.9865356 + exp(sin((-0.62060297 * X1)))) * exp((0.0008917654 * X2)))))) + (sqrt(abs((0.49568668 * X1))) * exp(exp(sqrt(abs(0.035160266)))))) NeoGP.GaussianLikelihood{Float32} Float32[6.6697984]"
3,55865,9,13929.417,13825.332,13929.417,14048.92,81.29731,38.205853,13825.332,44.486183,273.40717,0.9651899,0.6941556,37,"((((-0.31677437 * X1) + (((-0.4882183 * X2) + 128.72755) - (-0.48960653 * X2))) * sqrt(abs(((-0.9865356 + exp(sin((-0.62060297 * X1)))) * exp((0.0008917654 * X2)))))) + (sqrt(abs((0.49568668 * X1))) * exp(exp(sqrt(abs(0.035160266)))))) NeoGP.GaussianLikelihood{Float32} Float32[6.6697984]"
4,75751,9,13382.096,13279.864,13382.096,13507.438,74.705635,50.636402,13279.864,34.279568,54268.266,0.9731765,-59.706707,34,"((((-0.1462769 * X1) + (((-0.5814137 * X2) + 300.56323) - (-0.39640996 * X2))) * sqrt(abs(((0.18223773 + exp(sin((-0.63288546 * X1)))) * exp((0.0020892743 * X2)))))) + (sqrt(abs((0.41689464 * X1))) * -10.811591)) NeoGP.GaussianLikelihood{Float32} Float32[5.854876]"
5,95850,11,13039.954,12932.116,13039.954,13153.153,66.77497,46.423794,12932.116,29.125805,26.19253,0.97720927,0.97069997,29,"exp((sqrt(abs((abs(((abs((0.0004877402 * X1)) ^ 0.19227585) + 0.122084826)) ^ (-0.04767062 * X1)))) / (log(abs(sqrt(abs((-0.017097553 * X1))))) / ((abs((-0.0010238384 * X2)) ^ (-0.00020328422 * X2)) * 0.77320844)))) NeoGP.GaussianLikelihood{Float32} Float32[5.396834]"
6,120060,11,12715.682,12629.618,12715.682,12833.31,80.59048,37.037167,12629.618,24.958384,23.735355,0.98047024,0.97344863,35,"((abs(((-0.035766944 * X1) + (((-0.48975125 * X2) + 20.050987) - (-0.48807243 * X2)))) ^ sqrt(abs(((-2.9809463 + (-0.0072598523 * X2)) / exp((0.0011426318 * X2)))))) + (sqrt(abs((1.6365963 * X1))) * sqrt(abs(exp(exp(-46.81617)))))) NeoGP.GaussianLikelihood{Float32} Float32[4.995842]"
7,146087,11,12715.682,12629.618,12715.682,12833.31,80.59048,37.037167,12629.618,24.958384,23.735355,0.98047024,0.97344863,35,"((abs(((-0.035766944 * X1) + (((-0.48975125 * X2) + 20.050987) - (-0.48807243 * X2)))) ^ sqrt(abs(((-2.9809463 + (-0.0072598523 * X2)) / exp((0.0011426318 * X2)))))) + (sqrt(abs((1.6365963 * X1))) * sqrt(abs(exp(exp(-46.81617)))))) NeoGP.GaussianLikelihood{Float32} Float32[4.995842]"
8,173064,14,11774.841,11729.885,11774.841,3.4028235e38,98.313705,3.4028235e38,11729.885,15.945716,12.583179,0.9875226,0.98592395,41,"((((0.52688396 * X1) + (((log(abs(sqrt(abs((0.0024487928 * X1))))) / ((abs((-2.7541205e6 * X2)) ^ (-1.5991802e-5 * X2)) * -0.0012029174)) + -280.63782) - (0.13070948 * X2))) * 0.39915213) + ((abs(1.1355661) ^ (log(abs((2778.0808 * X2))) + 12.318483)) * exp(exp(sqrt(abs(0.041406363)))))) NeoGP.GaussianLikelihood{Float32} Float32[3.993209]"
9,202861,12,10223.07,10184.716,10223.07,3.4028235e38,83.92634,3.4028235e38,10184.716,7.616004,41.680035,0.99404055,0.953375,35,"((-0.10950718 * X1) + sqrt(abs(((((((16.60831 + exp(sin((-0.62071514 * X1)))) * exp((-0.0005826312 * X2))) / (abs(((-1.6355494 * X2) / -0.5396003)) ^ (3.3382304 / (-0.066905275 * X1)))) - 75.23662) * -319.15265) - 22232.61)))) NeoGP.GaussianLikelihood{Float32} Float32[2.7597113]"
10,236644,17,10012.812,10020.695,10012.812,3.4028235e38,115.098976,3.4028235e38,10020.695,6.890393,6.224133,0.99460834,0.9930374,48,"((-0.06710835 * X1) + sqrt(abs(((((((-44.678642 + ((0.009384579 * X1) + (((0.025508434 * X1) + (sin(-734319.7) / (3.0175748e-5 * X1))) + (-0.0017739186 * X2)))) * exp((-0.0006787509 * X2))) / (abs(((-0.0530686 * X2) / -3.2869217)) ^ (3.3889186 / (-0.05444367 * X1)))) - 78.42745) * -268.20447) - 21401.041)))) NeoGP.GaussianLikelihood{Float32} Float32[2.6249566]"
